ID,POL,SPA,PoS,score
123,odchodzić,llegar,verbs,0.2
124,iść,venir,verbs,1.6
125,aplikacja,galaxia,nouns,0.1
126,hełm,arma,nouns,1.0
127,pestycyd,parásito,nouns,1.0
128,tęczówka,acetilcolina,nouns,0.45
129,klatka piersiowa,cuerpo,nouns,1.45
130,ramię,vena,nouns,0.3
131,mięta,goma,nouns,0.2
132,pistolet,cuchillo,nouns,1.2
133,rysunek,alboroto,nouns,0.05
134,zły,inmoral,adjectives,2.8
135,śmierdzieć,mimar,verbs,0.6
136,jabłko,salsa,nouns,0.35
137,stać się,parecer,verbs,0.45
138,pens,ganga,nouns,0.2
139,subtelnie,ruidosamente,adverbs,0.05
140,rożek,vaso,nouns,0.65
141,wybrzeże,barco de cañón,nouns,0.35
142,wizerunek,reflexión,nouns,2.15
143,facet,amigo,nouns,1.5
144,różnić się,discutir,verbs,2.8
145,piasek,pie,nouns,0.2
146,samolot,helicóptero,nouns,1.25
147,opowieść,canción,nouns,0.6
148,struktura,topología,nouns,2.05
149,klejący,mojado,adjectives,0.7
150,pietruszka,mollete,nouns,0.25
151,atak,delito,nouns,1.85
152,jaszczurka,cocodrilo,nouns,1.95
153,zatrzymywać,silbar,verbs,0.3
154,giętki,suelto,adjectives,1.4
155,śpieszyć się,apurarse,verbs,5.35
156,fotofon,homófono,nouns,0.45
157,zezwalać,dar,verbs,1.3
158,styl,moda,nouns,4.2
159,dom,apartamento,nouns,4.45
160,szosa,coche,nouns,0.85
161,działo,pelota,nouns,0.25
162,walczyć,matar,verbs,0.75
163,nieskończoność,cero,nouns,0.6
164,dyplomacja,negociación,nouns,2.5
165,stek,pollo,nouns,1.55
166,sad,avestruz,nouns,0.2
167,pewien,nervioso,adjectives,0.05
168,rosnąć,incrementar,verbs,3.3
169,słup,velocidad,nouns,0.2
170,naturalnie,antinaturalmente,adverbs,0.05
171,szczerze,honestamente,adverbs,4.9
172,zarabiać,merecer,verbs,1.35
173,przyłączać,unirse,verbs,3.0
174,agresywny,curvo,adjectives,0.0
175,futerał,electricidad,nouns,0.0
176,chmura,lago,nouns,0.35
177,żyła,elección,nouns,0.0
178,lew,gato,nouns,1.9
179,brać,entregar,verbs,0.6
180,kurz,escoba,nouns,0.55
181,logika,inteligencia,nouns,2.9
182,awionika,aeronáutica,nouns,2.65
183,poważanie,honor,nouns,1.85
184,nosić,romper,verbs,0.0
185,ludzie,dólar,nouns,0.05
186,susza,agua,nouns,0.5
187,dieta,manzana,nouns,0.5
188,malutki,enorme,adjectives,0.1
189,zawsze,dos veces,adverbs,0.1
190,baseball,fraternidad,nouns,0.15
191,wędrować,vagar,verbs,4.65
192,zbadać,examinar,verbs,3.85
193,ciasno,increíblemente,adverbs,0.3
194,zgromadzenie,convocatoria,nouns,5.3
195,optymistycznie,posiblemente,adverbs,1.0
196,żołądek,curso,nouns,0.05
197,przyjaciel,compañero,nouns,4.15
198,naprzykrzać się,interrumpir,verbs,3.6
199,próbować,convencer,verbs,1.45
200,pstrąg,guitarra,nouns,0.0
201,stary,nuevo,adjectives,0.1
202,gitara,trucha,nouns,0.0
203,len,tela,nouns,3.5
204,kwiat,violeta,nouns,2.75
205,kumpel,acompañante,nouns,4.4
206,ananas,teléfono inteligente,nouns,0.0
207,narzędzia,caso,nouns,0.55
208,dowiadywać się,exigir,verbs,1.05
209,białko,asa,nouns,0.15
210,zabić,colgar,verbs,1.2
211,ortodonta,médico,nouns,2.8
212,jaszczurka,serpiente,nouns,0.9
213,pogoda,nieve,nouns,0.6
214,niechlujny,ordenado,adjectives,0.1
215,nieoczekiwany,imprevisto,adjectives,5.25
216,pomarańcza,cítrico,nouns,3.2
217,opłata,nota,nouns,0.35
218,precyzyjnie,precisamente,adverbs,5.55
219,polano,madera,nouns,4.2
220,mokry,pegajoso,adjectives,0.7
221,przewidywać,suponer,verbs,3.1
222,marnie,humildemente,adverbs,0.15
223,galaktyka,astrónomo,nouns,1.35
224,uczeń,estudiante,nouns,5.0
225,tępy,inteligente,adjectives,0.3
226,logika,aritmética,nouns,1.4
227,szeroki,estrecho,adjectives,0.1
228,dziura,esposa,nouns,0.0
229,pobieżnie,seguramente,adverbs,0.7
230,piwo,champán,nouns,1.35
231,silny,débiles,adjectives,0.15
232,dinozaur,elefante,nouns,0.7
233,narzekać,discutir,verbs,2.1
234,niemoralny,ilegal,adjectives,1.5
235,zabawiać,complacer,verbs,1.95
236,przejście,sala,nouns,1.15
237,rzeźbiarz,palacio,nouns,0.35
238,pęcherz,ilustración,nouns,0.0
239,pewny,cierto,adjectives,3.75
240,formuła,ecuación,nouns,3.6
241,okrutny,duro,adjectives,3.7
242,nie zgadzać się,luchar,verbs,1.5
243,wiadomości,chisme,nouns,1.9
244,kanapka,almuerzo,nouns,0.7
245,wyspa,princesa,nouns,0.05
246,sława,riqueza,nouns,1.15
247,leniwy,ocupado,adjectives,0.15
248,argumentować,pedir,verbs,0.55
249,matka,amigo,nouns,0.4
250,stracić,sustraer,verbs,0.9
251,stracić,cocinar,verbs,0.05
252,pikantny,débiles,adjectives,0.0
253,mówić,susurrar,verbs,1.85
254,symbol,criptograma,nouns,3.0
255,mnóstwo,abundancia,nouns,4.75
256,odchodzić,permanecer,verbs,0.05
257,wiadomości,editorial,nouns,1.35
258,system,culpa,nouns,0.15
259,decydować,concluir,verbs,2.35
260,tani,asequible,adjectives,4.3
261,drednot,buque,nouns,3.65
262,ekonomia,ecosistema,nouns,0.25
263,hojny,simpático,adjectives,1.35
264,pogoda,nube,nouns,0.75
265,uczyć się,confundir,verbs,0.1
266,czasem,uniformemente,adverbs,0.1
267,różnica,recordatorio,nouns,1.0
268,schorzenie,fiebre,nouns,1.75
269,pewność siebie,actitud,nouns,2.15
270,kość,mandíbula,nouns,1.15
271,pokorny,modesto,adjectives,4.05
272,dorosły,niño,nouns,0.25
273,kreatywnie,originalmente,adverbs,1.15
274,redukować,encoger,verbs,3.9
275,rozzłoszczony,feliz,adjectives,0.15
276,zakrzywiony,curvo,adjectives,4.2
277,znacząco,especialmente,adverbs,2.7
278,bezpiecznie,felizmente,adverbs,1.2
279,zaprzeczać,mentir,verbs,1.05
280,przestępstwo,ataque,nouns,1.85
281,stodoła,casa,nouns,0.7
282,społeczeństwo,cultura,nouns,1.6
283,czekać,permanecer,verbs,2.05
284,niebo,sol,nouns,1.15
285,cal,metro,nouns,1.3
286,znany,nacional,adjectives,0.45
287,iglica,capilla,nouns,0.7
288,harmonia,piano,nouns,0.3
289,głośny,grosero,adjectives,0.9
290,wygrać,realizar,verbs,2.05
291,hymn,conquista,nouns,0.15
292,dziwaczny,extraño,adjectives,5.65
293,uznawać,aceptar,verbs,4.65
294,zrelaksowany,estresado,adjectives,0.1
295,dwójka,par,nouns,4.85
296,niesprawiedliwy,cruel,adjectives,1.8
297,piłka,voleibol,nouns,1.35
298,wątroba,pulmón,nouns,0.7
299,subtelnie,tranquilamente,adverbs,2.1
300,słaby,picante,adjectives,0.0
301,rozwiązać,terminar,verbs,3.6
302,chaotycznie,pacíficamente,adverbs,0.05
303,perspektywa,distancia,nouns,2.5
304,mieszkanie,mueble,nouns,0.55
305,okno,techo,nouns,0.35
306,złączyć,casarse,verbs,2.25
307,kwestowanie,desarrollo,nouns,0.45
308,aktor,poliedro,nouns,0.0
309,adwokat,licenciado en derecho,nouns,4.6
310,wielokrotnie,dos veces,adverbs,1.1
311,dostarczać,tomar,verbs,0.6
312,łatwy,rígido,adjectives,0.05
313,ogród,manguera,nouns,0.5
314,aparat,presidente,nouns,0.45
315,wyspa,playa,nouns,1.8
316,przestraszony,nervioso,adjectives,1.85
317,szczupły,estrecho,adjectives,3.65
318,rzeczywistość,espejismo,nouns,0.2
319,ważny,necesario,adjectives,3.85
320,śledzić,perseguir,verbs,3.5
321,nigdy,honestamente,adverbs,0.1
322,plaża,arrecife,nouns,1.05
323,projekt,idea,nouns,2.9
324,korporacja,negocio,nouns,2.15
325,ganić,pedir,verbs,0.95
326,kanapka,carne,nouns,0.4
327,pojmać,imitar,verbs,0.2
328,niemoralny,malo,adjectives,2.8
329,wchodzić,salir,verbs,0.3
330,dzień,mañana,nouns,2.9
331,biedny,solitario,adjectives,0.6
332,data,cumpleaños,nouns,1.65
333,ministerstwo,sultán,nouns,0.35
334,sypialnia,bicicleta,nouns,0.15
335,wybaczać,entender,verbs,1.5
336,atleta,corredor,nouns,2.95
337,formalny,apropiado,adjectives,3.3
338,organ,hígado,nouns,2.85
339,znaleźć,buscar,verbs,1.05
340,czysty,modesto,adjectives,0.7
341,fałszywy,real,adjectives,0.05
342,uciec,huir,verbs,5.6
343,obecność,ganador,nouns,0.25
344,łódź,árbol,nouns,0.25
345,kłócić się,jugar,verbs,0.2
346,klasztor,ducha,nouns,0.0
347,gniew,furia,nouns,4.3
348,impreza,máscara,nouns,0.4
349,podróżować,ir,verbs,2.85
350,jabłko,jugo,nouns,0.8
351,werdykt,juicio,nouns,2.55
352,rzeka,mar,nouns,1.9
353,chory,loco,adjectives,1.8
354,piękny,maravilloso,adjectives,3.35
355,złapać,lanzar,verbs,0.2
356,motłoch,multitud,nouns,3.45
357,arytmetyka,lógica,nouns,1.4
358,podejrzany,hombre,nouns,0.45
359,polano,bañera,nouns,0.0
360,olej,visón,nouns,0.05
361,ogromny,astronómico,adjectives,2.0
362,rozkoszny,alegre,adjectives,1.8
363,zachować,poseer,verbs,2.35
364,dodać,unirse,verbs,2.95
365,meble,cama,nouns,2.2
366,lato,invierno,nouns,0.65
367,wątroba,órgano,nouns,2.85
368,niedawno,últimamente,adverbs,5.3
369,rozdział,noche,nouns,0.35
370,niecenzuralny,extramatrimonial,adjectives,0.25
371,opinia,elección,nouns,0.9
372,łączyć,mezcla,verbs,4.45
373,mężczyźni,fraternidad,nouns,1.1
374,hasło,sintaxis,nouns,0.65
375,korzeń,hierba,nouns,0.8
376,wyspa,península,nouns,1.15
377,astronom,galaxia,nouns,1.35
378,księżniczka,novia,nouns,0.7
379,krykiet,seguidor,nouns,0.2
380,przynieść,restaurar,verbs,0.85
381,koperta,decoración,nouns,0.15
382,zły,deshonesto,adjectives,2.0
383,powtarzać,practicar,verbs,2.9
384,dać,pedir prestado,verbs,1.4
385,energia,batería,nouns,2.6
386,tępy,inteligente,adjectives,0.1
387,niepewny,necesitado,adjectives,0.55
388,zachód słońca,noche,nouns,2.15
389,miód,lácteos,nouns,0.3
390,rzeka,corriente,nouns,2.35
391,chronić,mantener,verbs,1.75
392,cesarz,gobernador,nouns,1.65
393,cel,flecha,nouns,0.75
394,dżojstik,radar,nouns,0.2
395,portmonetka,bolso,nouns,1.5
396,zgadzać się,complacer,verbs,0.95
397,nudny,mediocre,adjectives,1.05
398,aktywność,movimiento,nouns,3.6
399,zarabiać,hacer,verbs,0.7
400,płakać,sollozar,verbs,4.65
401,neuropsychologia,parasicología,nouns,1.1
402,smutek,felicidad,nouns,0.4
403,widoczny,obvio,adjectives,3.5
404,lód,agua,nouns,0.9
405,sznurek,puesta de sol,nouns,0.0
406,niedojrzały,crecido,adjectives,0.25
407,opowieść,libro,nouns,1.75
408,drzeć,vestir,verbs,0.0
409,inteligencja,sabiduría,nouns,4.15
410,trik,bañera,nouns,0.0
411,fikcja,biografía,nouns,0.5
412,klucz,casa,nouns,0.4
413,księżniczka,isla,nouns,0.05
414,konieczny,innecesario,adjectives,0.1
415,łagodny,agudo,adjectives,0.25
416,środowisko,espada,nouns,0.05
417,futerał,programa informático,nouns,0.55
418,zaprzeczać,admitir,verbs,0.1
419,śpiewać,flotador,verbs,0.0
420,gardzić,cargar,verbs,0.4
421,apokalipsa,fuego,nouns,1.0
422,zawstydzony,trastornado,adjectives,0.7
423,półwysep,isla,nouns,1.15
424,klucz,corona,nouns,0.15
425,zamierzać,intentar,verbs,2.65
426,przekonanie,opinión,nouns,3.15
427,brudny,increíble,adjectives,0.0
428,ostry,suave,adjectives,0.4
429,brzydki,sucio,adjectives,0.95
430,nieuczciwy,malo,adjectives,2.0
431,sączyć,tragar,verbs,1.3
432,pies,gato,nouns,0.4
433,klejący,sucio,adjectives,1.65
434,wąż ogrodowy,jardín,nouns,0.5
435,ramię,muñeca,nouns,1.0
436,myśleć,tratar,verbs,0.6
437,dać,robar,verbs,0.05
438,zdarzyć się,ocurrir,verbs,4.4
439,otwarcie,macizamente,adverbs,0.25
440,robotnik,cámara,nouns,0.2
441,wytwórca,creador,nouns,3.45
442,robić,crear,verbs,3.55
443,zakopać,cubrir,verbs,3.05
444,dysk,cargador,nouns,0.4
445,kostium,pelota,nouns,0.3
446,gitara,violín,nouns,1.0
447,język,comunicación,nouns,2.25
448,bystry,tonto,adjectives,0.1
449,dziwny,astuto,adjectives,0.15
450,weryfikować,decir,verbs,0.65
451,fasola,arroz,nouns,0.85
452,tępy,listo,adjectives,0.1
453,kręglarstwo,jugador de bolos,nouns,2.0
454,mgiełka,lluvia,nouns,0.9
455,dywan,casa,nouns,0.25
456,wierzch,fondo,nouns,0.1
457,niesprawiedliwie,excesivamente,adverbs,0.75
458,bawić się,lucha,verbs,0.2
459,dorosły,inmaduro,adjectives,0.25
460,wanna,tronco,nouns,0.0
461,duży,fácil,adjectives,0.0
462,ciotka,sobrino,nouns,0.75
463,okrutny,bonito,adjectives,0.05
464,książka,información,nouns,1.05
465,zwykły,mundano,adjectives,3.5
466,doktor,ortodoncista,nouns,2.8
467,budzić się,roncar,verbs,0.15
468,spódnica,reloj,nouns,0.2
469,szczęśliwy,enfadado,adjectives,0.1
470,dusić,respirar,verbs,0.25
471,tygodniowy,mensual,adjectives,0.5
472,narożnik,zona,nouns,0.55
473,konwencja,regla,nouns,2.4
474,aktorka,actor,nouns,3.35
475,chleb,carne,nouns,0.25
476,samochód,ascensor,nouns,0.15
477,nowy,antiguo,adjectives,0.1
478,kawa ,frijol,nouns,0.65
479,metr,pulgada,nouns,1.3
480,pas,lazo,nouns,0.9
481,wgląd,hecho,nouns,1.05
482,kraść,secuestrar,verbs,1.65
483,intrygant,estratega,nouns,0.8
484,wartownik,hombre,nouns,1.0
485,rozpadać się,morir,verbs,0.75
486,węglowodan,sacarosa,nouns,2.05
487,nie zgadzać się,estar de acuerdo,verbs,0.4
488,tępy,denso,adjectives,0.2
489,hardy,astuto,adjectives,0.8
490,dentysta,coronel,nouns,0.15
491,ruchomy,flexible,adjectives,1.85
492,mysz,cubierta,nouns,0.0
493,uczestniczyć,decir,verbs,0.6
494,niemowlę,adulto,nouns,0.3
495,tkanina,lino,nouns,3.5
496,agresywny,grosero,adjectives,2.45
497,rozmiar,centavo,nouns,0.1
498,zadanie,mujer,nouns,0.1
499,miły,generoso,adjectives,0.45
500,przytłaczać,ahogar,verbs,1.35
501,mężczyzna,tío,nouns,2.0
502,nawalić,tener éxito,verbs,0.1
503,nihilizm,película,nouns,0.1
504,bóg,diablo,nouns,0.35
505,drewno,tronco,nouns,3.9
506,ostry,templado,adjectives,0.25
507,śmiać się,cantar,verbs,0.3
508,wycofywać się,descender,verbs,1.2
509,wymieszać,remover,verbs,3.35
510,czołowy,quinto,adjectives,0.05
511,waluta,intercambio,nouns,0.95
512,trzymać,abrazar,verbs,1.05
513,niegrzeczny,crítico,adjectives,0.75
514,postawa,confianza,nouns,2.15
515,katedra,techo,nouns,0.45
516,zwykły,increíble,adjectives,0.15
517,umysł,neurosis,nouns,1.05
518,grzeczny,apropiado,adjectives,2.3
519,wstępniak,noticias,nouns,1.35
520,realistycznie,idealmente,adverbs,0.8
521,prawdomówny,deshonesto,adjectives,0.05
522,dentysta,ortodoncista,nouns,3.95
523,kręglarz,bolos,nouns,2.0
524,wąż (ogrodowy),coche,nouns,0.4
525,koc,madera,nouns,0.05
526,miska,plato,nouns,2.75
527,niegrzeczny,crudo,adjectives,0.95
528,wygoda,seguridad,nouns,1.55
529,ubrania,chaqueta,nouns,1.85
530,morze,tsunami,nouns,1.25
531,śmieszny,aburrido,adjectives,0.05
532,przedszkole,guardería,nouns,2.4
533,wycofać,rechazar,verbs,1.9
534,artysta ,obra de arte,nouns,1.3
535,magma,volcán,nouns,1.9
536,wieżowiec,palacio,nouns,0.8
537,strzała,objetivo,nouns,0.75
538,spróbować,tener la intención,verbs,2.65
539,wchodzić,deber,verbs,0.0
540,wspaniały,genial,adjectives,5.15
541,pokład,ratón,nouns,0.0
542,siła,resistencia,nouns,2.8
543,przeżyć,vivir,verbs,2.6
544,śmiertelnie,felizmente,adverbs,0.05
545,obserwować,mirar,verbs,4.4
546,socjobiologia,mutante,nouns,0.35
547,gorączka,enfermedad,nouns,1.75
548,gwiazda,planeta,nouns,2.25
549,duch,dios,nouns,1.8
550,pożyczyć,dar,verbs,1.75
551,rower,habitación,nouns,0.15
552,notatnik,pistola,nouns,0.05
553,jaszczurka,gobierno,nouns,0.0
554,twardo,suavemente,adverbs,0.15
555,chronić,salvar,verbs,3.0
556,spotykać,saludar,verbs,0.6
557,nabyć,encontrar,verbs,1.35
558,marynarka,ejército,nouns,4.05
559,dodawać,construir,verbs,0.95
560,bekon,frijol,nouns,0.35
561,łatwy,difícil,adjectives,0.1
562,noc,día,nouns,0.55
563,wąski,largo,adjectives,0.25
564,odkryty,cubierto,adjectives,0.15
565,koza,vaca,nouns,1.2
566,umiejętność,inteligencia,nouns,2.2
567,chojnie,amablemente,adverbs,2.75
568,żołądek,vena,nouns,0.35
569,święto,calendario,nouns,1.1
570,iść,enviar,verbs,0.35
571,wulkan,magma,nouns,1.9
572,burza mózgów,telescopio,nouns,0.0
573,ciągnąć,empujar,verbs,1.2
574,próbować,tener éxito,verbs,0.3
575,pogwałcenie,crimen,nouns,3.35
576,wykonawca,canción,nouns,0.7
577,bezdomny,multimillonario,nouns,0.1
578,armia,legión,nouns,3.1
579,podekscytowany,asustado,adjectives,0.6
580,brat,niño,nouns,1.4
581,chojnie,nunca,adverbs,0.0
582,zwykle,raramente,adverbs,0.1
583,maska,partido,nouns,0.4
584,głupi,obstinado,adjectives,0.65
585,student,alumno,nouns,5.0
586,kot,mascota,nouns,3.25
587,protestant,cristiano,nouns,1.55
588,manuskrypt,libro,nouns,2.8
589,pożyczać,desear,verbs,0.75
590,ignorować,imprimir,verbs,0.0
591,akceptować,rechazar,verbs,0.1
592,nieść,tomar,verbs,0.35
593,możlwie,probable,adverbs,4.5
594,broń,casco,nouns,1.0
595,silnie,oficialmente,adverbs,0.35
596,śmiało,secretamente,adverbs,0.55
597,administracja,gestión,nouns,3.6
598,żona,bañera,nouns,0.1
599,możliwie,con optimismo,adverbs,1.0
600,iść,permitir,verbs,0.3
601,płaszczyzna,hoja,nouns,0.25
602,dominować,superar,verbs,2.05
603,klakson,coche,nouns,0.1
604,ziemniak,mantequilla,nouns,0.55
605,obierać,rechazar,verbs,0.4
606,kot,ratón,nouns,0.4
607,smutno,locamente,adverbs,0.35
608,przyłączyć się,salir,verbs,0.25
609,komunikować,rezar,verbs,0.5
610,klon,roble,nouns,1.5
611,jard,metro,nouns,2.3
612,entropia,información,nouns,0.5
613,uznawać,hablar,verbs,0.65
614,owca,cordero,nouns,3.9
615,infekcja,enfermedad,nouns,3.05
616,łatwy,duro,adjectives,0.1
617,osiągnąć,tratar,verbs,0.65
618,nowy,reciente,adjectives,3.85
619,zakładać się,jugar,verbs,2.65
620,wierzch,lado,nouns,0.75
621,republika,duque,nouns,0.1
622,niezależnie,responsablemente,adverbs,0.7
623,rzadki,raro,adjectives,4.25
624,waluta,concurrencia,nouns,0.15
625,sweter,algodón,nouns,0.8
626,wrażenie,creencia,nouns,2.15
627,samochód,bicicleta,nouns,0.5
628,dusić,matar,verbs,1.5
629,meteor,gravedad,nouns,0.85
630,prawnik,fiscal,nouns,1.9
631,ciało,estómago,nouns,1.35
632,oczywiście,aproximadamente,adverbs,0.5
633,ponury,aburrido,adjectives,0.6
634,arytmetyka,ritmo,nouns,0.45
635,niezawodnie,responsablemente,adverbs,1.3
636,połykać,beber,verbs,2.4
637,głośno,suavemente,adverbs,0.05
638,lotnisko,pieza,nouns,0.0
639,wąski,sucio,adjectives,0.0
640,próbować,pensar,verbs,0.6
641,stary,mezclado,adjectives,0.05
642,pić,sorber,verbs,3.35
643,pobieżnie,ligeramente,adverbs,0.75
644,natychmiast,una vez,adverbs,0.55
645,biologia,biotopo,nouns,0.65
646,patogen,germen,nouns,3.5
647,pakt,acuerdo,nouns,5.05
648,biolog,microscopio,nouns,1.0
649,zamek,pared,nouns,0.25
650,dostarczać,aceptar,verbs,0.2
651,pytać,ayudar,verbs,0.25
652,wybierać,desear,verbs,1.4
653,może,probablemente,adverbs,4.4
654,król,princesa,nouns,1.5
655,nos,boca,nouns,0.75
656,powieść się,ganar,verbs,2.85
657,topologia,estructura,nouns,2.05
658,śnieg,avalancha,nouns,1.75
659,deszcz,granizo,nouns,1.15
660,acetylocholina,iris,nouns,0.45
661,starożytny,nuevo,adjectives,0.1
662,żyła,estómago,nouns,0.35
663,przeważnie,profundamente,adverbs,0.7
664,niepotrzebny,necesario,adjectives,0.1
665,talia,comida,nouns,0.3
666,wieczerza,comida,nouns,4.1
667,sypialnia,cama,nouns,1.4
668,akceptować,disminuir,verbs,0.0
669,często,raramente,adverbs,0.4
670,niezawodnie,pasivamente,adverbs,0.1
671,spokojnie,firmemente,adverbs,0.75
672,kłocić się,diferir de,verbs,2.8
673,kłaść,obtener,verbs,0.1
674,brat,hijo,nouns,0.9
675,kurczak,cena,nouns,1.0
676,świeży,amplio,adjectives,0.1
677,szkoła,derecho,nouns,0.5
678,kolacja,comida,nouns,3.6
679,słoma,esposa,nouns,0.15
680,nieużywany,nuevo,adjectives,5.45
681,ignorancja,inteligencia,nouns,0.35
682,królik,gato,nouns,1.0
683,nietoperz,vampiro,nouns,1.35
684,bezpieczeństwo,comodidad,nouns,1.55
685,krzyczeć,chillar,verbs,5.5
686,chwytać,tomar,verbs,1.3
687,posiłek,cena,nouns,4.1
688,księżniczka,galleta,nouns,0.0
689,hol,corredor,nouns,5.35
690,znaleźć,adquirir,verbs,1.35
691,tworzyć,construir,verbs,4.15
692,konwersja,altitud,nouns,0.55
693,rękawica,pelota,nouns,0.65
694,brzeg morski,playa,nouns,3.2
695,stać się,organizar,verbs,0.15
696,najwyraźniej,obviamente,adverbs,3.0
697,mrówka,abeja,nouns,0.75
698,nabyć,recibir,verbs,2.5
699,kot,conejo,nouns,1.0
700,wydawać,salvar,verbs,0.05
701,samochód,calle,nouns,0.3
702,śmieszny,grave,adjectives,0.0
703,walczyć,discrepar,verbs,1.5
704,zwiadowca,arquero,nouns,1.15
705,czerwony,azul,adjectives,0.25
706,atakować,herir,verbs,2.45
707,kobieta,secretario,nouns,1.1
708,dowód,hecho,nouns,3.0
709,hałas,traqueteo,nouns,3.2
710,potwór,demonio,nouns,3.75
711,zero,infinito,nouns,0.6
712,kapelusz,capa,nouns,0.6
713,uczęszczać,enviar,verbs,0.35
714,przezornie,cuidadosamente,adverbs,4.4
715,zatrzymywać,conducir,verbs,0.3
716,zwycięzca,presencia,nouns,0.25
717,bark,cabeza,nouns,1.1
718,udusić,abrumar,verbs,1.35
