ID,ENG,HEB,PoS,score
129,campaign,קוף,nouns,0.0
130,go,להגיע,verbs,0.96
131,fury,כעס,nouns,5.12
132,word,עמוד,nouns,0.87
133,president,ראש,nouns,1.64
134,bake,לטגן,verbs,1.71
135,badge,זכוכית,nouns,0.24
136,pinch,לחבוט,verbs,0.52
137,deliver,לקבל,verbs,0.5
138,liquor,להקה,nouns,0.0
139,window,קרסול,nouns,0.0
140,discover,לנבוע,verbs,0.77
141,funny,רציני,adjectives,0.45
142,breakfast,בייקון,nouns,1.01
143,newspaper,מילה,nouns,0.82
144,tongue,לחי,nouns,0.99
145,cockpit,טייס משנה,nouns,0.81
146,nose,פה,nouns,0.94
147,choir,כנסייה,nouns,0.94
148,mother,אבא,nouns,1.7
149,doctor,אורתודונט,nouns,1.91
150,wood,אבן,nouns,0.44
151,normally,באופן חריג,adverbs,0.49
152,camera,עובד,nouns,0.1
153,people,דולר,nouns,0.05
154,save,להרוס,verbs,0.3
155,locally,קרוב,adverbs,3.26
156,gulp,לגמוע,verbs,2.63
157,sergeant,אקדח,nouns,0.52
158,north,דרום,nouns,1.06
159,acknowledge,להסכים,verbs,3.36
160,ignore,לבקש,verbs,0.35
161,anarchy,כאוס,nouns,3.83
162,monk,צלב,nouns,0.71
163,dive,ליצור,verbs,0.1
164,wife,סנט,nouns,0.0
165,kill,לחנוק,verbs,1.7
166,madly,בעצב,adverbs,0.54
167,cover,להגן,verbs,1.69
168,topic,סיפור,nouns,1.2
169,election,בחירה,nouns,2.21
170,guest,חבר,nouns,2.01
171,year,יום הולדת,nouns,0.92
172,easy,נוקשה,adjectives,0.4
173,sell,ללכת,verbs,0.05
174,statue,פסל,nouns,4.51
175,assume,לחזות,verbs,0.77
176,mix,לשתות,verbs,0.45
177,reject,למנוע,verbs,0.82
178,steal,לקנות,verbs,0.46
179,inquire,לחפש,verbs,2.0
180,opera,קולנוע,nouns,1.43
181,acquire,למצוא,verbs,1.92
182,garden,צינור,nouns,0.67
183,achieve,לנסות,verbs,0.64
184,biologist,מיקרוסקופ,nouns,0.63
185,opinion,אמונה,nouns,4.01
186,cloud,ערפל,nouns,2.65
187,organize,לאסוף,verbs,1.5
188,ignorant,רגיל,adjectives,0.13
189,bed,רהיט,nouns,1.74
190,sheriff,שוטר,nouns,4.01
191,confusion,היסטריה,nouns,1.41
192,campus,אוניברסיטה,nouns,2.15
193,violent,קיצוני,adjectives,0.91
194,number,ספרה,nouns,5.18
195,poster,נייר,nouns,2.04
196,elect,לדחות,verbs,0.1
197,attempt,להתכוון,verbs,0.62
198,arrest,לחשוד,verbs,0.48
199,universe,שמיים,nouns,1.29
200,create,לדמיין,verbs,1.49
201,key,מנעול,nouns,0.94
202,prey,אל,nouns,0.05
203,fall,להיפצע,verbs,0.91
204,build,ליצור,verbs,3.89
205,happen,להתרחש,verbs,5.27
206,wrist,זרוע,nouns,1.56
207,perceive,לשמוע,verbs,1.49
208,moon,פלנטה,nouns,1.31
209,large,גמיש,adjectives,0.1
210,paper,פוסטר,nouns,2.04
211,acknowledge,להודיע,verbs,1.24
212,radiator,חיישן,nouns,0.52
213,shoulder,גוף,nouns,0.99
214,roughly,באופן שולי,adverbs,0.91
215,determine,לחזות,verbs,1.54
216,shoulder,ראש,nouns,1.16
217,president,פוליטיקאי,nouns,2.4
218,borrow,להתחנן,verbs,0.57
219,valley,נהר,nouns,1.02
220,let,להרשות,verbs,4.79
221,clarify,להגדיר,verbs,2.83
222,practice,לחזור,verbs,1.42
223,blood,וירוס,nouns,0.86
224,deliver,לשאת,verbs,1.0
225,steel,סגסוגת,nouns,2.37
226,succeed,להיכשל,verbs,0.54
227,snow,מפולת שלגים,nouns,1.67
228,polyhedron,שחקן,nouns,0.64
229,billionaire,חסר בית,nouns,0.72
230,forget,ללמוד,verbs,0.49
231,cent,רעיה,nouns,0.0
232,easy,גדול,adjectives,0.35
233,morning,יום,nouns,2.0
234,pride,שמחה,nouns,1.81
235,expensive,ביישן,adjectives,0.05
236,perfectly,באמת,adverbs,1.25
237,smart,אינטליגנטי,adjectives,5.5
238,originate,לגלות,verbs,0.77
239,scheme,רעיון,nouns,2.87
240,intelligence,בורות,nouns,0.49
241,essential,הכרחי,adjectives,5.04
242,penny,מציאה,nouns,0.36
243,hat,קופסה,nouns,0.09
244,shut,להקיא,verbs,0.05
245,army,יחידה,nouns,1.91
246,dumb,טיפש,adjectives,5.09
247,recently,כרגע,adverbs,1.67
248,book,טקסט,nouns,2.46
249,typhoon,ציקלון,nouns,4.28
250,drizzle,גשם,nouns,3.17
251,immediately,בקרוב,adverbs,2.4
252,tragedy,מוות,nouns,1.97
253,stool,כיסא,nouns,3.04
254,handle,חלבון,nouns,0.0
255,child,מבוגר,nouns,0.89
256,vulnerable,חסר אונים,adjectives,3.65
257,odd,מוזר,adjectives,5.09
258,openly,בעוצמה,adverbs,0.3
259,sly,פיקח,adjectives,2.86
260,monarchy,דמוקרטיה,nouns,1.26
261,gathering,עצרת,nouns,4.42
262,save,לאסוף,verbs,2.12
263,reheat,חימום מראש,nouns,1.88
264,negatively,באופן לא טבעי,adverbs,0.57
265,ball,מחבט,nouns,0.99
266,get,להשאיר,verbs,0.35
267,restore,להביא,verbs,0.67
268,verdict,משפט,nouns,1.8
269,pineapple,טלפון סללורי,nouns,0.0
270,complain,להביא,verbs,0.0
271,fail,לסמוך,verbs,0.2
272,beat,להצליף,verbs,3.33
273,disagree,להסכים,verbs,0.54
274,atom,פחמן,nouns,1.56
275,drive,לעצור,verbs,0.45
276,acknowledge,לדבר,verbs,0.67
277,secretary,אישה,nouns,0.74
278,bean,אורז,nouns,1.14
279,happiness,מזל,nouns,0.74
280,clean,מבולגן,adjectives,0.49
281,bad,מושחת,adjectives,2.91
282,sob,לבכות,verbs,4.59
283,horse,שור,nouns,1.19
284,construct,לעשות,verbs,3.3
285,competence,יכולת,nouns,4.41
286,burn,לחנוק,verbs,0.35
287,bring,להתלונן,verbs,0.0
288,strange,ביזארי,adjectives,5.27
289,cook,לאבד,verbs,0.0
290,protein,ידית,nouns,0.0
291,restore,לתקן,verbs,4.36
292,parade,תזמורת,nouns,1.22
293,encourage,לדכא,verbs,0.54
294,inform,להבריק,verbs,0.0
295,dignity,סמל,nouns,0.84
296,agreement,חור,nouns,0.0
297,positively,כנראה,adverbs,0.94
298,job,משימה,nouns,4.09
299,tunnel,שביל,nouns,1.02
300,omnipotence,עליונות,nouns,1.8
301,kill,להגן,verbs,0.56
302,regular,ממוצע,adjectives,3.6
303,region,שטח,nouns,4.89
304,president,תלמיד,nouns,0.2
305,seat,שיפוע,nouns,0.05
306,anthropology,ארכיאולוגיה,nouns,1.38
307,instrument,כינור,nouns,1.39
308,airport,מטוס,nouns,0.89
309,release,ללחוץ,verbs,0.45
310,easy,קשה,adjectives,0.54
311,chapter,פרק,nouns,3.21
312,sword,סביבה,nouns,0.0
313,hurry,למהר,verbs,5.0
314,acquire,להצטרף,verbs,0.3
315,avalanche,שלג,nouns,1.67
316,singer,שחקן,nouns,1.21
317,save,להושיע,verbs,5.31
318,opponent,יריב,nouns,4.74
319,boring,עייף,adjectives,0.66
320,funny,עצוב,adjectives,0.61
321,promote,להתקדם,verbs,2.24
322,pathogen,חיידק,nouns,3.78
323,forgive,להבין,verbs,0.98
324,sad,נורא,adjectives,1.47
325,quest,מטרה,nouns,1.52
326,violent,פאסיבי,adjectives,0.3
327,receive,להסכים,verbs,2.44
328,aggressive,מעוקל,adjectives,0.05
329,firmly,בחוזקה,adverbs,3.13
330,meal,מותן,nouns,0.4
331,dune,מדבר,nouns,1.86
332,navy,צבא,nouns,2.74
333,ride,לדשדש,verbs,0.4
334,sentry,גבר,nouns,0.69
335,bring,להחזיר,verbs,0.67
336,tuition,מלגה,nouns,0.99
337,milkshake,מיץ,nouns,1.34
338,miss,לפגוע,verbs,0.5
339,animal,בהמה,nouns,3.6
340,parcel,משאית,nouns,0.35
341,bush,פרח,nouns,1.85
342,city,עיירה,nouns,3.27
343,alcohol,ברנדי,nouns,1.94
344,right,צדק,nouns,1.34
345,relaxed,לחוץ,adjectives,0.54
346,nicely,באדיבות,adverbs,4.47
347,straw,רעיה,nouns,0.1
348,pay,לטפל,verbs,0.39
349,apple,ממתק,nouns,0.64
350,clever,מטומטם,adjectives,0.49
351,join,להוסיף,verbs,1.94
352,cellphone,טלפון,nouns,3.92
353,anger,מצב,nouns,1.04
354,cigarette,טבק,nouns,1.92
355,disease,זיהום,nouns,2.81
356,box,מעלית,nouns,0.34
357,understand,לסלוח,verbs,0.98
358,pray,לתקשר,verbs,0.99
359,shy,מפוחד,adjectives,1.59
360,allow,לאפשר,verbs,4.79
361,rice,ילד,nouns,0.2
362,hut,מקלט,nouns,1.81
363,afterworld,גיהנום,nouns,2.46
364,celebrate,להפתיע,verbs,0.84
365,surely,לפעמים,adverbs,0.09
366,hike,לטפס,verbs,2.23
367,television,שחקן,nouns,0.69
368,avoid,להכחיש,verbs,0.79
369,ozone,אטמוספירה,nouns,2.89
370,predict,לקבוע,verbs,1.54
371,rice,עוף,nouns,0.59
372,fraternity,דלת,nouns,0.0
373,thumb,יד,nouns,1.42
374,season,חורף,nouns,1.66
375,car,צינור,nouns,0.25
376,chips,סמן,nouns,0.15
377,send,להביא,verbs,0.59
378,guy,חבר,nouns,1.36
379,doctor,רופא,nouns,4.95
380,lazy,יקר ערך,adjectives,0.0
381,cooperate,להשתתף,verbs,2.13
382,boy,אורז,nouns,0.2
383,teeth,עצם,nouns,1.84
384,clothes,כפתור,nouns,0.96
385,battery,תיאטרון,nouns,0.0
386,put,לתת,verbs,0.56
387,tree,מייפל,nouns,2.3
388,critical,חצוף,adjectives,0.93
389,alley,קערה,nouns,0.04
390,past,קודם,nouns,2.3
391,covered,חשוף,adjectives,0.54
392,honestly,בנאמנות,adverbs,1.8
393,shame,צער,nouns,1.09
394,ugly,גס,adjectives,1.16
395,conquest,קרב,nouns,2.06
396,piston,מנוע,nouns,1.77
397,machine,מנוע,nouns,2.14
398,drawer,בגדים,nouns,0.71
399,clothes,בד,nouns,2.04
400,exchange,מטבע,nouns,1.39
401,editorial,חדשות,nouns,2.01
402,liberty,צנזורה,nouns,0.61
403,ledge,הר,nouns,0.47
404,glare,לפזול,verbs,1.29
405,coffee,פול,nouns,1.04
406,greatly,בבהירות,adverbs,0.42
407,forecast,מעונן,nouns,0.81
408,argue,לשכנע,verbs,1.98
409,brow,עין,nouns,1.17
410,known,טוב,adjectives,0.67
411,hill,צוק,nouns,1.48
412,development,גיוס כספים,nouns,0.44
413,envelope,קישוט,nouns,0.2
414,meet,לברך,verbs,1.36
415,word,רמז,nouns,0.35
416,take,לקבל,verbs,0.96
417,sunset,ערב,nouns,1.61
418,lawyer,תובע,nouns,2.7
419,kitchen,אמבטיה,nouns,1.02
420,lip,ירך,nouns,0.74
421,stubborn,טיפש,adjectives,0.56
422,legal,מותר,adjectives,4.21
423,emperor,חוקה,nouns,0.38
424,agree,לרצות,verbs,0.84
425,easily,בנוחיות,adverbs,2.3
426,fur,אקדח,nouns,0.0
427,multiply,לחלק,verbs,0.96
428,lizard,נחש,nouns,1.64
429,choice,בחירות,nouns,2.21
430,hose,גינה,nouns,0.67
431,blood,בשר,nouns,1.27
432,kindly,בצורה יפה,adverbs,4.47
433,private,אישי,adjectives,4.51
434,catastrophe,תאונה,nouns,3.67
435,brain,עצם,nouns,0.62
436,awful,מעולה,adjectives,0.44
437,effort,קושי,nouns,3.05
438,argue,לדרוש,verbs,0.59
439,energy,סוללה,nouns,1.82
440,top,תחתית,nouns,0.66
441,obviously,באופן מקומי,adverbs,0.1
442,cheerful,שמח,adjectives,5.11
443,house,מפתח,nouns,0.77
444,television,קולנוע,nouns,1.99
445,weak,חריף,adjectives,0.1
446,unmentionable,מחוץ לנישואין,adjectives,0.17
447,priest,נזיר,nouns,3.46
448,lucky,מובך,adjectives,0.05
449,hole,רעיה,nouns,0.0
450,communicate,להתפלל,verbs,0.99
451,wait,להישאר,verbs,2.26
452,guardian,מבוגר,nouns,1.07
453,man,חשוד,nouns,0.48
454,mediocre,רע,adjectives,0.81
455,actor,פאון,nouns,0.64
456,rain,ברד,nouns,2.33
457,heavy,גדול,adjectives,1.86
458,messy,מכוער,adjectives,0.98
459,fame,עושר,nouns,1.46
460,sheet,מטוס,nouns,0.0
461,rain,ערפל,nouns,1.79
462,roughly,בוודאי,adverbs,0.44
463,party,מסיכה,nouns,0.45
464,saver,חיסכון,nouns,1.52
465,crocodile,לטאה,nouns,2.4
466,fabric,בגדים,nouns,1.92
467,succeed,להשיג,verbs,2.71
468,jar,כוס,nouns,1.95
469,receive,לתפוס,verbs,1.54
470,republic,דוכס,nouns,0.49
471,cathedral,כנסייה,nouns,3.95
472,temper,דוקטור,nouns,0.0
473,paragraph,מכתב,nouns,0.92
474,weird,נורמלי,adjectives,0.54
475,cyclone,טייפון,nouns,4.28
476,attach,לצרף,verbs,4.86
477,tax,הכנסה,nouns,0.76
478,ask,להתפלל,verbs,1.79
479,borrow,לרצות,verbs,0.1
480,winter,עונה,nouns,1.66
481,physician,דוקטור,nouns,4.95
482,personal,פרטי,adjectives,4.51
483,hammer,שיניים,nouns,0.0
484,usually,בכנות,adverbs,0.05
485,pollution,נשיא,nouns,0.17
486,pathfinder,קשת,nouns,0.26
487,create,לצייר,verbs,1.67
488,sultan,כהונה,nouns,0.71
489,freeze,לרעוד,verbs,1.44
490,chase,לתפוס,verbs,1.17
491,rely,להיכשל,verbs,0.2
492,hut,ביתן,nouns,3.38
493,daughter,אבא,nouns,0.77
494,film,תיאטרון,nouns,1.75
495,assume,להתחזות,verbs,0.39
496,sea,נהר,nouns,1.79
497,champion,מנצח,nouns,4.22
498,add,לכפול,verbs,1.04
499,parapsychology,נוירופסיכולוגיה,nouns,1.61
500,culture,חברה,nouns,2.3
501,fresh,חדש,adjectives,3.29
502,cat,אריה,nouns,1.94
503,lie,להכחיש,verbs,1.27
504,doctor,פרופסור,nouns,2.58
505,lie,להעמיד פנים,verbs,3.06
506,pet,חתול,nouns,2.62
507,immoral,פלילי,adjectives,2.06
508,mark,מועדון,nouns,0.0
509,shrink,להקטין,verbs,3.63
510,hematology,פתולוגיה,nouns,1.91
511,float,לשיר,verbs,0.2
512,automobile,אוטו,nouns,5.79
513,friendly,נדיר,adjectives,0.71
514,educate,ללמוד,verbs,1.26
515,beg,לבקש,verbs,3.11
516,find,לחפש,verbs,1.71
517,keyboard,אור,nouns,0.0
518,crime,הונאה,nouns,2.3
519,print,להתעלם,verbs,0.1
520,wander,לחפש,verbs,0.98
521,cryptogram,סמל,nouns,1.84
522,article,עיתון,nouns,1.95
523,crib,מיטה,nouns,3.3
524,argument,דיון,nouns,2.14
525,crazy,חולה,adjectives,0.76
526,accept,לאשר,verbs,3.36
527,boy,שותף,nouns,0.57
528,weather,גל,nouns,0.3
529,stop,להזהיר,verbs,0.83
530,know,להבין,verbs,2.58
531,creative,חדשני,adjectives,3.87
532,owe,להיכנס,verbs,0.0
533,hit,מסגרת,nouns,0.0
534,sunrise,שקיעה,nouns,1.27
535,visa,גלובליזם,nouns,0.54
536,feel,להאמין,verbs,1.79
537,class,מכללה,nouns,1.01
538,agree,להתווכח,verbs,0.54
539,elegantly,יפה,adverbs,2.76
540,bench,כיסא,nouns,2.61
541,pottery,קרמיקה,nouns,3.6
542,dirty,דביק,adjectives,0.95
543,altitude,המרה,nouns,0.45
544,hail,גשם,nouns,2.33
545,helpless,תלותי,adjectives,2.62
546,paper,עץ,nouns,1.16
547,capacitor,דיודה,nouns,1.56
548,dominate,לנצח,verbs,1.71
549,zero,אינסוף,nouns,0.91
550,deny,להימנע,verbs,0.79
551,symbol,סימן,nouns,4.73
552,normally,באופן שגרתי,adverbs,4.72
553,demand,להתווכח,verbs,0.59
554,private,ציבורי,adjectives,0.54
555,charge,לתעב,verbs,0.4
556,blister,הדגמה,nouns,0.0
557,differently,סופית,adverbs,0.14
558,ignore,לחקור,verbs,0.25
559,literature,מילה,nouns,1.56
560,control,לעצור,verbs,0.57
561,coast,גדה,nouns,3.48
562,jumping,גדר,nouns,0.35
563,path,מנהרה,nouns,1.02
564,fact,תובנה,nouns,2.03
565,mainly,סופני,adverbs,0.04
566,ministry,סולטן,nouns,0.71
567,castle,קיר,nouns,0.81
568,sober,רציונלי,adjectives,2.26
569,foreclose,לשאוף,verbs,0.1
570,mist,גשם,nouns,1.79
571,fertilizer,צמיחה,nouns,0.84
572,flu,חום,nouns,1.71
573,spotless,נקי,adjectives,4.79
574,marginally,לחלוטין,adverbs,0.44
575,curtain,מוט,nouns,0.85
576,forget,לדעת,verbs,0.54
577,band,תזמורת,nouns,3.29
578,blizzard,גשם,nouns,1.15
579,salute,להופיע,verbs,0.3
580,candy,קינמון,nouns,0.71
581,free,תמים,adjectives,0.91
582,destroy,לבנות,verbs,0.54
583,page,מילה,nouns,0.87
584,heart,ניתוח,nouns,0.53
585,become,להראות,verbs,0.17
586,hunt,לחפש,verbs,2.62
587,skin,אופניים,nouns,0.1
588,hall,מעבר,nouns,1.59
589,speak,ללחוש,verbs,1.87
590,irritate,לנחש,verbs,0.05
591,ancient,מודרני,adjectives,0.54
592,leave,להצטרף,verbs,0.54
593,chair,שרפרף,nouns,3.04
594,actively,באופן פסיבי,adverbs,0.29
595,sweater,מעיל,nouns,2.32
596,perform,להצדיע,verbs,0.3
597,inaccurately,בדיוק,adverbs,0.54
598,caliber,מטרייה,nouns,0.3
599,insight,אינטליגנציה,nouns,2.34
600,cuddle,להתחבק,verbs,4.34
601,sucrose,פחמימה,nouns,1.98
602,psychology,מדע,nouns,1.56
603,exchange,תחליף,nouns,3.4
604,target,חץ,nouns,0.94
605,violent,כועס,adjectives,1.58
606,purgatory,העולם הבא,nouns,2.46
607,runner,ספורטאי,nouns,2.26
608,move,להתפתל,verbs,1.04
609,fabric,פשתן,nouns,1.98
610,crime,הפרה,nouns,2.42
611,smash,להרוס,verbs,3.94
612,speed,משרה,nouns,0.3
613,explore,להתעלם,verbs,0.25
614,tin,מתכת,nouns,1.66
615,strange,רגיל,adjectives,0.54
616,accept,להסכים,verbs,2.47
617,flexible,קל,adjectives,1.58
618,night,פרק,nouns,0.05
619,join,לשתף,verbs,1.44
620,soldier,ילד,nouns,0.49
621,hotel,דירה,nouns,1.23
622,judge,בית משפט,nouns,1.35
623,eagle,בז,nouns,2.59
624,weave,לנוע,verbs,1.04
625,attack,לפגוע,verbs,2.77
626,currently,לאחרונה,adverbs,1.67
627,therapy,ביהביוריזם,nouns,1.07
628,belligerence,קרב,nouns,2.51
629,syllabus,מבחן,nouns,0.96
630,bone,לסת,nouns,1.07
631,straight,מעוקל,adjectives,0.57
632,rapid,זריז,adjectives,5.57
633,listen,להבין,verbs,1.44
634,elevator,תיבה,nouns,0.34
635,hallway,מסדרון,nouns,5.76
636,disease,סכנה,nouns,0.76
637,national,מוכר,adjectives,0.6
638,communication,שפה,nouns,1.99
639,politician,שוטר,nouns,0.42
640,rose,פרפר,nouns,0.25
641,inquire,לדרוש,verbs,0.55
642,proud,נועז,adjectives,1.19
643,confuse,ללמוד,verbs,0.3
644,truly,חשוב,adverbs,0.57
645,wet,דביק,adjectives,0.82
646,possess,לקחת,verbs,1.71
647,camera,נשיא,nouns,0.05
648,destruction,בנייה,nouns,0.57
649,violin,כלי,nouns,1.39
650,crunch,לפצח,verbs,0.76
651,horse,כלב,nouns,0.72
652,cytoplasm,ספרה,nouns,0.25
653,satire,מיתוס,nouns,0.63
654,room,אמבטיה,nouns,0.72
655,achieve,להצליח,verbs,2.71
656,band,סבולת,nouns,0.1
657,clothes,אריג,nouns,1.92
658,button,בגדים,nouns,0.96
659,meet,לעזוב,verbs,0.35
660,cook,לערבב,verbs,1.01
661,mechanical,חשמלי,adjectives,0.92
662,wine,ברנדי,nouns,1.84
663,arm,כתף,nouns,1.33
664,juice,מילקשייק,nouns,1.34
665,umbrella,קליבר,nouns,0.3
666,wall,לבנה,nouns,1.16
667,die,לקבור,verbs,0.98
668,hand,ציפורן,nouns,0.74
669,divide,לאחד,verbs,0.54
670,join,לרכוש,verbs,0.3
671,ignore,לשכוח,verbs,1.08
672,hat,מעיל,nouns,0.71
673,dollar,מיליונר,nouns,0.71
674,mouth,שיניים,nouns,1.23
675,presence,מנצח,nouns,0.0
676,nihilism,סרט,nouns,0.15
677,mostly,בעיקר,adverbs,4.29
678,gunboat,חוף,nouns,0.64
679,confident,ודאי,adjectives,5.26
680,teacher,עוזר,nouns,1.88
681,marry,להתאחד,verbs,3.12
682,bone,ברך,nouns,0.94
683,head,כתף,nouns,1.16
684,religion,חילוניות,nouns,0.76
685,learn,לחנך,verbs,1.26
686,credit,לווה,nouns,0.91
687,foolish,ילדותי,adjectives,1.99
688,boy,חייל,nouns,0.49
689,vessel,וריד,nouns,1.75
690,pardon,לסלוח,verbs,5.33
691,bell,דלת,nouns,0.67
692,hip,שפה,nouns,0.74
693,dream,שמיים,nouns,0.48
694,decide,להסיק,verbs,2.04
695,woman,פרווה,nouns,0.2
696,gun,סכין,nouns,1.36
697,teach,להעניש,verbs,0.5
698,grade,לימודים,nouns,0.96
699,college,מקצוע,nouns,0.79
700,take,לגנוב,verbs,2.19
701,god,שטן,nouns,1.17
702,colonel,רופא,nouns,0.34
703,father,הורה,nouns,3.33
704,toy,קובייה,nouns,0.75
705,mud,לכלוך,nouns,3.04
706,roughly,בקלות,adverbs,0.15
707,begin,ללכת,verbs,0.92
708,teacher,תלמיד,nouns,0.91
709,boundary,גבול,nouns,4.57
710,beat,לנצח,verbs,3.69
711,intelligent,מטומטם,adjectives,0.49
712,area,אזור,nouns,4.92
713,nurse,מדען,nouns,0.36
714,matrix,מולקולה,nouns,0.14
715,intelligent,חכם,adjectives,5.5
716,income,מס,nouns,0.76
717,currently,בעדינות,adverbs,0.0
718,window,דלת,nouns,0.94
719,know,להבין,verbs,2.7
720,leg,זרוע,nouns,1.26
721,conquest,המנון,nouns,0.25
722,storm,שלג,nouns,1.74
723,choose,לרצות,verbs,0.91
724,bull,עגל,nouns,2.11
725,excited,מבוהל,adjectives,0.77
726,differ,לטעון,verbs,2.22
727,evict,להשאיר,verbs,0.77
728,sad,מצחיק,adjectives,0.61
729,performance,קמע,nouns,0.74
730,locally,בוודאי,adverbs,0.1
731,deeply,באופן משמעותי,adverbs,2.99
732,saving,אדם חסכן,nouns,1.52
733,phrase,מילה,nouns,2.16
734,speak,לאשר,verbs,0.67
735,dusk,ערב,nouns,3.69
736,belief,ערך,nouns,2.41
737,screen,פונולוגיה,nouns,0.15
738,night,שחר,nouns,0.94
739,sorrow,בושה,nouns,1.09
740,please,להפציר,verbs,0.61
741,sheep,בקר,nouns,2.07
742,hate,להינות,verbs,0.2
743,clever,ערמומי,adjectives,2.86
744,neutral,הססני,adjectives,1.87
745,helpless,פגיע,adjectives,3.65
746,goat,פרה,nouns,1.27
747,cinnamon,ממתק,nouns,0.71
748,show,מתמטיקאי,nouns,0.05
749,bury,למות,verbs,0.98
