ID,HEB,POL,PoS,score
214,דעה,pomysł,nouns,2.05
215,רושם,przekonanie,nouns,1.45
216,תמיד,dwukrotnie,adverbs,0.5
217,קולנוע,opera,nouns,1.65
218,חסר צורה,amorficzny,adjectives,5.45
219,ספר,manuskrypt,nouns,2.1
220,לאומי,znany,adjectives,0.85
221,מאמר,manuskrypt,nouns,1.7
222,להניח,wisieć,verbs,0.7
223,דבורה,insekt,nouns,2.35
224,קשת,zwiadowca,nouns,0.85
225,ללכוד,naśladować,verbs,0.15
226,להאמין,wiedzieć,verbs,0.5
227,אלים,miękki,adjectives,0.35
228,כדור,działo,nouns,0.55
229,בן,ojciec,nouns,1.1
230,זחל,jedwabnik,nouns,2.65
231,קל,duży,adjectives,0.35
232,רקע,tapeta,nouns,3.2
233,עצוב,straszny,adjectives,0.8
234,גבר,ojciec,nouns,2.65
235,בור,regularny,adjectives,0.05
236,מסכן,samotny,adjectives,1.2
237,מפתח,dom ,nouns,0.75
238,תלמיד,student,nouns,4.85
239,סיפון,łódź,nouns,1.95
240,פרק,noc,nouns,0.05
241,פסגה,bok,nouns,0.4
242,לשמור,posiadać,verbs,2.45
243,לשרוק,zatrzymywać,verbs,0.15
244,מוכר,zdrowy,adjectives,0.45
245,מלוכלך,tani,adjectives,0.45
246,עסוק,leniwy,adjectives,0.4
247,דשא,mech,nouns,1.45
248,חופש,wolność,nouns,5.35
249,בחור,ogier,nouns,1.2
250,רע,straszny,adjectives,2.95
251,נייד,giętki,adjectives,1.15
252,לדעת,rozumieć,verbs,2.5
253,מיטה,pokój,nouns,0.6
254,חולי,infekcja,nouns,2.55
255,מזכירה,kobieta,nouns,1.6
256,לרצות,pożyczać,verbs,0.35
257,דומה,jednakowy,adjectives,3.6
258,רע,świetny,adjectives,0.45
259,מאה,dekada,nouns,1.15
260,גדול,ogromny,adjectives,5.45
261,אנשים,przyjęcie,nouns,1.0
262,להתכנס,uczęszczać,verbs,1.8
263,לאשר,powiadamiać,verbs,0.9
264,לסמן,oceniać,verbs,1.3
265,שחמט,szach,nouns,2.9
266,קצב,melodia,nouns,2.8
267,ציקלון,tajfun,nouns,4.35
268,לטייל,wspinać się,verbs,1.3
269,נוסחה,rejestr,nouns,0.65
270,מילון,definicja,nouns,1.55
271,מוזר,dziwaczny,adjectives,5.25
272,צעצוע,sześcian,nouns,0.8
273,קבורה,śmierć,nouns,1.75
274,סגן,funkcjonariusz,nouns,1.9
275,לקרות,wydarzyć się,verbs,4.5
276,מנגינה,muzyka,nouns,3.75
277,לנחש,irytować,verbs,0.2
278,חלון,drzwi,nouns,1.25
279,עורך דין,galeria,nouns,0.0
280,באופן מדהים,wielce,adverbs,0.6
281,גיטרה,skrzypce,nouns,1.75
282,תעופה,lot,nouns,2.45
283,ללכוד,złapać,verbs,5.5
284,מסורת,rękodzieło,nouns,0.55
285,ללכת,odchodzić,verbs,2.15
286,דלת,dzwon,nouns,0.65
287,להרשות,dać,verbs,2.25
288,ערמומי,dziwny,adjectives,0.35
289,לפנות,opuścić,verbs,2.85
290,זרע,młyn,nouns,0.5
291,לחבוט,uszczypnąć,verbs,0.35
292,להרוס,konstruować,verbs,0.5
293,מייפל,drzewo,nouns,2.7
294,ביוטופ,biologia,nouns,1.0
295,להביא,wysyłać,verbs,0.55
296,טלפון,komórka,nouns,4.85
297,דמוקרטיה,monarchia,nouns,1.1
298,עומק,wielkość,nouns,1.65
299,חוף,wyspa,nouns,1.5
300,התזה,lepkość,nouns,0.25
301,רגוע,neutralny,adjectives,1.55
302,יומן,data,nouns,1.45
303,בגאווה,pokornie,adverbs,0.6
304,גל,pogoda,nouns,0.35
305,להניח,dać,verbs,0.6
306,אמא,żona,nouns,1.8
307,לתפוס,uwalniać,verbs,0.5
308,זרוע,kolano,nouns,1.05
309,שפה,komunikacja,nouns,2.25
310,להטות,wpłynąć,verbs,3.3
311,סוכר,miód,nouns,1.2
312,חום,grypa,nouns,1.45
313,להתחרות,skończyć,verbs,0.15
314,מטרה,strzała,nouns,0.9
315,הנהלה,administracja,nouns,3.05
316,מחשב,maszyna,nouns,3.2
317,להדפיס,ignorować,verbs,0.1
318,חופש,cenzura,nouns,0.5
319,להתארס,poślubić,verbs,1.45
320,סבולת,kwiat,nouns,0.0
321,בהרס,pokojowo,adverbs,0.2
322,כדור,rękawica,nouns,0.6
323,גדול,szeroki,adjectives,2.15
324,שחיתות,oszustwo,nouns,3.25
325,קשה,trudny,adjectives,3.3
326,הפוך,unikatowy,adjectives,0.3
327,לנסות,myśleć,verbs,0.5
328,המנון,słoma,nouns,0.0
329,כדור,siatkówka,nouns,1.85
330,משעמם,śmieszny,adjectives,0.45
331,סערה,chmura,nouns,1.5
332,שיח,kwiat,nouns,1.75
333,תזמורת,zespół,nouns,3.75
334,אסון,śmierć,nouns,2.05
335,מצומצם,niewystarczający,adjectives,1.5
336,חדש,nowy,adjectives,3.5
337,להימנע,zaprzeczać,verbs,0.8
338,למצוא,zniknąć,verbs,0.5
339,לשכוח,uczyć się,verbs,0.45
340,קערה,zaułek,nouns,0.0
341,אח,syn,nouns,1.65
342,תנור חימום,parasol,nouns,0.55
343,לפרוש,wycofać się,verbs,2.65
344,אשם,zawstydzony,adjectives,0.55
345,מלך,księżniczka,nouns,1.6
346,ידית,białko,nouns,0.0
347,רצועה,wytrzymałość,nouns,0.1
348,אמבטיה,balon,nouns,0.05
349,לעיתים קרובות,czasem,adverbs,1.15
350,ללמוד,słuchać,verbs,1.05
351,חלום,niebo,nouns,0.4
352,גבינה,chleb,nouns,0.6
353,ערב,zmierzch,nouns,3.95
354,מפולת שלגים,śnieg,nouns,1.9
355,עיתון,informacja,nouns,1.55
356,לבלוע,pić,verbs,2.2
357,צינור,ogród,nouns,0.85
358,חבר,kochanek,nouns,1.85
359,בלון,ludzie,nouns,0.15
360,תיאטרון,bateria,nouns,0.0
361,להפציר,zadowalać,verbs,0.3
362,חסר צורה,jednolity,adjectives,0.15
363,באופן משמעותי,specjalnie,adverbs,2.7
364,לשים,dostać,verbs,0.4
365,לקבל,wierzyć,verbs,1.4
366,חימום מחדש,nagrzewać,nouns,2.1
367,אישה,zadanie,nouns,0.0
368,דאגה,ostrożność,nouns,2.55
369,להביא,przywrócić,verbs,1.4
370,פילוסוף,wyścigi,nouns,0.0
371,להתעלם,zapominać,verbs,1.4
372,להרגיז,zniechęcać,verbs,1.15
373,ענן,jezioro,nouns,0.6
374,ריקוד,sukienka,nouns,0.35
375,מוסכמה,zasada,nouns,2.7
376,בינוני,niezły,adjectives,0.7
377,למות,pochować,verbs,1.25
378,ראש,nos,nouns,1.15
379,טיפשי,tępy,adjectives,4.6
380,מאמר,książka,nouns,1.5
381,לכתוב,bazgrać,verbs,2.8
382,לטגן,gotować,verbs,2.35
383,לתקוף,drażnić,verbs,0.9
384,להרשות,aprobować,verbs,4.35
385,לזרום,dryfować,verbs,3.15
386,נקי,nieskazitelny,adjectives,4.75
387,תיל,drut,nouns,3.4
388,שדה תעופה,samolot,nouns,1.25
389,מועסק,pracodawca,nouns,1.3
390,להתפעל,uwielbiać,verbs,3.45
391,לרכב,tasować,verbs,0.4
392,כרכרה,samochód,nouns,2.3
393,להעציב,zranić,verbs,1.5
394,אוניברסיטה,kampus,nouns,2.8
395,ברצינות,znacząco,adverbs,3.0
396,להגיד,weryfikować,verbs,0.65
397,פאי,czekolada,nouns,0.7
398,להתדרדר,wycierać,verbs,0.2
399,לאחד,dzielić,verbs,0.5
400,באופן מציאותי,idealnie,adverbs,0.95
401,גן חובה,przedszkole,nouns,2.0
402,כדורגל,zabawa,nouns,1.0
403,לשמור,pożyczać,verbs,0.55
404,להפסיק,zaczynać,verbs,0.5
405,לקנות,płacić,verbs,2.4
406,הרס,konstrukcja,nouns,0.5
407,סגסוגת,stal,nouns,2.35
408,מונית,autobus,nouns,1.8
409,טיעון,krytyka,nouns,1.3
410,גמיש,wielki,adjectives,0.1
411,יצירתי,nowatorski,adjectives,3.6
412,לסדר,wymagać,verbs,0.4
413,יד,nadgarstek,nouns,1.75
414,צנצנת,filiżanka,nouns,1.8
415,אחווה,drzwi,nouns,0.05
416,להתקדם,promować,verbs,2.8
417,להקניט,ranić,verbs,2.55
418,לפגוש,odchodzić,verbs,0.35
419,עורך דין,oskarżyciel,nouns,1.85
420,לפצח,chrzęścić,verbs,0.55
421,בהגינות,niesprawiedliwie,adverbs,0.5
422,בית דין,sprawiedliwość,nouns,2.1
423,חלק,lotnisko,nouns,0.1
424,להסכים,uznawać,verbs,4.4
425,לרכב,biegać,verbs,0.6
426,אלומיניום,blacha,nouns,2.3
427,מקצב,wiersz,nouns,1.35
428,חד,gładki,adjectives,0.6
429,כיבוש,podróż,nouns,0.95
430,מכה,rama,nouns,0.0
431,לשמור,zapominać,verbs,0.75
432,מילה,gazeta,nouns,0.95
433,המרה,wysokość,nouns,0.65
434,מכונאי,robotnik,nouns,2.05
435,ג'ינס,kobieta,nouns,0.3
436,מכונית,ulica,nouns,0.7
437,לשרבט,pisać,verbs,2.8
438,גוף,kręgosłup,nouns,1.25
439,חלון,dach,nouns,0.75
440,מעורפל,niejasny,adjectives,3.85
441,לשכוח,wiedzieć,verbs,0.5
442,משוגע,niepoczytalny,adjectives,5.0
443,להקטין,przemoczyć,verbs,0.25
444,לחי,język,nouns,0.95
445,זמר,refren,nouns,0.95
446,להחזיר,zastąpić,verbs,2.0
447,להזכיר,zapominać,verbs,0.5
448,בורות,inteligencja,nouns,0.45
449,גורד שחקים,pałac,nouns,1.35
450,באופן פסיבי,aktywnie,adverbs,0.3
451,לבשל,wymieszać,verbs,0.9
452,כבידה,meteor,nouns,0.65
453,מולקולה,atom,nouns,3.0
454,מחברת,pistolet,nouns,0.0
455,באופן לא טבעי,negatywnie,adverbs,0.6
456,פתיל,przędza,nouns,4.3
457,אל,duch,nouns,1.6
458,גב,ciało,nouns,1.25
459,לחנוק,przytłaczać,verbs,0.8
460,תאונה,awaria,nouns,2.4
461,מושב,brzeg,nouns,0.2
462,עצבני,przestraszony,adjectives,1.3
463,שער,drzwi,nouns,4.15
464,אווירונאוטיקה,awionika,nouns,2.15
465,לרדוף,przekonywać,verbs,1.2
466,אישה,mężczyzna,nouns,0.9
467,דרמטיטיס,egzema,nouns,2.35
468,לאשר,akceptować,verbs,4.4
469,פוסטר,papier,nouns,1.95
470,להתייפח,płakać,verbs,4.9
471,צפון,południe,nouns,0.85
472,משאית,pakunek,nouns,0.85
473,בעיקר,przeważnie,adverbs,4.65
474,מנהלה,kierownictwo,nouns,3.05
475,מחנה,domek,nouns,0.9
476,שחקן,telewizja,nouns,1.05
477,דוכס,republika,nouns,0.45
478,תשוקה,emocja,nouns,2.7
479,נהר,strumień,nouns,2.15
480,לנשל,dać,verbs,0.5
481,בקלות,jasno,adverbs,0.55
482,לאפשר,iść,verbs,0.15
483,פיקח,tępy,adjectives,0.45
484,נפלא,niesamowity,adjectives,5.2
485,לבוש,przykryty,adjectives,2.6
486,סוציוביולוגיה,mutant,nouns,0.55
487,להימנע,ignorować,verbs,2.4
488,תשלום,notatka,nouns,0.0
489,כבל,przewód,nouns,3.4
490,מסוק,samolot,nouns,2.2
491,לקבור,przykryć,verbs,2.7
492,לתשאל,szukać,verbs,1.75
493,כף,sok,nouns,0.25
494,כיכר,mapa,nouns,0.45
495,מכונית,szosa,nouns,0.85
496,מוסר,legenda,nouns,0.55
497,קושי,wysiłek,nouns,3.15
498,חברותי,hojny,adjectives,0.55
499,פרוטסטנט,chrześcijanin,nouns,2.35
500,ביתן,pole,nouns,0.9
501,קול ,akustyka,nouns,2.0
502,הכתרה,woda,nouns,0.05
503,לאשר,mówić,verbs,0.65
504,שמח,zadowolony,adjectives,5.0
505,ראש,stopa,nouns,0.7
506,ודאי,pewny,adjectives,4.55
507,אנושות,zasadniczo,adverbs,0.5
508,אלים,bierny,adjectives,0.3
509,שחר,noc,nouns,0.75
510,לחנוק,zabić,verbs,2.2
511,אמבטיה,kuchnia,nouns,1.05
512,כוכב,jasność,nouns,1.25
513,לעזוב,wędrować,verbs,1.05
514,תא הטייס,drugi pilot,nouns,0.8
515,שומר,mężczyzna,nouns,0.85
516,פעמון,drzwi,nouns,0.65
517,בשמחה,bezpiecznie,adverbs,1.2
518,רובוטיקה,symulacja,nouns,1.05
519,מרחק,perspektywa,nouns,2.2
520,להסכים,nie zgadzać się,verbs,0.5
521,משפט,werdykt,nouns,2.05
522,יד,stopa,nouns,1.0
523,וריד,żołądek,nouns,0.55
524,מיכל,mysz,nouns,0.05
525,בייקון,fasola,nouns,0.7
526,לעזוב,ignorować,verbs,1.2
527,לכפול,dodawać,verbs,0.75
528,מוות,tragedia,nouns,2.6
529,לקבל,zaprzeczać,verbs,0.2
530,פרקליט,adwokat,nouns,4.5
531,לרצות,wybierać,verbs,1.3
532,חזק,słaby,adjectives,0.5
533,פרספקטיבה,dystans,nouns,2.2
534,תות,wiśnia,nouns,2.1
535,דמדומים,wieczór,nouns,3.95
536,צמא,głodny,adjectives,1.25
537,קל,giętki,adjectives,0.85
538,יד,kciuk,nouns,1.55
539,צוואר,kręgosłup,nouns,1.0
540,להסביר,dyskutować,verbs,1.65
541,רכבת,tramwaj,nouns,2.05
542,למכור,pożyczać,verbs,0.7
543,שמיים,wrzechświat,nouns,1.75
544,לקבל,dać,verbs,1.1
545,אף,usta,nouns,0.9
546,לקבל,pozostać,verbs,0.35
547, לנער,mieszać,verbs,2.2
548,נמרצות,precyzyjnie,adverbs,0.95
549,באופן אמין,pobieżnie,adverbs,0.3
550,חוקי,nielegalny,adjectives,0.5
551,דלת,bractwo,nouns,0.05
552,לבכות,śmiać się,verbs,0.5
553,הונאה,korupcja,nouns,3.25
554,חג,kalendarz,nouns,1.25
555,אחות,naukowiec,nouns,0.25
556,צר,brudny,adjectives,0.0
557,זריז,szybki,adjectives,5.35
558,שלג,lawina,nouns,1.9
559,ברצינות,szczerze,adverbs,1.45
560,ביזארי,dziwny,adjectives,4.9
561,חבילה,ciężarówka,nouns,0.85
562,עצם,szczęka,nouns,1.4
563,בטן,ciało,nouns,1.45
564,לנחם,poniżać,verbs,0.35
565,להגיע,odchodzić,verbs,0.45
566,שיניים,młotek,nouns,0.0
567,לחלק,łączyć,verbs,0.5
568,להתחלף,przerobić,verbs,2.9
569,לחשוד,aresztować,verbs,1.0
570,לעולם לא,chojnie,adverbs,0.45
571,להכחיש,akceptować,verbs,0.2
572,סיפור,książka,nouns,2.35
573,קורבן,telefon,nouns,0.15
574,רופא,pułkownik,nouns,0.3
575,חדר,cela,nouns,2.65
576,ספר,tekst,nouns,2.3
577,בחירה,rozdział,nouns,0.25
578,שעועית,bekon,nouns,0.7
579,לקבל,kupować,verbs,0.7
580,מדים,nieukształtowany,adjectives,0.15
581,נחש,jaszczurka,nouns,1.25
582,שותף,chłopiec,nouns,1.05
583,סיפור,ołówek,nouns,0.35
584,אטמוספירה,zanieczyszczenie,nouns,0.5
585,לקצור,zyskać,verbs,1.95
586,להרשות,obalać,verbs,0.1
587,שוטר,polityk,nouns,0.4
588,אוטובוס,pojazd,nouns,2.65
589,חברה,kultura,nouns,1.45
590,סיעור מוחות,teleskop,nouns,0.0
591,מולקולה,matryca,nouns,0.2
592,כלכלה,ekosystem,nouns,0.55
593,להפציר,błagać,verbs,4.55
594,למצוא,nabyć,verbs,1.45
595,להתעלם,drukować,verbs,0.1
596,בעצב,szalenie,adverbs,0.5
597,שיר,opowieść,nouns,1.5
598,חיה,osoba,nouns,0.7
599,נזיר,ksiądz,nouns,3.05
600,מתרגם,obcokrajowiec,nouns,0.5
601,בחור,przyjaciel,nouns,1.5
602,מעולה,okropny,adjectives,0.4
603,ירך,warga,nouns,0.8
604,אינץ',jard,nouns,1.55
605,להתווכח,kłocić się,verbs,2.5
606,טוב,mierny,adjectives,0.7
607,לארגן,stać się,verbs,0.6
608,צעיר,szczęśliwy,adjectives,0.5
609,בזהירות,ostrożnie,adverbs,4.0
610,בטיחות,wygoda,nouns,1.05
611,משימה,wyspa,nouns,0.0
612,בטן,kurs,nouns,0.0
613,לוח שנה,święto,nouns,1.25
614,ברכות,głośno,adverbs,0.25
615,קופסה,kapelusz,nouns,0.15
616,להחזיר,przynieść,verbs,1.4
617,לרכוש,ukraść,verbs,1.1
618,להרוס,robić,verbs,0.5
619,להודיע,deklarować,verbs,4.7
620,אנציקלופדיה,słownik,nouns,2.2
621,אפשרי,możlwie,adverbs,4.8
622,ענן,opary,nouns,1.75
623,ארוך,krótki,adjectives,0.5
624,בית,stodoła,nouns,0.95
625,פה,ząb,nouns,1.2
626,תמונה,pomysł,nouns,0.45
627,מוזיקה,flet,nouns,1.05
628,לדעת,wierzyć,verbs,0.5
629,שמפניה,whisky,nouns,1.7
630,בעדינות,głośno,adverbs,0.2
631,מצחיק,smutny,adjectives,0.5
632,ערך,przekonanie,nouns,2.05
633,זכות בחירה,wyjście,nouns,0.05
634,לנצח,dominować,verbs,2.05
635,בן,dziecko,nouns,3.65
636,מטען,dysk,nouns,0.35
637,חשמלית,pociąg,nouns,2.05
638,לרעוד,zamarzać,verbs,1.2
639,בחירה,wybory,nouns,2.65
640,מצוין,wspaniały,adjectives,5.2
641,לריב,nie zgadzać się,verbs,1.75
642,רחוב,samochód,nouns,0.7
643,גבר,wujek,nouns,1.6
644,חתול,mysz,nouns,0.9
645,בחוזקה,niewiarygodnie,adverbs,1.1
646,בירה,alkohol,nouns,2.9
647,בניין,pokój,nouns,1.15
648,מסע,wycieczka,nouns,4.7
649,צוואר,kość,nouns,0.75
650,ערך,stopa,nouns,0.95
651,מהירות,słup,nouns,0.3
652,סבולת,zespół,nouns,0.1
653,לנתץ,rozwalić,verbs,5.35
654,איש,podejrzany,nouns,0.65
655,בדיה,biografia,nouns,0.55
656,רגש,pasja,nouns,2.7
657,לסדוק,złamać się,verbs,3.4
658,לחקור,odkryć,verbs,3.0
659,לטגן,zagotować,verbs,2.1
660,שד,potwór,nouns,4.55
661,לשיר,unosić się,verbs,0.2
662,היסטריה,konfuzja,nouns,0.9
663,רהיט,mieszkanie,nouns,0.8
664,פסגה,spód,nouns,0.5
665,מטורף,szalony,adjectives,5.0
666,רעיון,wizerunek,nouns,0.45
667,כביש,samochód,nouns,0.85
668,עבודה,zadanie,nouns,3.4
669,ארמון,wieżowiec,nouns,1.35
670,מכונית,czołg,nouns,0.95
671,גמיש,ruchomy,adjectives,1.15
672,גס,brzydki,adjectives,1.15
673,ויכוח,porozumienie,nouns,0.7
674,תנאי,pakt,nouns,1.5
675,דגנים,pszenica,nouns,3.75
676,פסנתר,harmonia,nouns,0.65
677,קיר,zamek,nouns,0.7
678,רטוב,klejący,adjectives,0.85
679,שמח,obłąkany,adjectives,0.45
680,לילה,dzień,nouns,0.55
681,שדה,owies,nouns,1.5
682,נפלא,rozkoszny,adjectives,3.05
683,ביהביוריזם,terapia,nouns,1.45
684,לחלוק,zgadzać się,verbs,0.5
685,בית,klucz,nouns,0.75
686,העולם הבא,czyściec,nouns,2.15
687,לקחת,chwytać,verbs,1.3
688,קומה,pokład,nouns,2.3
