ID,FRA,SWA,PoS,score
93,cogitation,changamsha bongo,nouns,0.05
94,parfois,mara nyingine,adverbs,0.3
95,employé,wafanyakazi,nouns,0.35
96,juge,hakimu,nouns,2.7
97,certain,ana hakika,adjectives,5.3
98,mortellement,hatari sana,adverbs,0.3
99,exiger,kutaka,verbs,0.45
100,cuit,pikwa,adjectives,3.95
101,moissonneuse-batteuse,changanya,nouns,0.3
102,whisky,shampeni,nouns,3.4
103,entrer,kuondoka,verbs,0.25
104,choix,sura,nouns,0.45
105,lire,kufahamu,verbs,1.0
106,barreau,jela,nouns,3.6
107,occupé,bizi,adjectives,0.5
108,épouse,mama,nouns,3.0
109,conversation,mawasiliano,nouns,4.6
110,froid,baridi,adjectives,0.2
111,notifier,kuonyesha,verbs,1.75
112,cours,sarafu,nouns,0.65
113,oasis,oasisi,nouns,0.2
114,cours,tumbo,nouns,0.15
115,jurer,kuapa,verbs,4.85
116,cuillère,kijiko,nouns,0.5
117,alcool,divai,nouns,3.9
118,surtout,zaidi,adverbs,0.75
119,siffler,mluzi,verbs,0.25
120,météo,theluji,nouns,1.35
121,passif,kupooza,adjectives,0.35
122,deviner,kubuni,verbs,0.15
123,vison,manyoya,nouns,3.25
124,appareil photo,lenzi,nouns,2.35
125,insecte,nyuki,nouns,2.95
126,écosystème,mfumo wa ikolojia,nouns,0.9
127,récompense,thawabu,nouns,3.9
128,vaste,mwembamba,adjectives,0.6
129,ancre,boti,nouns,1.55
130,rare,adimu,adjectives,4.6
131,étamine,stameni,nouns,2.3
132,apporter,kuja,verbs,0.8
133,souris,menejimenti,nouns,0.0
134,peuple,puto,nouns,0.0
135,facile,bila jasho,adjectives,5.35
136,nuage,wingu,nouns,0.4
137,solitaire,mpweke,adjectives,1.45
138,type,patna,nouns,1.05
139,paille,mke,nouns,0.0
140,mutant,jitu,nouns,0.25
141,bulle,mapovu,nouns,2.1
142,parapluie,mwamvuli,nouns,0.25
143,inutilisé,haijatumika,adjectives,4.7
144,simple,rahisi,adjectives,5.35
145,nouveau,mpya,adjectives,4.7
146,devoir,kuingia,verbs,0.15
147,mot,kamusi,nouns,2.2
148,croiseur,meli ya vita,nouns,5.4
149,capturer,kushika,verbs,0.25
150,farine,mkate,nouns,1.9
151,système,mfumo,nouns,0.2
152,tenir,kushikilia,verbs,3.2
153,café,maharagwe,nouns,0.55
154,assister,kutuma,verbs,0.25
155,coureur,mkimbiaji,nouns,4.55
156,île,jukumu,nouns,0.05
157,honteux,mwenye kiasi,adjectives,0.55
158,pouce,mita,nouns,2.55
159,clé,kifunguo,nouns,0.05
160,rose,waridi,nouns,0.4
161,hutte,nyumba ndogo,nouns,3.55
162,absorber,kumiliki,verbs,0.55
163,tribunal,korti,nouns,2.7
164,juge,hakimu mkuu,nouns,5.15
165,couple,jozi,nouns,5.8
166,gens,sherehe,nouns,0.8
167,faux,bandia,adjectives,4.9
168,cliquetis,kelele,nouns,4.4
169,plaider,kujipendekeza,verbs,0.35
170,victime,mwathirika,nouns,0.1
171,semestre,awamu,nouns,4.45
172,aller,kuenda,verbs,3.45
173,spécialement,makusudi,adverbs,2.25
174,faible,dhaifu,adjectives,0.1
175,dinde,ndege,nouns,3.7
176,fourrure,mwanamke,nouns,0.25
177,prêter,kudaiwa,verbs,0.75
178,poulet,chakula cha usiku,nouns,1.1
179,intelligence,mantiki,nouns,3.4
180,informer,kujulisha,verbs,5.5
181,basilique,basilika,nouns,0.45
182,code,alama,nouns,2.65
183,corps,mkono,nouns,2.15
184,fièrement,kwa jeuri,adverbs,0.45
185,entreprise,biashara,nouns,3.2
186,affectation,jukumu,nouns,3.35
187,sagesse,akili,nouns,4.0
188,président,mwanasiasa,nouns,3.4
189,chasser,kuwinda,verbs,2.65
190,satisfaire,kuburudisha,verbs,0.65
191,congrès,mkutano,nouns,3.35
192,voiture,gari,nouns,3.6
193,vaste,mkubwa,adjectives,3.4
194,soi,hakika,nouns,1.05
195,hystérie,ghasia,nouns,1.55
196,pacifiquement,kwa amani,adverbs,4.45
197,suivre,kufuata,verbs,2.4
198,littérature,kitabu,nouns,2.65
199,arriver,kutokea,verbs,5.45
200,trou,mapatano,nouns,0.0
201,grossier,jeuri,adjectives,0.35
202,paume,kidole,nouns,1.7
203,débattre,kupinga,verbs,0.55
204,stupide,adimu,adjectives,0.15
205,pistolet,watu,nouns,0.25
206,violent,wa ghadhabu,adjectives,1.7
207,pomme,peremende,nouns,1.1
208,voiture,kiwanda,nouns,0.6
209,criminalité,wizi,nouns,3.45
210,arrière,nyuma,nouns,2.8
211,sacre,kusimikwa ufalme,nouns,0.25
212,médiocre,ya kawaida,adjectives,1.3
213,conduire,endesha,verbs,0.42
214,honnête,ana hatia,adjectives,0.7
215,porte,mlango wa kutoka,nouns,2.6
216,criminalité,uhalifu,nouns,1.7
217,bras,mwili,nouns,2.15
218,malheureux,ana hasira,adjectives,2.65
219,agité,mchanga,adjectives,0.7
220,mère,mke,nouns,3.0
221,éduquer,kuelimisha,verbs,5.1
222,truite,samaki,nouns,0.05
223,mélanger,kuchanganya,verbs,0.25
224,épée,sime,nouns,0.5
225,batterie,gitaa,nouns,2.55
226,enseignant,mwalimu,nouns,1.85
227,donner,kupokea,verbs,1.05
228,quotidiennement,kila siku,adverbs,2.5
229,groupe,wanamuziki,nouns,4.25
230,tomber,kuanguka,verbs,1.05
231,vol,uhalifu,nouns,3.45
232,atome,molekuli,nouns,3.35
233,jamais,kamwe,adjectives,0.5
234,petit déjeuner,nyama ya nguruwe,nouns,1.2
235,lit,blanketi,nouns,1.85
236,bureau,ofisi,nouns,0.75
237,brûler,kuunguza,verbs,0.35
238,bain,mbinu,nouns,0.0
239,prétendre,kuonyesha,verbs,0.4
240,meuble,kitanda,nouns,3.05
241,désarroi,kichaa,nouns,1.55
242,plafond,paa,nouns,4.35
243,topologie,upangilio,nouns,3.6
244,boisson,bia,nouns,3.75
245,attacher,kujiunga,verbs,1.4
246,pousser,kusukuma,verbs,0.2
247,couvent,monasteri,nouns,0.1
248,initialement,ya uhalisia,adverbs,0.8
249,boîte,sanduku,nouns,0.0
250,bon marché,rahisi,adjectives,5.6
251,douche,shower,nouns,0.1
252,provenir,kugundua,verbs,0.3
253,heureux,ana hasira,adjectives,0.75
254,garçon,wali,nouns,0.05
255,aviation,safari ya angani,nouns,3.25
256,ajouter,kuunda,verbs,0.85
257,ascenseur,gari,nouns,0.7
258,élire,kuchagua,verbs,5.3
259,emprunter,kupa,verbs,1.05
260,transparent,teleza,nouns,0.1
261,choisir,kuteua,verbs,5.3
262,maintenant,sasahivi,adverbs,1.7
263,télévision,runinga,nouns,1.0
264,nommer,kuchagua,verbs,5.45
265,ordinaire,mara kwa mara,adjectives,0.45
266,insensé,ana wazimu,adjectives,5.75
267,classe,darasa,nouns,0.15
268,pluie,mvua,nouns,3.65
269,penser,kuamua,verbs,2.35
270,pistolet,mzinga,nouns,2.45
271,cruel,mwema,adjectives,0.6
272,sucre,asali,nouns,2.75
273,queue,jabali,nouns,0.05
274,bowling,bowling,nouns,2.0
275,musée,jumba la makumbusho,nouns,0.0
276,sûrement,kwa hakika,adverbs,5.25
277,homme,mjomba,nouns,2.55
278,vainqueur,mwanaume,nouns,0.65
279,illustration,katuni,nouns,0.15
280,polir,kung'arisha,verbs,0.1
281,chanteur,mtaalamu wa sauti,nouns,0.35
282,ignorer,kufanya utafiti,verbs,0.35
283,argent,mshahara,nouns,3.75
284,lézard,mjusi,nouns,2.95
285,vieux,zamani,adjectives,0.05
286,réveiller,kuamka,verbs,0.75
287,inflexion,inflection,nouns,0.9
288,faillite,kufilisika,nouns,4.55
289,promettre,kuweka ahadi,verbs,4.85
290,construire,kutengeneza,verbs,4.5
291,ville,mji,nouns,5.0
292,chaise,sofa,nouns,3.5
293,baseball,kochi,nouns,0.05
294,poème,shairi,nouns,1.5
295,tâche,njia kuu,nouns,0.15
296,accuser,kutiachaji,verbs,1.1
297,maison,ufunguo,nouns,1.15
298,sol,mlango,nouns,0.4
299,savoir,kupa,verbs,0.3
300,triste,huzuni,adjectives,0.65
301,poule,ndege,nouns,3.1
302,altitude,urefu,nouns,0.2
303,patient,mgonjwa,nouns,0.1
304,agonie,huzuni,nouns,2.6
305,vallée,bonde,nouns,0.6
306,compétence,akili,nouns,3.05
307,tarte,chokoleti,nouns,1.45
308,bol,mkia,nouns,0.05
309,rincer,kusuuza,verbs,4.4
310,délinquant,mkosaji,nouns,5.05
311,lac,bwawa,nouns,2.9
312,devenir,kupanga,verbs,0.25
313,traiter,kuhusika,verbs,0.4
314,coucher de soleil,machweo,nouns,0.0
315,lit,kitanda cha mtoto,nouns,4.35
316,poulet,wali,nouns,0.8
317,mètre,inchi,nouns,2.55
318,terminer,kumaliza,verbs,3.55
319,différemment,kitofauti,adverbs,0.0
320,docteur,tabibu,nouns,5.5
321,prêter,kupa,verbs,3.2
322,ordinaire,kawaida,adjectives,0.2
323,cognac,kileo,nouns,3.3
324,important,muhimu,adjectives,0.7
325,réussir,kujaribu,verbs,1.6
326,bon,rasmi,adjectives,1.4
327,panier,mpira,nouns,0.8
328,libérer,kuachilia,verbs,0.2
329,défendre,kulinda,verbs,5.1
330,principalement,kimsingi,adverbs,0.45
331,principalement,haswa,adverbs,0.1
332,dieu,baba,nouns,2.4
333,mixte,kumbakumba,adjectives,0.05
334,adulte,mzazi,nouns,3.25
335,fier,kujivunia,adjectives,0.65
336,prison,chaguo,nouns,0.25
337,bétail,kondoo,nouns,3.65
338,soigné,safi,adjectives,5.55
339,recueillir,kuchukua,verbs,0.15
340,programme,mradi,nouns,0.55
341,combattre,pigana,verbs,1.05
342,combattre,kupigana,verbs,0.7
343,misère,ukiwa,nouns,3.0
344,dispositif,chungu,nouns,0.35
345,succès,pigo,nouns,0.1
346,grandement,sana,adverbs,1.95
347,symbole,msimbo,nouns,2.65
348,apprendre,kujifunza,verbs,2.15
349,chef,meya,nouns,2.55
350,soigneusement,kwa utaratibu,adverbs,0.4
351,repas,kiuno,nouns,0.15
352,rivière,bahari,nouns,2.6
353,bateau,gari,nouns,1.4
354,rétrécir,kukua,verbs,0.85
355,admettre,kukubali,verbs,0.9
356,emprunteur,mkopi,nouns,1.5
357,club,klabu,nouns,0.25
358,émeute,mgomo,nouns,0.15
359,créer,kuharibu,verbs,0.8
360,municipalité,jiji,nouns,5.0
361,innocent,asiye na hatia,adjectives,2.25
362,millionnaire,milionea,nouns,1.75
363,approximativement,takriban,adverbs,0.38
364,facile,imara,adjectives,0.75
365,boue,uchafu,nouns,3.7
366,clarifier,fafanua,verbs,4.75
367,verger,kiunga,nouns,0.05
368,médaille,medali,nouns,0.55
369,sale,rahisi,adjectives,0.2
370,mythe,hadithi,nouns,2.2
371,différemment,tofauti,adverbs,1.2
372,porter,kuvaa,verbs,0.15
373,mettre,kupata,verbs,0.4
374,déni,kukiri,nouns,0.95
375,évaluer,kujifunza,verbs,1.05
376,porter,kuvaa,verbs,0.15
377,plonger,piga mbizi,verbs,0.1
378,venir,kuhudhuria,verbs,3.2
379,vulnérable,walio hatarini,adjectives,0.5
380,intensité,nuru,nouns,2.05
381,whisky,kileo,nouns,3.9
382,perdre,kupata,verbs,0.8
383,trouver,kupotea,verbs,0.3
384,pathologie,stadi ya magonjwa,nouns,2.8
385,science,saikolojia,nouns,2.5
386,pauvre,masikini,adjectives,1.45
387,vendre,kuazima,verbs,0.6
388,communication,lugha,nouns,3.05
389,glace,barafu,nouns,4.05
390,frigide,wa kukwaruza,adjectives,0.15
391,trouver,kupata,verbs,0.3
392,abeille,mdudu,nouns,2.95
393,aéroport,uwanja wa ndege,nouns,0.1
394,perspicacité,ukweli,nouns,1.45
395,manifestement,ni wazi,adverbs,0.55
396,basket,wakufunzi,nouns,0.55
397,légèrement,mara kwa mara,adverbs,0.95
398,protestant,protestanti,nouns,3.6
399,écran,kiwambo,nouns,0.2
400,furieux,mwenye furaha,adjectives,0.75
401,certain,uhakika,adjectives,0.15
402,gagnant,bingwa,nouns,5.25
403,représenter,kujulisha,verbs,1.75
404,neige,theluji,nouns,4.05
405,bétail,ngombe,nouns,3.45
406,échec,chess,nouns,2.3
407,magistrat,hakimu,nouns,5.15
408,explorer,kupuuza,verbs,0.35
409,incertain,haijulikani,adjectives,4.9
410,limité,haba,adjectives,4.6
411,sculpture,sanamu,nouns,4.8
412,communication,habari,nouns,2.7
413,mécaniquement,kwa ustadi,adverbs,0.45
414,tragédie,kifo,nouns,2.55
415,mer,bahari,nouns,1.5
416,grippe,homa,nouns,3.85
417,haricot,kahawa,nouns,0.55
418,épargne,kuokoa,nouns,3.35
419,follement,kwa ghadhabu,adverbs,0.7
420,sophistiqué,kisasa,adjectives,0.7
421,soldat,mwanajeshi,nouns,0.8
422,colonel,daktari wa meno,nouns,0.3
423,toit,dari,nouns,4.35
424,ennuyeux,boreka,adjectives,1.9
425,cinquième,wa tano,adjectives,0.15
426,badge,baji,nouns,0.25
427,incroyable,kushangaza,adjectives,0.35
428,faux,feki,adjectives,0.95
429,long,mwembamba,adjectives,0.95
430,envoyer,kuhudhuria,verbs,0.25
431,agneau,kondoo,nouns,4.3
432,permettre,kwenda,verbs,0.2
433,neuropsychologie,saikolojia ya akili,nouns,3.05
434,fermement,kwa ulinzi,adverbs,2.05
435,esprit,akili,nouns,1.35
436,pistolet,bunduki,nouns,0.95
437,sale,mwembamba,adjectives,0.1
438,perdre,kufeli,verbs,5.0
439,épaule,mkono,nouns,2.5
440,pacte,mapatano,nouns,5.45
441,accord,tundu,nouns,0.0
442,réduire,kupunguza,verbs,0.05
443,médecin,tabia,nouns,0.0
444,classe,shule,nouns,3.7
445,aller,kuondoka,verbs,5.05
446,punir,kuadhibu,verbs,2.95
447,dépression,huzuni,nouns,0.6
448,sultan,sultani,nouns,0.5
449,livre,insha,nouns,0.9
450,laver,kuosha,verbs,4.4
451,commencer,kuacha,verbs,0.85
452,rencontrer,kukutana,verbs,0.3
453,cuisiner,kupika,verbs,1.8
454,lapin,paka,nouns,1.15
455,fortement,kwa nguvu,adverbs,0.2
456,homophone,nyumba ya nyumbani,nouns,0.25
457,tsunami,sunami,nouns,1.45
458,perdre,poteza,verbs,0.05
459,avion,jeti,nouns,4.8
460,thème,kitabu,nouns,0.65
461,gosse,mvulana,nouns,4.1
462,paquet,furushi,nouns,0.1
463,essayer,kujaribu,verbs,0.5
464,bon,salama,adjectives,0.65
465,menthe,minti,nouns,0.0
466,riz,mvulana,nouns,0.05
467,ruisseau,mto,nouns,3.95
468,coûteux,ghali,adjectives,0.1
469,liqueur,karne,nouns,0.05
470,cathédrale,dari,nouns,0.35
471,taille,chakula,nouns,0.15
472,actuellement,kwa sasa,adverbs,0.15
473,plage,uwanda wa bahari,nouns,3.2
474,mendier,kuuliza,verbs,3.15
475,fille,mfanyakazi wa nyumbani,nouns,0.85
476,coopérer,kushiriki,verbs,3.6
477,maternelle,shule ya mapema,nouns,4.35
478,extraverti,inayotoka,adjectives,0.35
479,étroit,mchafu,adjectives,0.1
480,soleil,anga,nouns,1.75
481,nombre,nambari,nouns,5.4
482,formel,sahihi,adjectives,1.4
483,aggraver,kuongeza,verbs,0.65
484,chercher,kutafuta,verbs,2.63
485,épicé,pilipili,adjectives,0.15
486,ignorant,mjinga,adjectives,0.45
487,lanceur,bowler,nouns,2.0
488,névrose,ugonjwa wa neurosis,nouns,1.35
489,radar,rada,nouns,0.4
490,veste,nguo,nouns,3.3
491,heureux,mchangamfu,adjectives,4.85
492,recommander,kukubali,verbs,0.75
493,reprocher,kulaumu,verbs,4.85
494,jeu,burudani,nouns,4.15
495,trimestre,muhula,nouns,4.45
496,opinion,wazo,nouns,5.05
497,frites,kibanzi,nouns,0.1
498,vent,upepo,nouns,4.25
499,effrayé,kua na uoga,adjectives,1.0
500,bizarrement,si asili,adverbs,1.05
501,véhicule,basi,nouns,4.15
502,menu,agizo,nouns,1.55
503,permettre,kupa,verbs,1.1
504,théorie,kemia,nouns,1.05
505,présence,mlango,nouns,0.15
506,incurvé,yenye pindo,adjectives,0.05
507,créativement,kiubunifu,adverbs,0.8
508,outil,kitendea kazi,nouns,1.1
509,rassembler,kuhudhuria,verbs,0.6
510,content,ana hasira,adjectives,0.65
511,appareil photo,kamera,nouns,0.15
512,chérir,kuweka,verbs,2.65
513,exactement,kwa usahihi,adverbs,0.45
514,fraise,strouberi,nouns,2.4
515,eau,maji,nouns,0.25
516,impuissant,hoi,adjectives,1.75
517,fait,umaizi,nouns,1.45
518,vague,wimbi,nouns,0.85
519,négliger,kupuuzia,verbs,1.75
520,boîte,sigara,nouns,0.7
521,robotique,roboti,nouns,0.75
522,lit,hospitali,nouns,1.0
523,pont,kadi,nouns,0.35
524,carte,chati,nouns,2.6
525,flic,polisi,nouns,0.4
526,nier,kukataa,verbs,0.9
527,homme,mpiganaji,nouns,1.6
528,fraternité,mlango,nouns,0.0
529,populaire,inayofahamika,adjectives,5.55
530,gratte-ciel,maghorofa,nouns,2.35
531,fraternité,baseball,nouns,0.2
532,artificiel,sio asili,adjectives,4.9
533,candidat,mshindi,nouns,1.85
534,circoncision,tohara,nouns,2.1
535,véridique,enye ukweli,adjectives,0.55
536,faire,kuacha,verbs,0.75
537,informe,kutobadilishwa,adjectives,0.55
538,pièce,kipande,nouns,0.1
539,pesticide,dawa ya wadudu,nouns,1.45
540,séparer,kutenganisha,verbs,0.75
541,fleur,waridi,nouns,3.95
542,vélo,chumba cha kulala,nouns,0.05
543,sandwich,chakula cha mchana,nouns,2.4
544,négatif,hasi,adjectives,0.95
545,pont,boti,nouns,1.05
546,carré,mraba,nouns,0.4
547,président,uchafuzi,nouns,0.35
548,mer,ufuko,nouns,3.05
549,hélicoptère,helikopta,nouns,3.55
550,commencer,kutokana,verbs,0.7
551,princesse,kisiwa,nouns,0.25
552,armée,jeshi la wanamaji,nouns,3.9
553,feindre,kuwazia,verbs,0.85
554,oublier,kudumisha,verbs,0.8
555,hymne,biblia,nouns,0.4
556,football,burudani,nouns,0.8
557,bateau,nanga,nouns,1.55
558,intelligence,ustadi,nouns,3.05
559,purgatoire,purigatori,nouns,2.1
560,bible,nyimbo,nouns,0.4
561,similaire,sawasawa,adjectives,5.1
562,emballage,kanga,nouns,0.45
563,magma,magma,nouns,3.2
564,goutter,dondoka,verbs,1.15
565,cou,mfupa,nouns,1.25
566,flic,askari,nouns,4.65
567,couloir,korido,nouns,4.85
568,lézard,mjusi,nouns,0.0
569,évêque,askofu,nouns,0.85
570,désert,jangwa,nouns,2.75
571,avion,ndege,nouns,3.55
572,arbre,mti,nouns,0.2
573,emboutir,kugongana,verbs,3.6
574,assister,kukusanya,verbs,0.6
575,oncle,mwanaume,nouns,2.55
576,sélectionner,kuchagua,verbs,5.45
577,article,jarida,nouns,4.15
578,mer,mto,nouns,2.6
579,montre,saa,nouns,0.35
580,aller,kuruhusu,verbs,0.2
581,doigt,kiganja,nouns,1.7
582,sociobiologie,jamii,nouns,0.25
583,punir,kuadhibu,verbs,0.55
584,grossièrement,takriban,adverbs,0.45
585,grand,mkubwa mno,adjectives,5.1
586,puéril,wa upuzi,adjectives,3.7
587,eau,chumvi,nouns,0.8
588,viande,steki,nouns,4.9
589,agressif,kua na hasira,adjectives,0.05
590,entendre,kuzungumza,verbs,1.15
591,queue,sura,nouns,0.0
592,terrifiant,ana hasira,adjectives,0.55
593,don,zawadi,nouns,0.25
594,laisser,kuzurura,verbs,0.6
595,klaxon,gari,nouns,1.25
596,enseignant,rabai,nouns,1.65
597,graphique,jedwali,nouns,2.6
598,voiture,honi,nouns,1.25
599,recevoir,kupokea,verbs,2.75
600,chemise,shati,nouns,2.4
601,musique,tuni,nouns,4.85
602,inquiéter,kuwa na wasiwasi,verbs,0.15
603,paresseux,mvivu,adjectives,0.3
604,accepter,kuitikia,verbs,3.52
605,fleur,imani,nouns,0.05
606,rassemblement,kusanyiko,nouns,3.95
607,sergent,mjeshi,nouns,0.95
608,orange,chungwa,nouns,5.15
609,volcan,volkano,nouns,3.2
610,curieusement,kiajabu,adverbs,1.2
611,corniche,mlima,nouns,1.95
612,mal,poa,adjectives,0.35
613,armée,kundi,nouns,2.4
614,désavouer,kutelekeza,verbs,0.15
615,dessin,mchoro,nouns,0.15
616,bruyamment,kwa sauti,adverbs,0.6
617,carte,daraja,nouns,0.35
618,rappeler,kuuza,verbs,0.2
619,indépendamment,kwa kujitegemea,adverbs,1.2
620,étroit,mrefu,adjectives,0.95
621,frustrer,kufadhaisha,verbs,2.55
622,courir,kimbia,verbs,0.75
623,télescope,darubini,nouns,0.2
624,cannelle,mdalasini,nouns,0.9
625,viande,nyama ya nguruwe,nouns,3.8
626,laisser,kuondoka,verbs,0.5
627,cabine,simu,nouns,1.95
628,glace,maji,nouns,3.2
629,eau,barafu,nouns,3.2
630,pied,mguu,nouns,0.3
631,fils,mvulana,nouns,4.75
632,feuille,gombo,nouns,0.05
633,éventuellement,inawezekana,adverbs,0.85
634,sévèrement,kwa uweledi,adverbs,0.45
635,économie,uchumi,nouns,0.9
636,maire,mkuu,nouns,2.55
637,nuage,hali ya hewa,nouns,2.0
638,galerie,nyumba ya sanaa,nouns,0.05
639,modeste,pole,adjectives,0.75
640,mât,mlingoti,nouns,1.35
641,étroit,nyembamba,adjectives,0.05
642,veine,chaguo,nouns,0.3
643,steak,nyama,nouns,4.9
644,fenêtre,kifundo cha mguu,nouns,0.0
645,tuer,kukinga,verbs,0.7
646,livre,dhima,nouns,0.65
647,corps,kifua,nouns,2.2
648,cardigan,fulana,nouns,2.4
649,intelligence,hekima,nouns,4.0
650,revenu,ushuru,nouns,2.45
651,apparaître,kuwa,verbs,1.3
652,incroyablement,kwa kushangaza,adverbs,4.7
653,mature,kukomaa,adjectives,0.7
654,cesser,kufanya,verbs,0.75
655,gros,mkubwa sana,adjectives,3.8
656,promenade,safari,nouns,3.65
657,essuyer,kupanguza,verbs,0.2
658,homme,undugu,nouns,1.3
659,campagne,kampeni,nouns,0.05
660,demander,kupuuza,verbs,0.6
661,base-ball,undugu,nouns,0.2
662,liberté,kujitawala,nouns,4.15
663,réussir,kushinda,verbs,4.8
664,baignoire,mke,nouns,0.05
665,poète,mshairi,nouns,1.1
666,comprendre,kujua,verbs,3.85
667,nihilisme,kutoamini dini,nouns,0.15
668,dent,meno,nouns,0.0
669,mathématicien,mwanamahesabu,nouns,0.1
670,banquier,mwanasheria,nouns,1.15
671,se plaindre,kugombana,verbs,1.55
672,côte,pwani,nouns,0.3
673,carte graphique,bodi kuu,nouns,4.1
674,gentiment,kiupole,adverbs,2.45
675,chrétien,mkristo,nouns,3.6
676,terminer,kukutolewa,verbs,0.2
677,autrefois,mara moja,adverbs,1.6
678,racisme,ubaguzi wa rangi,nouns,4.7
679,parler,kusikia,verbs,1.15
680,chapitre,usiku,nouns,0.1
681,musulman,mwislamu,nouns,0.85
682,toujours,mara kwa mara,adverbs,1.0
683,vite,wa kasi,adjectives,5.05
684,shérif,polisi,nouns,4.65
685,rejoindre,kuambatisha,verbs,1.4
686,vérifier,kusema,verbs,0.55
687,nuage,ukungu,nouns,3.5
688,donner,kuruhusu,verbs,1.1
689,soigneusement,kwa uangalifu,adverbs,2.05
690,laisser,kufika,verbs,0.25
691,éviter,kupuuza,verbs,2.95
692,champagne,bia,nouns,3.05
693,devenir,kuonekana,verbs,1.0
694,généreusement,kwa fadhili,adverbs,2.45
695,récipient,mkokoteni,nouns,0.2
696,iris,boriti,nouns,nan
697,muffin,muffini,nouns,0.3
698,cesser,kuanza,verbs,0.85
699,convaincre,kushawishi,verbs,0.5
700,histoire,hadithi,nouns,0.2
701,cheville,dirisha,nouns,0.0
702,athlète,mwanariadha,nouns,4.55
703,acétylcholine,acetylcholine,nouns,nan
704,alcool,bia,nouns,4.4
705,lumière,mwanga,nouns,0.1
706,fureur,hasira,nouns,5.1
707,ciel,anga,nouns,0.45
708,esprit,akili,nouns,4.55
709,civilisation,ustaarabu,nouns,2.2
710,molécule,molekuli,nouns,0.2
711,coopérer,kujiunga,verbs,3.0
712,alimentation,chakula,nouns,0.55
713,échec,ukosefu,nouns,4.55
