ID,RUS,SPA,PoS,score
95,обычный,ignorante,adjectives,0.05
96,народ,globo,nouns,0.25
97,шоколад,tarta,nouns,1.1
98,наслаждаться,odiar,verbs,0.05
99,собрание,reunión,nouns,4.6
100,дрейфовать,fluir,verbs,0.75
101,программа,comida,nouns,0.3
102,такси,coche,nouns,3.3
103,путешествовать,ir,verbs,2.45
104,пачка,cigarro,nouns,0.8
105,закат,cuerda,nouns,0.0
106,зрело,rectamente,adverbs,0.85
107,ружье,piel,nouns,0.1
108,элегантность,estilo,nouns,3.95
109,священник,profeta,nouns,1.2
110,владеть,mantener,verbs,2.0
111,голова,pie,nouns,0.55
112,овёс,campo,nouns,0.85
113,значки,dignidad,nouns,0.35
114,книга,ensayo,nouns,1.6
115,президент,cámara,nouns,0.55
116,счастливый,enfadado,adjectives,0.15
117,битва,conquista,nouns,1.95
118,республика,duque,nouns,0.25
119,покидать,unirse,verbs,0.25
120,часовня,campanario,nouns,1.1
121,смерть,entierro,nouns,1.45
122,законный,ilegal,adjectives,0.2
123,жар,enfermedad,nouns,1.7
124,человек,centinela,nouns,1.0
125,напоминать,vender,verbs,0.05
126,ортодонт,médico,nouns,2.1
127,выбор,capítulo,nouns,0.55
128,пить,tragar,verbs,1.9
129,чудной,extraño,adjectives,5.25
130,тюрьма,bar,nouns,0.1
131,приобретать,robar,verbs,0.45
132,мозг,sangre,nouns,0.95
133,преступник,delincuente,nouns,4.65
134,министерство,sultán,nouns,0.2
135,опекунша,madre,nouns,1.4
136,душить,quemar,verbs,0.05
137,коза,vaca,nouns,0.9
138,деньги,perla,nouns,0.65
139,гордый,negrita,adjectives,0.65
140,корзина,pelota,nouns,0.55
141,полагать,predecir,verbs,2.1
142,гитара,trucha,nouns,0.0
143,актер,televisión,nouns,0.8
144,фонология,pantalla,nouns,0.05
145,начинать,ir,verbs,0.45
146,грузовик,coche,nouns,1.85
147,верить,aceptar,verbs,1.15
148,мощный,débiles,adjectives,0.2
149,рис,niño,nouns,0.0
150,сотрудничать,unirse,verbs,3.05
151,воздух,molécula,nouns,0.9
152,решать,pensar,verbs,1.7
153,выбирать,desear,verbs,1.05
154,лечить,paga,verbs,0.2
155,редко,nunca,adverbs,1.35
156,отрекаться,reprimir,verbs,0.55
157,предсказывать,determinar,verbs,1.35
158,миллионер,dólar,nouns,1.15
159,стейк,carne,nouns,3.9
160,хороший,mediocre,adjectives,0.45
161,хлопок,poliéster,nouns,0.85
162,ударять,objetivo,verbs,0.5
163,нейропсихология,parasicología,nouns,1.3
164,потерять,cocinar,verbs,0.05
165,одеяло,cama,nouns,1.15
166,печень,pulmón,nouns,0.65
167,немедленно,una vez,adverbs,0.5
168,общественный,privado,adjectives,0.1
169,меню,orden,nouns,1.0
170,благоразумно,cortésmente,adverbs,1.35
171,таксомотор,autobús,nouns,1.4
172,побеждать,dominar,verbs,2.15
173,цветок,creencia,nouns,0.1
174,честно говоря,sinceramente,adverbs,4.6
175,работник,empleador,nouns,0.9
176,оценивать,analizar,verbs,4.1
177,полировать,informar,verbs,0.0
178,штурман,policía,nouns,0.15
179,велосипед,coche,nouns,0.65
180,критичный,grosero,adjectives,0.7
181,пытаться,tener éxito,verbs,0.4
182,насекомое,abeja,nouns,2.45
183,становиться,parecer,verbs,0.8
184,археология,antropología,nouns,0.95
185,заменять,restaurar,verbs,1.85
186,получать,adquirir,verbs,2.4
187,лимон,manzana,nouns,0.6
188,столб,bandera,nouns,0.5
189,виза,globalismo,nouns,0.6
190,глава,gerente,nouns,3.7
191,посылать,asistir,verbs,0.45
192,глупый,obstinado,adjectives,0.7
193,парапсихология,neuropsicología,nouns,1.3
194,преступление,ataque,nouns,1.1
195,важный,crucial,adjectives,3.9
196,мальчик,condición,nouns,0.05
197,наблюдать,mirar,verbs,3.8
198,кость,brazo,nouns,0.9
199,приобретать,encontrar,verbs,0.9
200,тихо,naturalmente,adverbs,0.75
201,фотоаппарат,obrero,nouns,0.3
202,мозговой штурм,telescopio,nouns,0.0
203,слайд,puntero,nouns,0.25
204,ученик,profesor,nouns,0.75
205,прощать,olvidar,verbs,1.75
206,складывать,multiplicar,verbs,0.8
207,отговаривать,enfadar,verbs,0.3
208,персонаж,persona,nouns,2.65
209,чистый,sucio,adjectives,0.45
210,ограничивать,reducir,verbs,2.35
211,обычный,extraño,adjectives,0.15
212,посылать,recibir,verbs,0.35
213,дочь,padre,nouns,0.7
214,неугомонный,joven,adjectives,0.55
215,юбилей,año,nouns,1.45
216,ученый,enfermera,nouns,0.25
217,дочь,niño,nouns,0.85
218,кино,televisión,nouns,2.55
219,ребенок,hombre,nouns,0.75
220,низ,parte superior,nouns,0.25
221,автомобиль,fábrica,nouns,0.4
222,комфорт,seguridad,nouns,1.25
223,широкий,fresco,adjectives,0.05
224,трапеза,cintura,nouns,0.25
225,учебный план,examen,nouns,0.45
226,жечь,ahogar,verbs,0.05
227,стипендия,matrícula,nouns,1.0
228,развитие,recaudación de fondos,nouns,0.4
229,странствовать,deambular,verbs,4.65
230,делить,añadir,verbs,0.2
231,костюм,pelota,nouns,0.6
232,бейсбол,sofá,nouns,0.1
233,убивать,defender,verbs,0.2
234,обмен,moneda,nouns,1.2
235,государство,casa,nouns,0.35
236,цветок,arbusto,nouns,1.6
237,телескоп,reunión creativa,nouns,0.0
238,редакционный,noticias,nouns,1.15
239,энциклопедия,diccionario,nouns,2.2
240,игнорировать,salir,verbs,0.4
241,держать,pedir prestado,verbs,0.2
242,сок,leche,nouns,0.45
243,серьезно,en tono rimbombante,adverbs,1.7
244,суп,cena,nouns,1.55
245,деньги,diamante,nouns,0.75
246,рисковать,apostar,verbs,2.6
247,ребенок,adulto,nouns,0.65
248,кукуруза,maizal,nouns,3.45
249,княжество,ducado,nouns,2.3
250,камень,madera,nouns,0.55
251,смешивать,combinar,verbs,4.0
252,спасать,rescatar,verbs,4.9
253,постель,manta,nouns,1.15
254,горчица,semilla,nouns,1.6
255,пиджак,ropa,nouns,1.6
256,хотеть,pedir prestado,verbs,0.5
257,клавиатура,ligero,nouns,0.25
258,спасти,ahogar,verbs,0.2
259,ломать,agrietar,verbs,1.9
260,доллар,millonario,nouns,1.15
261,лифт,caja,nouns,0.5
262,кость,cuello,nouns,0.4
263,мех,visón,nouns,2.05
264,срочно,con rapidez,adverbs,3.95
265,утешать,humillar,verbs,0.05
266,избегать,ignorar,verbs,3.5
267,странный,bizarro,adjectives,3.35
268,домой,lejos,adverbs,0.15
269,глотать,sorber,verbs,2.15
270,зубы,hueso,nouns,1.5
271,всплеск,viscosidad,nouns,0.65
272,звонок,puerta,nouns,0.65
273,бык,becerro,nouns,2.25
274,площадь,mapa,nouns,0.55
275,мина,rock,nouns,0.1
276,ходить,viajar,verbs,2.45
277,покрывало,vendaval,nouns,0.05
278,предполагать,predecir,verbs,2.95
279,путеводитель,manual,nouns,4.45
280,партия,gente,nouns,1.1
281,наливать,gotear,verbs,0.9
282,встретить,nadar,verbs,0.0
283,цитрус,naranja,nouns,3.5
284,солома,esposa,nouns,0.15
285,фиалка,flor,nouns,2.2
286,понимать,leer,verbs,1.2
287,острый,aburrido,adjectives,0.05
288,всегда,dos veces,adverbs,0.1
289,приносить,quejar,verbs,0.1
290,год,siglo,nouns,1.05
291,принимать,rechazar,verbs,0.15
292,электрический,dulce,adjectives,0.0
293,никогда,después,adverbs,0.2
294,вечер,puesta de sol,nouns,2.1
295,лелеять,mantener,verbs,0.95
296,мощный,poderoso,adjectives,3.75
297,унижать,comodidad,verbs,0.05
298,намереваться,intentar,verbs,3.0
299,кирпич,pared,nouns,1.15
300,отказывать,aceptar,verbs,0.0
301,завование,viaje,nouns,0.4
302,далеко,a casa,adverbs,0.15
303,кухня,baño,nouns,0.65
304,бедствование,desesperación,nouns,2.05
305,тарелка,cuenco,nouns,2.85
306,воздух,helio,nouns,1.5
307,зерно,mostaza,nouns,1.6
308,рассвет,puesta de sol,nouns,0.6
309,информация,libro,nouns,1.3
310,покидать,esperar,verbs,0.3
311,золото,zinc,nouns,0.8
312,суффикс,afijo,nouns,1.6
313,поток,río,nouns,2.0
314,факт,prueba,nouns,2.95
315,рука,rama,nouns,0.8
316,напоминать,olvidar,verbs,0.05
317,коробка,fuente,nouns,0.1
318,вино,alcohol,nouns,1.85
319,язык,comunicación,nouns,1.55
320,нервный,asustado,adjectives,1.8
321,теннис,estadística,nouns,0.25
322,спор,acuerdo,nouns,0.85
323,учить,confundir,verbs,0.1
324,палец,palma,nouns,0.85
325,одевать,romper,verbs,0.0
326,опасно,cuidadosamente,adverbs,0.25
327,лето,invierno,nouns,0.55
328,трезвый,borracho,adjectives,0.15
329,казаться,volverse,verbs,0.8
330,лист,árbol,nouns,1.15
331,принимать,recomendar,verbs,0.65
332,шалость,pistola,nouns,0.15
333,высказываться,participar,verbs,0.9
334,цинк,oro,nouns,0.8
335,строить,hacer,verbs,3.25
336,дядя,prima,nouns,1.05
337,останавливать,prohibir,verbs,1.65
338,уникальный,opuesto,adjectives,0.75
339,писатель,novela,nouns,1.15
340,дар,escritor,nouns,0.45
341,анализировать,comparar,verbs,2.95
342,ярко,muy,adverbs,0.75
343,ванна,habitación,nouns,1.1
344,ноготь,mano,nouns,1.25
345,ненадёжный,tortuoso,adjectives,1.6
346,гусеница,gusano de seda,nouns,2.95
347,велосипед,piel,nouns,0.2
348,давать,mantener,verbs,0.45
349,журнал,fórmula,nouns,0.3
350,абзац,carta,nouns,0.85
351,биография,ficción,nouns,0.85
352,давать,poner,verbs,0.95
353,приношение,contribución,nouns,3.8
354,заказ,menú,nouns,1.0
355,зависеть,confiar,verbs,1.8
356,ключ,palabra,nouns,0.15
357,парень,amigo,nouns,1.7
358,мясо,pan,nouns,0.45
359,величина,tamaño,nouns,4.85
360,игнорировать,evitar,verbs,3.5
361,справедливость,tribunal,nouns,2.15
362,собирать,organizar,verbs,1.9
363,завершать,volverse,verbs,0.55
364,истерика,confusión,nouns,1.8
365,обескураживать,fallar,verbs,0.65
366,острый,templado,adjectives,0.25
367,алкоголь,whisky,nouns,2.05
368,бревно,madera,nouns,3.45
369,работник,cámara,nouns,0.3
370,делать,construir,verbs,3.25
371,драться,jugar,verbs,0.25
372,цветок,bulbo,nouns,1.05
373,одалживать,dar,verbs,1.95
374,семестр,término,nouns,1.45
375,новый,antiguo,adjectives,0.2
376,сердце,cirugía,nouns,0.9
377,исчезать,encoger,verbs,0.65
378,рот,labio,nouns,1.8
379,авария,accidente,nouns,3.7
380,вечеринка,máscara,nouns,0.5
381,покладистый,flexible,adjectives,1.9
382,верить,saber,verbs,0.7
383,эвакуировать,determinar,verbs,0.45
384,шляпа,caja,nouns,0.4
385,создавать,dibujar,verbs,1.2
386,формула,tronco,nouns,0.3
387,плохой,deshonesto,adjectives,1.3
388,агрессивный,pasivo,adjectives,0.15
389,койка,hospital,nouns,0.85
390,испуганный,emocionado,adjectives,0.45
391,банка,aluminio,nouns,0.55
392,заканчивать,competir,verbs,0.1
393,злак,trigo,nouns,2.45
394,кожа,bicicleta,nouns,0.2
395,вязкость,chapoteo,nouns,0.65
396,разгон,filósofo,nouns,0.15
397,мода,estilo,nouns,3.4
398,выбирать,recoger,verbs,1.05
399,чашка,cuchara,nouns,1.0
400,обвинять,empujar,verbs,0.05
401,делать,crear,verbs,3.9
402,дерево,manta,nouns,0.05
403,жена,mujer,nouns,2.45
404,честно говоря,nunca,adverbs,0.1
405,проем,puerta,nouns,2.7
406,пустыня,duna,nouns,2.3
407,секунда,minuto,nouns,1.8
408,уверенность,actitud,nouns,1.75
409,брат,niño,nouns,1.45
410,идти,enviar,verbs,0.4
411,автомобиль,calle,nouns,0.55
412,джинсы,mujer,nouns,0.3
413,бить,mezclar,verbs,0.05
414,проснуться,roncar,verbs,0.25
415,конечно,obviamente,adverbs,2.65
416,лагерь,cabina,nouns,1.1
417,пруток,jaula,nouns,0.15
418,схватывать,apretar,verbs,1.85
419,ирис,acetilcolina,nouns,0.15
420,атака,bombardeo aéreo,nouns,3.05
421,профессия,universidad,nouns,0.85
422,сатира,mito,nouns,1.35
423,отказывать,dar,verbs,0.1
424,уверенность,yo,nouns,1.8
425,норка,petróleo,nouns,0.25
426,скоростной,ágil,adjectives,4.0
427,компилятор,subrutina,nouns,1.4
428,гладкий,agudo,adjectives,0.3
429,изображать,notificar,verbs,0.3
430,достигать,permanecer,verbs,0.0
431,человек,sospechar,nouns,0.3
432,книга,información,nouns,1.3
433,тема,hashtag,nouns,2.7
434,независимо,responsablemente,adverbs,0.3
435,линкор,acorazado,nouns,2.75
436,спиртное,banda,nouns,0.4
437,сплетня,noticias,nouns,2.25
438,злость,furia,nouns,4.3
439,соединение,suma,nouns,2.75
440,громить,demoler,verbs,2.35
441,дата,calendario,nouns,1.6
442,легкое,hígado,nouns,0.65
443,восстанавливать,traer,verbs,0.1
444,завершать,lograr,verbs,2.55
445,монархия,democracia,nouns,0.7
446,сообщить,limpiar,verbs,0.0
447,метла,polvo,nouns,1.1
448,сок,manzana,nouns,1.0
449,расслабленный,estresado,adjectives,0.15
450,конечность,pierna,nouns,3.3
451,мышь,cubierta,nouns,0.4
452,замерзать,temblar,verbs,1.15
453,красть,dar,verbs,0.05
454,распадаться,morir,verbs,0.7
455,безрассудный,infantil,adjectives,2.0
456,король,príncipe,nouns,1.75
457,кролик,gato,nouns,0.6
458,потрясающий,malo,adjectives,0.2
459,приветствовать,realizar,verbs,0.7
460,ужин,comida,nouns,3.45
461,обвинять,mentir,verbs,0.35
462,чашка,tarro,nouns,1.8
463,репутация,riqueza,nouns,0.6
464,врач,ortodoncista,nouns,2.1
465,видение,percepción,nouns,4.6
466,дождь,tormenta de nieve,nouns,0.7
467,давать,pedir prestado,verbs,1.2
468,замечать,criticar,verbs,1.45
469,укусить,leer,verbs,0.0
470,злой,feliz,adjectives,0.1
471,противоположный,único,adjectives,0.75
472,ловкий,difícil,adjectives,0.8
473,гость,amigo,nouns,1.4
474,орел,halcón,nouns,1.8
475,посещать,enviar,verbs,0.45
476,атмосфера,contaminación,nouns,1.05
477,кривой,curvo,adjectives,4.25
478,занавеска,barra,nouns,0.6
479,лимон,té,nouns,0.7
480,терять,mantener,verbs,0.1
481,рассвет,pistola,nouns,0.0
482,диета,manzana,nouns,0.75
483,прекрасный,estupendo,adjectives,5.15
484,приложение,galaxia,nouns,0.4
485,включать,incluir,verbs,3.1
486,алфавит,bolígrafo,nouns,0.65
487,автомобиль,bote,nouns,0.6
488,автомобиль,manguera,nouns,0.55
489,несправедливый,cruel,adjectives,1.85
490,практически,críticamente,adverbs,0.7
491,автомобиль,camión,nouns,1.85
492,юрист,banquero,nouns,1.1
493,глобализм,visado,nouns,0.6
494,напоминать,contar,verbs,0.9
495,потрясающий,maravilloso,adjectives,5.15
496,большой,nacional,adjectives,0.2
497,дело,programa informático,nouns,0.45
498,грубо,obviamente,adverbs,0.4
499,мирно,tranquilamente,adverbs,4.35
500,униформа,desformado,adjectives,0.3
501,животное,bestia,nouns,4.6
502,сыр,un pan,nouns,0.4
503,камея,actuación,nouns,0.0
504,лист,planta de semilla,nouns,1.2
505,подчиняться,escuchar,verbs,1.25
506,ананас,teléfono inteligente,nouns,0.0
507,плавать,cantar,verbs,0.05
508,книга,tema,nouns,0.85
509,автомобиль,calibre,nouns,0.65
510,пакт,acuerdo,nouns,4.9
511,провозглашать,anunciar,verbs,4.45
512,узнавать,escuchar,verbs,0.85
513,маска,partido,nouns,0.5
514,организовывать,gestionar,verbs,4.55
515,мяч,guante,nouns,0.6
516,богатство,prestigio,nouns,0.6
517,соответствовать,diferir de,verbs,0.15
518,грязный,estrecho,adjectives,0.0
519,реалистично,recientemente,adverbs,0.0
520,молча,pasivamente,adverbs,1.2
521,развлечение,fútbol,nouns,1.15
522,автомобиль,cuerno,nouns,0.45
523,бумага,póster,nouns,1.95
524,умиротворенность,felicidad,nouns,2.35
525,мутант,sociobiología,nouns,0.45
526,лгать,negar,verbs,1.15
527,мокрый,pegajoso,adjectives,0.8
528,ритм,melodía,nouns,3.05
529,свобода,censura,nouns,0.45
530,миллиардер,indigente,nouns,0.15
531,различаться,de acuerdo,verbs,0.15
532,вкладывать,dar,verbs,0.95
533,живот,vientre,nouns,4.65
534,датчик,coche,nouns,0.65
535,собирать,seleccionar,verbs,1.05
536,энергия,batería,nouns,2.5
537,хороший,conocido,adjectives,0.3
538,прогноз,nublado,nouns,1.25
539,плохой,genial,adjectives,0.05
540,астрономический,masivo,adjectives,1.2
541,достигать,tratar,verbs,1.35
542,плодовый сад,avestruz,nouns,0.2
543,смешивать,disolver,verbs,1.9
544,бесспорный,cierto,adjectives,2.7
545,проигрывать,fallar,verbs,2.2
546,крайняя плоть,circuncisión,nouns,2.4
547,сильно,oficialmente,adverbs,0.2
548,покупать,obtener,verbs,3.4
549,поле,avena,nouns,0.85
550,плохой,terrible,adjectives,4.25
551,нырять,crear,verbs,0.0
552,пристуствие,ausencia,nouns,0.4
553,частный,público,adjectives,0.1
554,компас,elefante,nouns,0.05
555,идти,entrar,verbs,1.15
556,провозглашать,proclamar,verbs,4.6
557,цитоплазма,dígito,nouns,0.0
558,общество,club,nouns,2.35
559,цензура,libertad,nouns,0.45
560,пирог,chocolate,nouns,1.1
561,мужчина,guerrero,nouns,1.15
562,редкий,raro,adjectives,3.6
563,давать,recibir,verbs,0.2
564,цивилизация,estilo de vida,nouns,0.95
565,аэропорт,pieza,nouns,0.0
566,воспользоваться,tomar,verbs,1.05
567,жарить,hornear,verbs,1.4
568,обручаться,casar,verbs,1.35
569,рекомендовать,aceptar,verbs,0.65
570,мост,coche,nouns,0.3
571,нюхать,mimar,verbs,0.0
572,признавать,negar,verbs,0.15
573,хладнокровие,intestino,nouns,1.25
574,выносливость,flor,nouns,0.05
575,состояние,niño,nouns,0.05
576,захватить,imitar,verbs,0.2
577,кандидат,solicitud,nouns,0.95
578,мать,amigo,nouns,0.6
579,очевидно,en la zona,adverbs,0.0
580,электрический,mecánico,adjectives,0.75
581,исчезать,encontrar,verbs,0.15
582,терминально,principalmente,adverbs,0.35
583,автомобиль,taxi,nouns,3.3
584,изготовитель,creador,nouns,3.9
585,запястье,mano,nouns,2.25
586,плотно,increíblemente,adverbs,0.0
587,слово,literatura,nouns,1.75
588,вода,sal,nouns,0.4
589,алкоголь,vino,nouns,1.85
590,воспитывать,aprender,verbs,1.35
591,плечо,brazo,nouns,1.2
592,задолжать,entrar,verbs,0.0
593,мед,azúcar,nouns,1.25
594,движимый,flexible,adjectives,1.75
595,рвать,vestir,verbs,0.0
596,рамка,golpear,nouns,0.15
597,смешивать,golpear,verbs,0.05
598,оставаться,salir,verbs,0.05
599,громко,sutilmente,adverbs,0.05
600,планета,estrella,nouns,2.5
601,веселье,juego,nouns,1.25
602,кровать,silla,nouns,0.8
603,мужчина,padre,nouns,1.7
604,отрицание,confesión,nouns,0.65
605,фальшивый,artificial,adjectives,3.65
606,свет,teclado,nouns,0.25
607,магма,volcán,nouns,1.85
608,мягко,ruidosamente,adverbs,0.05
609,принцесса,isla,nouns,0.05
610,идти,permitir,verbs,0.3
611,играть,lucha,verbs,0.25
612,бегун,atleta,nouns,2.65
613,признавать,hablar,verbs,0.8
614,раздражать,asaltar,verbs,0.5
615,запирание,célula,nouns,0.6
616,отрицать,evitar,verbs,0.6
617,глава,cola,nouns,0.15
618,мудрость,inteligencia,nouns,3.7
619,корица,caramelo,nouns,0.6
620,дерматит,eczema,nouns,2.85
621,смартфон,piña,nouns,0.0
622,чисто,completamente,adverbs,1.75
623,предприятие,empresa,nouns,4.0
624,разъедать,descolorarse,verbs,0.55
625,обижать,insultar,verbs,3.8
626,прекращать,hacer,verbs,0.3
627,болезнь,fiebre,nouns,1.7
628,грустно,locamente,adverbs,0.5
629,анатомия,biología,nouns,1.85
630,банкир,abogado,nouns,1.1
631,гибкий,móvil,adjectives,1.75
632,цент,gente,nouns,0.05
633,масло,visón,nouns,0.25
634,никогда,negativo,adjectives,1.8
635,воображать,pretender,verbs,1.7
636,дождь,llovizna,nouns,4.35
637,довольный,enfadado,adjectives,0.15
638,смешной,grave,adjectives,0.05
639,покрытый,descubierto,adjectives,0.15
640,украсть,adquirir,verbs,0.45
641,мыть,enjuagar,verbs,3.15
642,лемма,sílaba,nouns,0.55
643,сноуборд,esquí,nouns,2.35
644,прекращать,empezar,verbs,0.15
645,полуостров,isla,nouns,1.3
646,позвоночник,cuello,nouns,1.0
647,жарить,cocinar,verbs,2.05
648,комната,cama,nouns,1.0
649,агрессивный,radical,adjectives,1.75
650,худенький,esbelto,adjectives,3.25
651,твердо,herméticamente,adverbs,1.35
652,губа,cadera,nouns,0.55
653,яблоко,sol,nouns,0.25
654,профессор,médico,nouns,1.1
655,пена,burbuja,nouns,1.65
656,ударять,perder,verbs,0.1
657,пузырь,jabonaduras,nouns,1.65
658,президент,alumno,nouns,0.25
659,разрешать,dejar,verbs,5.05
660,угадывать,irritar,verbs,0.0
661,убивать,lucha,verbs,0.4
662,нервно,ansiosamente,adverbs,3.6
663,обычно,anormalmente,adverbs,0.1
664,сумерки,noche,nouns,2.85
665,выживать,vivir,verbs,1.95
666,решать,concluir,verbs,1.85
667,странствовать,buscar,verbs,1.15
668,астероид,estrella,nouns,2.35
669,стул,cama,nouns,0.8
670,пить,mezcla,verbs,0.35
671,ленивый,ocupado,adjectives,0.2
672,больной,loco,adjectives,1.45
673,жидкость,boquilla,nouns,0.2
674,литература,libro,nouns,2.3
675,жеребенок,caballo,nouns,2.7
676,домашнее задание,ensayo,nouns,2.7
677,танк,coche,nouns,1.0
678,хлебать,beber,verbs,2.6
679,игра,acción,nouns,1.8
680,нить,ovillo,nouns,2.7
681,вопить,discutir,verbs,0.65
682,пропитывать,reducir,verbs,0.0
683,пуговица,ropa,nouns,1.35
684,жена,marido,nouns,1.1
685,потерпевший,teléfono,nouns,0.0
686,требовать,discutir,verbs,0.75
687,фотофон,homófono,nouns,0.5
688,расти,incrementar,verbs,3.6
689,презирать,odiar,verbs,3.75
690,отекать,verter,verbs,0.9
691,интеллектуальный,tonto,adjectives,0.35
692,кинематография,director,nouns,1.65
693,молодой,feliz,adjectives,0.15
694,одеяло,madera,nouns,0.05
695,облако,lago,nouns,0.3
696,вина,sistema,nouns,0.15
697,прекрасный,genial,adjectives,4.9
698,спорить,estar de acuerdo,verbs,0.35
699,мишень,flecha,nouns,1.1
700,тетя,sobrino,nouns,0.7
701,ванна,truco,nouns,0.0
702,странно,extraordinariamente,adverbs,3.1
703,продвигаться,promover,verbs,1.85
704,наказать,golpear,verbs,1.1
705,глотать,beber,verbs,1.9
706,нерешительный,colérico,adjectives,0.5
707,получать,poner,verbs,0.25
708,поглощать,poseer,verbs,0.7
709,башня,campana,nouns,1.25
710,сохранять,perder,verbs,0.1
711,делить,unir,verbs,0.15
712,желудок,habitación,nouns,0.1
713,уменьшаться,encoger,verbs,3.75
714,мебель,cama,nouns,2.0
715,дважды,una vez,adverbs,0.3
716,волшебник,cable,nouns,0.0
717,безопасно,felizmente,adverbs,0.35
718,церковь,catedral,nouns,4.1
719,информировать,notificar,verbs,4.7
720,крыша,ventana,nouns,0.65
721,преобразование,altitud,nouns,0.35
722,пляж,orilla,nouns,2.65
723,искать,encontrar,verbs,1.3
724,право,justicia,nouns,1.75
725,парад,banda,nouns,1.5
726,довольно,injustamente,adverbs,0.15
727,невозможный,factible,adjectives,0.25
728,пчела,hormiga,nouns,0.6
729,роман,escritor,nouns,1.15
730,партнер,niño,nouns,0.6
731,беспомощный,vulnerable,adjectives,1.6
732,разложение,factorización,nouns,1.3
733,пол,techo,nouns,0.8
734,облако,ventana,nouns,0.55
735,положительно,probablemente,adverbs,0.5
736,крыша,piso,nouns,0.8
737,дом,llave,nouns,0.7
738,женщина,tarea,nouns,0.1
739,жаловаться,traer,verbs,0.1
740,ловить,recibir,verbs,0.4
741,солнце,cielo,nouns,1.0
742,кардиган,camisa,nouns,0.95
743,покидать,deambular,verbs,0.85
744,несчастный,enojado,adjectives,1.6
745,псалом,cañita,nouns,0.05
746,победитель,presencia,nouns,0.25
747,погода,ola,nouns,0.55
748,сделка,centavo,nouns,0.25
749,ловить,perseguir,verbs,1.5
750,ужасный,enojado,adjectives,0.3
751,обманывать,hacer trampas,verbs,4.15
