ID,CMN,HEB,PoS,score
155,未成熟的,חסר אחריות,adjectives,2.06
156,先生,גברת,nouns,0.73
157,人造,מזוייף,adjectives,3.3
158,预测,לקבוע,verbs,0.59
159,收到,לתפוס,verbs,0.64
160,灰濛蒙,תחזית,nouns,0.7
161,加入,לרכוש,verbs,0.2
162,铁,ויטמין,nouns,1.26
163,油,מינק,nouns,0.15
164,记得,לחשוב,verbs,1.03
165,未成熟的,בוגר,adjectives,0.68
166,星期,סוף שבוע,nouns,1.98
167,安全,מעיק,adjectives,0.1
168,蕊,האבקה,nouns,1.36
169,确定,בטוח,adjectives,5.09
170,僧侣,צלב,nouns,0.69
171,竿,וילון,nouns,0.83
172,冰,שלג,nouns,2.67
173,士兵,שלום,nouns,0.45
174,方案,רעיון,nouns,2.56
175,一分钱,גודל,nouns,0.1
176,远足,לטפס,verbs,1.13
177,保护,לעזור,verbs,1.29
178,被动地,באופן אמין,adverbs,0.5
179,有意义,לעומק,adverbs,2.58
180,韵律,מקצב,nouns,4.2
181,微晶片,סמן,nouns,0.2
182,减少,להגביל,verbs,2.08
183,准确地,בדיוק,adverbs,5.13
184,轻微,לחלוטין,adverbs,0.4
185,血液,מוח,nouns,0.88
186,年,מאה,nouns,2.2
187,潜水,ליצור,verbs,0.1
188,智力,תבונה,nouns,4.55
189,神经官能症,נפש,nouns,0.69
190,找到,לרכוש,verbs,1.74
191,否认,וידוי,nouns,0.35
192,脚,יד,nouns,0.88
193,植物群,טבע,nouns,2.06
194,沐浴,תעלול,nouns,0.0
195,洗手间,מטבח,nouns,0.84
196,出租车,אוטובוס,nouns,2.19
197,不同的,באופן מוזר,adverbs,0.33
198,牙医,קולונל,nouns,0.39
199,诚实,אשם,adjectives,0.34
200,争论,דיון,nouns,2.92
201,头,ציפורן,nouns,0.35
202,可行,בלתי אפשרי,adjectives,0.64
203,身体,גב,nouns,1.53
204,作业,הערה,nouns,0.57
205,暴力,רך,adjectives,0.35
206,最近,לאחרונה,adverbs,5.63
207,手腕,יד,nouns,1.85
208,男人,לוחם,nouns,1.18
209,糖类,סוכרוז,nouns,2.73
210,打,למשוך,verbs,0.45
211,案件,חשמל,nouns,0.24
212,墙纸,רקע,nouns,3.1
213,伤心地,רגשית,adverbs,0.91
214,云,חלון,nouns,0.3
215,启,החל,verbs,4.88
216,艰难,מורכב,adjectives,4.08
217,狩猎,לחפש,verbs,1.36
218,付得起,זול,adjectives,2.66
219,腰,קיבה,nouns,1.49
220,宽广,צר,adjectives,0.59
221,雨,סופת שלגים,nouns,1.17
222,伟大,נורא,adjectives,0.45
223,妻子,חור,nouns,0.32
224,望远镜,כיסא,nouns,0.15
225,开心,עליז,adjectives,5.45
226,沐浴,עץ,nouns,0.1
227,扼杀,לחבק,verbs,0.35
228,肯定,ודאי,adjectives,5.09
229,人口,אנשים,nouns,2.92
230,自豪,יהיר,adjectives,3.31
231,舌头,גרון,nouns,0.96
232,乳制品,דבש,nouns,0.43
233,脊柱,גוף,nouns,1.53
234,女孩,עוזרת,nouns,1.35
235,派对,אנשים,nouns,0.89
236,疾病,זיהום,nouns,2.17
237,危害,כאב,nouns,1.31
238,干旱,מים,nouns,0.39
239,掩盖,לקבור,verbs,2.58
240,模仿,ללכוד,verbs,0.15
241,平庸,רע,adjectives,0.39
242,伤害,לבעוט,verbs,1.11
243,擦亮,ליידע,verbs,0.0
244,钱,פנינה,nouns,0.45
245,土豆,חמאה,nouns,0.64
246,停止,לאסור,verbs,2.54
247,雕塑家,אחוזה,nouns,0.25
248,长,קצר,adjectives,0.59
249,山谷,קניון,nouns,4.04
250,走道,אולם,nouns,0.64
251,零,אינסוף,nouns,0.6
252,书,טקסט,nouns,2.58
253,点菜,תפריט,nouns,1.32
254,独特,הפוך,adjectives,0.65
255,同意,להתווכח,verbs,0.59
256,离开,להגיע,verbs,0.58
257,洗,לשטוף,verbs,5.02
258,乱七八糟,מסודר,adjectives,0.64
259,一分钱,אנשים,nouns,0.65
260,可靠地,בערך,adverbs,0.29
261,牛,כבש,nouns,1.98
262,巨大,זעיר,adjectives,0.59
263,音节,למה,nouns,1.2
264,疯狂,מטורף,adjectives,5.04
265,书,נושא,nouns,1.38
266,生物学家,מיקרוסקופ,nouns,0.64
267,苔藓,דשא,nouns,1.72
268,医生,אורתודונט,nouns,3.02
269,峡谷,עמק,nouns,4.04
270,逃逸,למצוא,verbs,0.4
271,朋友,אמא,nouns,0.73
272,座舱,טייס משנה,nouns,1.02
273,雾,ענן,nouns,2.52
274,预测,מעונן,nouns,0.7
275,海,שפך,nouns,0.89
276,窗,דלת,nouns,0.97
277,自豪,נועז,adjectives,0.67
278,规则,מוסכמה,nouns,2.72
279,驱逐,להשאיר,verbs,1.68
280,追求,לשכנע,verbs,0.34
281,给予,תרומה,nouns,2.67
282,日历,חג,nouns,1.02
283,手术,אלגברה,nouns,0.5
284,人们,מסיבה,nouns,0.89
285,重大,זעיר,adjectives,0.54
286,昂贵,ביישן,adjectives,0.05
287,匆忙,למהר,verbs,4.65
288,酸,בסיס,nouns,0.73
289,逃跑,לברוח,verbs,5.42
290,迅速,מהיר,adjectives,5.0
291,并发,מטבע,nouns,0.65
292,娱乐,לרצות,verbs,0.67
293,相机,עדשה,nouns,1.18
294,旗,מוט,nouns,1.39
295,博物馆,מינט,nouns,0.2
296,打扰,לפגוע,verbs,1.85
297,本来,באופן יצירתי,adverbs,0.35
298,选择,דעה,nouns,1.2
299,开始,ללכת,verbs,0.24
300,排球,כדור,nouns,2.92
301,知道,לשכוח,verbs,0.5
302,听见,להקשיב,verbs,4.04
303,电视,תסריטאי,nouns,0.93
304,异族,זר,nouns,3.01
305,出现,להגיע,verbs,3.54
306,射手,גשש,nouns,0.24
307,携带,למסור,verbs,1.68
308,男孩子,בן,nouns,3.3
309,现代,עתיק,adjectives,0.5
310,男人,חשוד,nouns,0.68
311,成年人,הורה,nouns,2.54
312,叫喊,להתווכח,verbs,1.54
313,悲伤,שמחה,nouns,0.55
314,歌谣,שיר,nouns,3.59
315,当然,לפעמים,adverbs,0.05
316,肚子,מותן,nouns,1.49
317,钩针编织,מדים,nouns,0.38
318,胜利,הצלחה,nouns,4.12
319,存在,מנצח,nouns,0.0
320,轻松,לחוץ,adjectives,0.5
321,酒,להקה,nouns,0.0
322,割礼,עורלה,nouns,1.17
323,证明,להתווכח,verbs,1.71
324,铝,בדיל,nouns,1.31
325,糖果,תפוח,nouns,0.65
326,混合,להתמוסס,verbs,1.18
327,贡献,מנחה,nouns,2.67
328,宪法,קיסר,nouns,0.34
329,离开,לפנות,verbs,1.68
330,膝盖,עצם,nouns,1.43
331,门口,דלת,nouns,3.22
332,完全地,באופן שולי,adverbs,0.4
333,选择,בחירות,nouns,2.76
334,打败,לנצח,verbs,4.38
335,雇主,עובד,nouns,0.89
336,目标,חיפוש,nouns,1.1
337,聚集,להגיע,verbs,1.13
338,活动,תנועה,nouns,2.41
339,死,לקבור,verbs,1.65
340,天使,שד,nouns,0.79
341,大教堂,תקרה,nouns,0.45
342,正文,ספר,nouns,2.58
343,手术,לב,nouns,0.54
344,指甲,יד,nouns,0.83
345,冰,מים,nouns,2.34
346,碟,קערה,nouns,2.31
347,小行星,כוכב,nouns,2.45
348,明天,הלילה,adverbs,0.69
349,外套,סוודר,nouns,2.59
350,狂怒,כעס,nouns,4.5
351,紫罗兰,פרח,nouns,2.88
352,道德,אגדה,nouns,0.15
353,治疗,ביהביוריזם,nouns,0.65
354,一分钱,רעיה,nouns,0.18
355,使气馁,להרגיז,verbs,1.58
356,选择,וריד,nouns,0.04
357,厨房,דלת,nouns,0.45
358,理论,כימיה,nouns,0.46
359,灵活,קל,adjectives,0.88
360,踝,עצם,nouns,1.13
361,门,מטבח,nouns,0.45
362,烧伤,לחנוק,verbs,0.48
363,唇,ירך,nouns,0.7
364,安全地,בשמחה,adverbs,0.43
365,避免,להכחיש,verbs,0.88
366,真实地,לחלוטין,adverbs,0.93
367,茅屋,ביתן,nouns,3.31
368,环球航行,מטען,nouns,0.1
369,拒绝,להימנע,verbs,0.88
370,词性变化,זיהום,nouns,0.05
371,赢家,מטרה,nouns,0.5
372,现金,כסף,nouns,3.54
373,发展,גיוס כספים,nouns,0.45
374,走廊,כיתה,nouns,0.54
375,获得,להשיג,verbs,3.58
376,兄弟,נשמה,nouns,0.1
377,相信,לקבל,verbs,1.25
378,分离,לחבר,verbs,0.68
379,忍耐力,פרח,nouns,0.23
380,性能,קמע,nouns,0.1
381,罕见,מטומטם,adjectives,0.1
382,保护,להציל,verbs,2.48
383,相机,עובד,nouns,0.15
384,海报,נייר,nouns,2.15
385,教授,סטודנט,nouns,0.73
386,毁灭,ליצור,verbs,0.59
387,剑,כס,nouns,0.53
388,市长,נשיא,nouns,1.95
389,社会生物学,מוטציה,nouns,0.63
390,淫贱,מלוכלך,adjectives,0.72
391,接受,לסלוח,verbs,2.02
392,耐力,רצועה,nouns,0.1
393,舱,מחנה,nouns,0.74
394,湖,ענן,nouns,0.45
395,同意,לרצות,verbs,1.5
396,俱乐部,סימן,nouns,0.0
397,坚强,גאה,adjectives,0.43
398,标志,צופן,nouns,0.7
399,卡,ברידג',nouns,0.88
400,溶解,לערבב,verbs,1.18
401,修道院,מקלחת,nouns,0.0
402,准许,לאשר,verbs,4.26
403,争论,הסכמה,nouns,0.72
404,选择,כלא,nouns,0.39
405,树,עלה,nouns,0.94
406,诚实地,בכנות,adverbs,4.79
407,肘,קרסול,nouns,1.27
408,听,להבחין,verbs,1.44
409,偏见,להטות,verbs,3.03
410,攻击,לעצבן,verbs,0.63
411,骨头,קרסול,nouns,1.13
412,卖,להשאיל,verbs,0.97
413,旅程,כיבוש,nouns,0.88
414,房间,תא,nouns,2.69
415,世纪,שנה,nouns,2.2
416,北,דרום,nouns,0.84
417,家长,אבא,nouns,3.88
418,踝,מרפק,nouns,1.27
419,不公平,בהגינות,adverbs,0.68
420,容易,פשוט,adjectives,3.83
421,了解,להקשיב,verbs,1.58
422,薄荷,מוזיאון,nouns,0.2
423,公寓,רהיט,nouns,0.55
424,壁橱,בגדים,nouns,0.83
425,碗,צלחת,nouns,2.31
426,石,עץ,nouns,0.45
427,赛跑,פילוסוף,nouns,0.0
428,图表,גרף,nouns,3.84
429,卧室,אמבטיה,nouns,0.73
430,坏,אשם,adjectives,0.49
431,男人,אישה,nouns,0.98
432,胜利者,גבר,nouns,0.58
433,云,אגם,nouns,0.45
434,权利,צדק,nouns,0.78
435,十四行诗,יופי,nouns,0.24
436,幻想,מציאות,nouns,1.2
437,纸,קרטון,nouns,2.75
438,丈夫,אישה,nouns,0.98
439,电脑,דיסק,nouns,0.78
440,努力,לעקל,verbs,0.1
441,植物,חקלאות,nouns,1.39
442,盒子,מעלית,nouns,0.3
443,复杂,בוגר,adjectives,0.78
444,遇见,לשחות,verbs,0.05
445,找到,לאבד,verbs,0.5
446,尺寸,טריק,nouns,0.0
447,大夫,דוקטור,nouns,5.01
448,叶,עץ,nouns,0.94
449,锁匙,בית,nouns,0.65
450,承认,לדבר,verbs,0.68
451,沙拉,חומץ,nouns,0.64
452,实质上,בהכרח,adverbs,0.53
453,经常,לעיתים רחוקות,adverbs,0.73
454,积极地,בשמחה,adverbs,0.62
455,犯罪,הונאה,nouns,2.56
456,社会,תרבות,nouns,1.39
457,和平,חייל,nouns,0.45
458,争论,להתלונן,verbs,1.99
459,裙子,ריקוד,nouns,0.44
460,锡,מתכת,nouns,2.21
461,协议,חוזה,nouns,4.92
462,自豪,עצוב,adjectives,0.39
463,成功,להשיג,verbs,2.05
464,教,לחנך,verbs,4.14
465,盗窃,פשע,nouns,2.88
466,环境,חרב,nouns,0.18
467,汽车,מפעל,nouns,0.54
468,发送,לקבל,verbs,0.77
469,祈祷,לתקשר,verbs,0.97
470,发送,ללכת,verbs,0.39
471,大多,בעיקר,adverbs,4.25
472,沐浴,רעיה,nouns,0.05
473,悲伤,בושה,nouns,1.05
474,成熟,מתוחכם,adjectives,0.78
475,酒,ויסקי,nouns,2.92
476,飞机场,חלק,nouns,0.1
477,花朵,סבולת,nouns,0.23
478,蜥蜴,ממשלה,nouns,0.05
479,发现,לחקור,verbs,2.76
480,花朵,סיגלית,nouns,2.88
481,书,מידע,nouns,1.7
482,前进,לקדם,verbs,1.92
483,拿,לקבל,verbs,1.32
484,小提琴,גיטרה,nouns,1.32
485,选举,בחירה,nouns,2.76
486,给,לנשל,verbs,0.45
487,主教,מוסלמי,nouns,1.02
488,丑陋,גס,adjectives,0.92
489,舌头,לחי,nouns,0.65
490,行星,כוכב,nouns,3.63
491,混乱,שיעור,nouns,0.1
492,地带,שטח,nouns,4.77
493,肝脏,איבר,nouns,2.17
494,尖,מתון,adjectives,0.45
495,收到,לקחת,verbs,1.32
496,车,אוטו,nouns,5.86
497,开始,התחיל,verbs,4.88
498,知道,לתת,verbs,0.0
499,一尘不染,נקי,adjectives,4.55
500,小巷,קערה,nouns,0.0
501,开襟毛衣,חולצה,nouns,1.68
502,沉重,עמוס,adjectives,1.06
503,欠,להיכנס,verbs,0.0
504,酒,ברנדי,nouns,3.07
505,运输,להרים,verbs,1.48
506,大,קל,adjectives,0.35
507,合唱,זמר,nouns,1.67
508,款待,לשלם,verbs,0.29
509,猫,עכבר,nouns,0.89
510,创建,לדמיין,verbs,1.17
511,基督教,פרוטסטנט,nouns,2.85
512,井井有条,מבולגן,verbs,0.68
513,文章,כתב יד,nouns,2.74
514,大方,נחמד,adjectives,1.7
515,正常,שונה,adjectives,0.45
516,大声地,ברכות,adverbs,0.25
517,作家,מלחין,nouns,2.27
518,生气,שמח,adjectives,0.5
519,旗帜学,דגל,nouns,1.11
520,出席,להתכנס,verbs,1.13
521,轻视,בזוי,adjectives,4.08
522,必须,חשוב,adjectives,3.56
523,说谎,להאשים,verbs,0.54
524,台风,ציקלון,nouns,3.79
525,便士,מציאה,nouns,0.29
526,否认,לשקר,verbs,1.02
527,发动机,מכונה,nouns,2.33
528,搏斗,לנשוך,verbs,1.46
529,音乐,חליל,nouns,1.25
530,实际地,באופן אידיאלי,adverbs,0.59
531,接受,להסכים,verbs,3.26
532,真实地,חשוב,adverbs,0.3
533,禁止,לעצור,verbs,2.54
534,目前,בעדינות,adverbs,0.0
535,世纪,עשור,nouns,0.89
536,日志,נוסחה,nouns,0.2
537,发生,לעשות,verbs,0.65
538,退出,לפרוש,verbs,2.56
539,手,מפרק,nouns,1.85
540,书,כתב יד,nouns,1.25
541,忙碌,עצלן,adjectives,0.45
542,傻,ילדותי,adjectives,2.41
543,天神,אב,nouns,0.24
544,案件,חומרה,nouns,0.34
545,沙发,בייסבול,nouns,0.1
546,肥料,צמיחה,nouns,0.93
547,洞,רעיה,nouns,0.32
548,懒,יקר ערך,adjectives,0.04
549,直升机,מטוס,nouns,2.67
550,男孩,אח,nouns,2.39
551,收割,להרוויח,verbs,2.42
552,协议,ויכוח,nouns,0.72
553,歌手,צוות,nouns,0.23
554,踢,לפגוע,verbs,1.11
555,拇指,יד,nouns,1.03
556,新娘,נסיכה,nouns,0.74
557,依靠,להסתמך,verbs,3.69
558,真诚地,ביושר,adverbs,4.79
559,牙齿,עצם,nouns,1.12
560,广场,מפה,nouns,0.58
561,公主,כלה,nouns,0.74
562,杯子,קונוס,nouns,1.56
563,雪崩,שלג,nouns,1.77
564,从不,לעיתים רחוקות,adverbs,2.19
565,学期,סמסטר,nouns,3.08
566,了解,לסלוח,verbs,0.92
567,理解,לקלוט,verbs,4.08
568,苹果,ממתק,nouns,0.65
569,悲剧,מוות,nouns,2.33
570,钢,סגסוגת,nouns,3.16
571,橡木,מייפל,nouns,2.18
572,盒子,סיגר,nouns,0.39
573,剩余,הבדל,nouns,2.03
574,农业,צמח,nouns,1.39
575,心理学,מדע,nouns,2.35
576,人,חיה,nouns,1.7
577,逻辑,חשבון,nouns,1.69
578,昆虫,דבורה,nouns,2.45
579,自豪,שמחה,nouns,1.91
580,编织,לקשור,verbs,2.6
581,大致,בוודאי,adverbs,0.68
582,怀疑,לעצור,verbs,0.58
583,乱,מכוער,adjectives,0.87
584,关键地,בעצם,adverbs,0.28
585,知会,להבריק,verbs,0.0
586,劝告,להציע,verbs,3.31
587,审判,פסיקה,nouns,2.01
588,情绪,תשוקה,nouns,3.14
589,不同,להסכים,verbs,0.55
590,演员,זמר,nouns,2.13
591,肌肉,עצם,nouns,0.68
592,运送,לקבל,verbs,0.5
593,主题,ספר,nouns,1.38
594,花,אמונה,nouns,0.09
595,衣服,ארון,nouns,0.83
596,打印,להתעלם,verbs,0.1
597,英寸,מטר,nouns,2.18
598,湿,דביק,adjectives,1.55
599,来,להביא,verbs,1.11
600,海啸,ים,nouns,1.33
601,煮沸,לטגן,verbs,1.21
602,建立,ליצור,verbs,4.37
603,很可能,ייתכן,adverbs,4.58
604,病毒,דם,nouns,0.64
605,苦难,ייאוש,nouns,2.68
606,来,ללכת,verbs,0.88
607,公寓,מלון,nouns,1.17
608,募捐,פיתוח,nouns,0.45
609,脖子,עצם,nouns,0.69
610,走,לאפשר,verbs,0.05
611,不可能,באופן ידידותי,adverbs,0.09
612,生物学,אנטומיה,nouns,2.82
613,放,לתלות,verbs,1.01
614,手,רגל,nouns,0.88
615,评分,לסמן,verbs,2.35
616,情况,נסיבות,nouns,4.74
617,借,למכור,verbs,0.97
618,讨厌,לבקר,verbs,0.47
619,卖,ללכת,verbs,0.05
620,电影,טלויזיה,nouns,2.53
621,显然,בוודאי,adverbs,3.06
622,偏见,שוביניסט,nouns,1.89
623,航空电子学,אווירונאוטיקה,nouns,2.54
624,椅子,ספסל,nouns,3.17
625,独立地,באופן אחראי,adverbs,1.29
626,拿,לעזוב,verbs,0.15
627,默默地,באופן פסיבי,adverbs,0.87
628,星系,אפליקציה,nouns,0.3
629,稻草,משימה,nouns,0.0
630,定义,מילון,nouns,1.12
631,约定,התחייבות,nouns,1.49
632,山,אדן,nouns,0.2
633,手,ציפורן,nouns,0.83
634,不显眼地,בוודאי,adverbs,0.28
635,大致,בקוצר רוח,adverbs,0.1
636,羊肉,כבש,nouns,3.93
637,查询,לדרוש,verbs,0.69
638,武器,קסדה,nouns,0.89
639,线索,מילה,nouns,0.44
640,化学,תיאוריה,nouns,0.46
641,线,שקיעה,nouns,0.0
642,锁匙,כתר,nouns,0.0
643,糖,דבש,nouns,2.22
644,形象,רעיון,nouns,0.45
645,苹果,דיאטה,nouns,0.86
646,十字架,נזיר,nouns,0.69
647,名誉,עושר,nouns,1.35
648,积极地,במדוייק,adverbs,0.97
649,律师,בנקאי,nouns,0.69
650,香槟,וויסקי,nouns,2.38
651,澄清,להסביר,verbs,3.88
652,棉,סוודר,nouns,1.02
653,中性,רגוע,adjectives,0.89
654,徽章,כבוד,nouns,0.65
655,磁盘,מחשב,nouns,0.78
656,种族,סוף שבוע,nouns,0.05
657,困难,פשוט,adjectives,0.45
658,被动,אלים,adjectives,0.3
659,疾病,חום,nouns,2.08
660,肚子,חדר שינה,nouns,0.05
661,儿子,ילד,nouns,3.3
662,岛,נסיכה,nouns,0.3
663,牙医,דוקטור,nouns,4.7
664,脚,חול,nouns,0.29
665,离开,להיפרד,verbs,2.54
666,科学家,אחות,nouns,0.34
667,未公开,גלוי,adjectives,0.59
668,狗,סוס,nouns,1.06
669,报纸,מילה,nouns,1.57
670,糟糕, בענווה,adverbs,0.25
671,原木,אמבטיה,nouns,0.1
672,键盘,אור,nouns,0.04
673,木,נייר,nouns,0.92
674,云,תחזית,nouns,1.69
675,天花板,רצפה,nouns,0.65
676,骨头,צוואר,nouns,0.69
677,替换,החלפה,nouns,4.22
678,镜片,מצלמה,nouns,1.18
679,清醒,שיכור,adjectives,0.59
680,散热器,חיישן,nouns,0.58
681,草,להב,nouns,0.25
682,最佳,חמישי,adjectives,0.29
683,小炮舰,חוף,nouns,0.65
684,阴谋家,אסטרטג,nouns,3.16
685,锥形蛋筒,גביע,nouns,1.56
686,种子,חרדל,nouns,0.97
687,承认,להודיע,verbs,0.7
688,相机,המשך,nouns,0.04
689,自豪地,בשלווה,adverbs,0.19
690,乐队,סבולת,nouns,0.1
691,说话,לאשר,verbs,0.68
692,紧急,במהירות,adverbs,2.69
693,王座,חרב,nouns,0.53
694,生活方式,ציוויליזציה,nouns,1.31
695,划分,לאחד,verbs,0.68
696,聪慧,חכם,adjectives,5.24
697,手臂,ברך,nouns,0.93
698,表,שקיעה,nouns,0.0
699,屋顶,תקרה,nouns,3.49
700,创造性地,במקור,adverbs,0.35
701,难以置信,רגיל,adjectives,0.4
702,总统,תלמיד,nouns,0.2
703,墙,לבנה,nouns,1.17
704,人,אקדח,nouns,0.3
705,汽车,מכונית,nouns,5.86
706,静脉,זרוע,nouns,0.6
707,黏,מלוכלך,adjectives,0.77
708,笨,עקשן,adjectives,1.27
709,撕开,ללבוש,verbs,0.24
710,旋律,מוסיקה,nouns,3.62
711,八月,חודש,nouns,2.4
712,松饼,פטרוזיליה,nouns,0.4
713,枯燥,מצחיק,adjectives,0.45
714,孤独,מסכן,adjectives,0.89
715,绿洲,חופש,nouns,0.29
716,肚皮,כרס,nouns,3.66
717,女人,מזכירה,nouns,1.06
718,敬佩,להעריץ,verbs,4.22
719,击中,לכוון,verbs,1.21
720,孩子气,טיפשי,adjectives,2.41
721,羞辱,לנחם,verbs,0.44
722,画廊,עורך דין,nouns,0.0
723,公爵,רפובליקה,nouns,0.45
724,母亲,חבר,nouns,0.73
725,减少,לכווץ,verbs,3.19
726,飑,רוח,nouns,2.66
727,清洁,ללא רבב,adjectives,4.55
728,无聊,עייף,adjectives,0.59
729,时装,סגנון,nouns,2.98
730,自由,חופש,nouns,4.89
731,庆祝,טקס,nouns,2.74
732,插图,שלפוחית,nouns,0.0
733,拒绝,לסגת,verbs,0.61
734,创建,להרוס,verbs,0.68
735,发射,לשלוח,verbs,3.5
736,问,להתעלם,verbs,0.44
