ID,HEB,YUE,PoS,score
85,לפעמים,經常,adverbs,2.44
86,להפסיק,做,verbs,0.39
87,לנסות,說服,verbs,0.65
88,עצם,腦,nouns,0.9
89,טייס משנה,座艙,nouns,0.83
90,מיותר,必須,adjectives,0.6
91,לקצור,獲得,verbs,1.78
92,לריב,不同意,verbs,0.75
93,לשקר,假扮,verbs,3.06
94,גב,頸,nouns,1.93
95,סמל,尊嚴,nouns,0.93
96,קומביין,甘蔗,nouns,0.25
97,להאשים,蔑視,verbs,0.4
98,ספה,椅子,nouns,2.69
99,ענק,大,adjectives,3.59
100,גובה,換算,nouns,0.49
101, קפלה,電纜,nouns,0.0
102,בלון,沖涼,nouns,0.05
103,קורבן,電話,nouns,0.2
104,סטטיסטיקה,網球,nouns,0.1
105,מרתף,門,nouns,0.54
106,מפוחד,不肯定,adjectives,0.97
107,לרצות,求情,verbs,0.53
108,לעיתים,經常地,adverbs,0.97
109,למנוע,拒絕,verbs,0.54
110,כלב,狐狸,nouns,1.58
111,לכפול,除,verbs,0.89
112,להתכחש,斷絕父子關係,verbs,2.83
113,לפגוש,離開,verbs,0.35
114,להצטרף,合作,verbs,0.69
115,צנוע,純,adjectives,0.73
116,כבד,肺,nouns,0.97
117,קרטון,紙,nouns,2.52
118,תחזית,雪,nouns,0.72
119,יארד,英寸,nouns,2.69
120,אובך,雲,nouns,2.22
121,הרבה,兩次,adverbs,0.64
122,מרפק,踝,nouns,1.32
123,תרנגולת,鳥,nouns,1.6
124,מצלמה,總統,nouns,0.05
125,לצמוח,增加,verbs,1.06
126,עליון,第五,adjectives,0.34
127,קופסה,帽子,nouns,0.05
128,חשבון,邏輯,nouns,1.92
129,דרך,行動,nouns,1.27
130,בת,父親,nouns,1.02
131,אוכל,程序,nouns,0.25
132,מטבע,付款,nouns,1.18
133,כף,杯子,nouns,1.25
134,צינור,汽車,nouns,0.34
135,פרוזדור,走道,nouns,4.29
136,עבודת יד,傳統,nouns,0.83
137,לדחות,拒絕,verbs,4.46
138,דשא,刀口,nouns,0.25
139,בייסבול,籃球,nouns,1.97
140,מאה,酒,nouns,0.04
141,ליידע,通知,verbs,5.13
142,תזמורת,遊行,nouns,1.18
143,כריך,肉,nouns,0.64
144,שור,馬,nouns,1.76
145,בחירות,選擇,nouns,2.58
146,שנייה,分鐘,nouns,2.74
147,בקלות,舒服地,adverbs,1.26
148,מבוגר,家長,nouns,2.58
149,להניח,掛,verbs,0.96
150,אופניים,皮膚,nouns,0.15
151,גודש,許多,nouns,3.52
152,טוב,辣,adjectives,0.49
153,באופן לא הוגן,公平,adverbs,0.55
154,לעזוב,進入,verbs,0.49
155,מודרני,古老,adjectives,0.59
156,להעיד,判斷,verbs,0.5
157,מספר,數字,nouns,4.6
158,רוח,颮,nouns,2.62
159,סופת שלגים,雨,nouns,1.98
160,מנהיג,經理,nouns,3.1
161,להתווכח,需求,verbs,0.45
162,אצטילכולין,鳶尾花,nouns,0.3
163,לפספס,打中,verbs,0.55
164,בטן,身體,nouns,2.13
165,להסתכל,搜索,verbs,1.27
166,מלך,統治者,nouns,4.33
167,פרק,尾巴,nouns,0.24
168,להטריח,加劇,verbs,0.1
169,דלת,走廊,nouns,0.88
170,לברר,需要,verbs,0.6
171,חתול,寵物,nouns,2.71
172,לעזוב,參加,verbs,0.5
173,המטולוגיה,病理學,nouns,2.42
174,באלגנטיות,美麗地,adverbs,2.92
175,תפוד,牛油,nouns,0.55
176,אטום,分子,nouns,2.44
177,סל,球,nouns,0.59
178,סאטירה,神話,nouns,0.83
179,להפריד,連接,verbs,0.5
180,באופן לא טבעי,負面地,adverbs,0.86
181,שגוי,精確,adjectives,0.64
182,מעונן,預測,nouns,0.74
183,בוודאי,看來,adverbs,0.97
184,לעולם לא,稍後,adverbs,0.35
185,להחמיר,打稿,verbs,0.1
186,גניבה,犯罪,nouns,2.88
187,מתנגד,對手,nouns,4.73
188,גיבורה,英雄,nouns,3.8
189,מס,收入,nouns,0.78
190,לבדר,享受,verbs,1.4
191,לחבר,分離,verbs,0.5
192,לבנות,毀滅,verbs,0.72
193,מלוכלך,狹窄,adjectives,0.0
194,לבחוש,混合,verbs,4.88
195,מידע,報紙,nouns,2.07
196,משעמם,沉悶,adjectives,2.36
197,פסנתר,和聲,nouns,0.82
198,בלבול,歇斯底里,nouns,1.78
199,להגיד,提醒,verbs,2.03
200,תפוח,糖果,nouns,0.69
201,ישן,雜,adjectives,0.14
202,נהג,飛行員,nouns,3.06
203,וויסקי,香檳,nouns,3.01
204,שועל,獵狗,nouns,1.58
205,ארנק,袋,nouns,2.72
206,וויסקי,杜松子酒,nouns,3.42
207,להבהיל,困擾,verbs,0.34
208,דם,病毒,nouns,0.83
209,לעודד,使氣餒,verbs,0.5
210,מוט,旗,nouns,1.11
211,באופן פסיבי,靜靜地,adverbs,0.87
212,אסטרונום,星系,nouns,1.84
213,אשראי,借款人,nouns,0.89
214,מיכל,老鼠,nouns,0.0
215,גלקסיה,天文學家,nouns,1.84
216,עליז,開心,adjectives,5.24
217,פיקח,狡猾,adjectives,2.72
218,קצב,算術,nouns,0.1
219,זרוע,骨頭,nouns,0.83
220,ים,海嘯,nouns,1.52
221,דבש,糖,nouns,2.13
222,אפס,無窮,nouns,0.82
223,משוואה,公式,nouns,4.13
224,עורך דין,畫廊,nouns,0.0
225,ליצור,毀滅,verbs,0.64
226,קשב,興趣,nouns,1.6
227,להנמיך,减少,verbs,3.67
228,משימה,工作,nouns,3.49
229,זועם,猶豫,adjectives,0.73
230,ברנדי,紅酒,nouns,2.74
231,לשנוא,喜愛,verbs,0.29
232,אנרכיה,混亂,nouns,3.84
233,רענן,最近,adjectives,2.75
234,למצוא,逃逸,verbs,0.4
235,בקר,肉,nouns,2.88
236,לשכוח,無視,verbs,1.93
237,אנרגיה,電池,nouns,2.28
238,מנהלה,行政管理,nouns,2.79
239,מיתוס,諷刺,nouns,0.83
240,צורה,時裝,nouns,0.35
241,חימום מראש,再熱,nouns,2.48
242,וירוס,血液,nouns,0.83
243,ברנדי,酒,nouns,3.07
244,ליפול,絆倒,verbs,4.29
245,תובנה,智力,nouns,2.42
246,למכור,走,verbs,0.1
247,עוצמתי,強大,adjectives,5.33
248,מעצר,單身牢房,nouns,1.35
249,משעמם,好笑,adjectives,0.49
250,הון,錢,nouns,4.07
251,לפעמים,肯定地,adverbs,0.05
252,דומה,相像,adjectives,3.54
253,רעיה,稻草,nouns,0.1
254,להסית,傾向,verbs,3.53
255,תחתית,上面,nouns,0.5
256,רע,不道德,adjectives,1.56
257,עיירה,城市,nouns,3.38
258,רחב,大,adjectives,2.56
259,מבולגן,清潔,adjectives,0.54
260,פרח,灌木,nouns,2.11
261,התזה,粘性,nouns,0.25
262,לבזבז,擔心,verbs,0.1
263,פרלמנט,國會,nouns,3.68
264,טיפשי,輕信,adjectives,1.6
265,זכות בחירה,出口,nouns,0.04
266,ברזל,維他命,nouns,0.98
267,לעצור,警告,verbs,0.54
268,לצלול,創建,verbs,0.15
269,להתחיל,戒除,verbs,0.55
270,שריר,骨頭,nouns,0.68
271,באופן אידיאלי,機械地,adverbs,0.33
272,פגישה,病人,nouns,0.87
273,אף,頭,nouns,0.79
274,מונית,的士,nouns,5.7
275,לקחת,擁有,verbs,2.31
276,סרט,劇院,nouns,1.99
277,לא סביר,友好,adverbs,0.0
278,עסוק,懶,adjectives,0.49
279,לשחוק,允許,verbs,0.05
280,לפצל,分離,verbs,2.37
281,כפל,除法,nouns,1.9
282,ג'ויסטיק,雷達,nouns,0.19
283,לתת,允許,verbs,2.72
284,הדיינות,外交,nouns,2.04
285,שמלה,舞蹈,nouns,0.35
286,נוח,脆弱,adjectives,0.28
287,מנהל,領導,nouns,3.1
288,התעמלות,擊劍,nouns,0.93
289,ערפל,雨,nouns,1.22
290,חבר,傢伙,nouns,1.35
291,רטוב,黏,adjectives,1.33
292,מעוקל,直,adjectives,0.64
293,מיידית,一次,adverbs,0.29
294,ישר,彎曲,adjectives,0.64
295,להעניש,服從,verbs,0.54
296,מזל,幸福,nouns,1.01
297,זרבובית,流體,nouns,0.58
298,הכנסה,税,nouns,0.78
299,מטחנה,種子,nouns,0.58
300,מאמנים,獎章,nouns,0.55
301,לתקוף,加劇,verbs,0.49
302,בטיחות,安慰,nouns,0.45
303,אוויר,分子,nouns,1.12
304,מנורה,精靈,nouns,0.54
305,להיכשל,依靠,verbs,0.24
306,אמיתי,假,adjectives,0.64
307,למכור,借,verbs,0.74
308,אב,哥哥,nouns,1.68
309,נקי,整齊,adjectives,3.78
310,דגל,杆,nouns,1.11
311,להתעורר,打鼻鼾,verbs,0.45
312,אולם,走道,nouns,0.6
313,פירוק,因式分解,nouns,3.69
314,מצלמה,工作者,nouns,0.28
315,קרסול,肘,nouns,1.32
316,מכונית,單車,nouns,1.68
317,להשיג,嘗試,verbs,0.63
318,בחירה,章,nouns,0.15
319,אמבטיה,原木,nouns,0.1
320,למצוא,消失,verbs,0.5
321,אחרי,之前,adverbs,0.55
322,בגדים,抽屜,nouns,0.78
323,באמת,重要地,adverbs,0.53
324,מורה,學生,nouns,1.21
325,כלי,小提琴,nouns,1.65
326,לבנות,做,verbs,2.84
327,לערבב,煮,verbs,0.88
328,אבא,女兒,nouns,1.02
329,למשוך,打,verbs,0.45
330,לחוב,借,verbs,1.07
331,נפוטיזם,國王,nouns,0.65
332,להינות,討厭,verbs,0.29
333,הערה,付款,nouns,0.28
334,לסרב,謝絕,verbs,4.46
335,זמר,演員,nouns,2.04
336,לדעת,明白,verbs,3.11
337,לדרוש,查詢,verbs,0.6
338,לימון,蘋果,nouns,1.37
339,קל,生硬,adjectives,0.4
340,לבחור,拒絕,verbs,0.1
341,קופסה,資源,nouns,0.04
342,ללחוש,說話,verbs,1.69
343,אדם חסכן,存款,nouns,1.1
344,בקבוק,廣口瓶,nouns,3.13
345,בניין,房間,nouns,0.83
346,חוף,沙灘,nouns,2.77
347,להשאיל,保持,verbs,0.55
348,שר,拉比,nouns,0.55
349,זכוכית,水晶,nouns,2.62
350,זיהום,詞性變化,nouns,0.14
351,מכונית,胎壓計,nouns,0.4
352,רפובליקה,公爵,nouns,0.63
353,חתיך,傢伙,nouns,2.3
354,להדפיס,無視,verbs,0.1
355,שיעורי בית,文章,nouns,1.71
356,בטוח,合法,adjectives,0.86
357,מיטת תינוק,幼兒床,nouns,4.15
358,חוק,慣例,nouns,2.91
359,קיר,裝飾,nouns,0.53
360,דגנים,小麥,nouns,3.04
361,גבול,分界線,nouns,4.01
362,חליפין,貨幣,nouns,0.97
363,להחזיר,帶來,verbs,0.78
364,ירח,行星,nouns,2.32
365,פחמן,原子,nouns,1.54
366,לעזוב,出現,verbs,0.34
367,כבל,教堂,nouns,0.0
368,ילד,兒子,nouns,3.17
369,חצוף,批評,adjectives,0.82
370,הפוך,其他,adjectives,0.39
371,מכללה,級數,nouns,0.74
372,להתכנס,出席,verbs,1.07
373,לכתוב,匆匆地寫,verbs,3.27
374,נוכחות,優勝者,nouns,0.04
375,שיח,花,nouns,2.11
376,תא,電話,nouns,0.3
377,דיסק,充電器,nouns,0.15
378,נדיר,笨,adjectives,0.24
379,לחשוב,嘗試,verbs,0.61
380,לקנות,得到,verbs,0.6
381,להגיע,出現,verbs,3.68
382,מכונית,貨車,nouns,2.63
383,לדאוג,浪費,verbs,0.1
384,איבר,肝臟,nouns,2.17
385,עצב,身體,nouns,0.78
386,אשמה,系統,nouns,0.24
387,מועמד,獲勝者,nouns,1.01
388,ליצור,毀滅,verbs,0.55
389,מאה,十年,nouns,1.35
390,שסתום,發動機,nouns,1.21
391,דוקטור,脾氣,nouns,0.18
392,כן,內疚,adjectives,0.43
393,עצם,手臂,nouns,0.83
394,מהומה,畫畫,nouns,0.15
395,אנשים,派對,nouns,1.11
396,אצבע,手掌,nouns,1.63
397,להנות,娛樂,verbs,1.4
398,בהירות,星,nouns,1.97
399,סמטה,碗,nouns,0.0
400,טייס,司機,nouns,3.06
401,יכולת,才能,nouns,4.05
402,דיפלומטיה,談判,nouns,2.04
403,שלפוחית,插圖,nouns,0.04
404,להזכיר,忘記,verbs,0.55
405,דם,身體,nouns,0.92
406,מכונית,喇叭,nouns,0.74
407,לרדוף,調查,verbs,1.1
408,ללמד,懲罰,verbs,0.72
409,כעס,狂怒,nouns,4.59
410,להתכווץ,成長,verbs,0.65
411,משעמם,刺激,adjectives,0.63
412,הזיה,現實,nouns,1.02
413,שדה,燕麥,nouns,1.31
414,חד,鈍,adjectives,0.89
415,לשרבט,寫,verbs,3.27
416,מונוקלטורה,農業,nouns,1.46
417,לטפס,遠足,verbs,1.26
418,קשיח,堅硬,adjectives,3.82
419,ורד,蝴蝶,nouns,0.29
420,משמעותי,次要,adjectives,0.58
421,כובע,盒子,nouns,0.05
422,בחשיבות,認真地,adverbs,2.94
423,טיפשי,笨,adjectives,4.62
424,להסכים,拗撬,verbs,0.45
425,לאחד,劃分,verbs,0.5
426,מצביע,幻灯片,nouns,0.34
427,פירוק לגורמים,分解,nouns,3.69
428,בעיקר,深深地,adverbs,0.91
429,פסל,大廈,nouns,0.25
430,מערכת,故障,nouns,0.24
431,בקר,乳酪,nouns,0.68
432,משחק,戲法,nouns,0.93
433,גן חובה,幼兒,nouns,1.83
434,מזג אוויר,波浪,nouns,0.34
435,גברים,兄弟會,nouns,1.5
436,אלומיניום,金屬,nouns,2.19
437,לדכא,鼓勵,verbs,0.5
438,סוס,小馬,nouns,2.83
439,כרגע,微妙地,adverbs,0.18
440,לאמוד,學習,verbs,0.34
441,חבר,朋友,nouns,4.38
442,שיר,演員,nouns,0.4
443,ספרות,書,nouns,2.45
444,מגירה,衣服,nouns,0.78
445,לקלקל,聞,verbs,0.05
446,להימלט,逃走,verbs,5.23
447,נייר,硬紙板,nouns,2.52
448,הסכמה,爭論,nouns,0.59
449,תרבות,社會,nouns,1.17
450,מוזר,怪異,adjectives,4.32
451,למות,埋葬,verbs,1.1
452,בלתי אפשרי,可行,adjectives,0.59
453,קולנוע,歌劇,nouns,2.37
454,קפלה,尖頂,nouns,1.32
455,כבידה,流星,nouns,0.78
456,דרום,北,nouns,1.39
457,רחב,狹窄,adjectives,0.64
458,לעקוב,追逐,verbs,2.23
459,באופן מסוכן,小心地,adverbs,0.54
460,פעמיים,總是,adverbs,0.58
461,קרדיגן,衫,nouns,2.46
462,עין,眉頭,nouns,0.88
463,בית,公寓,nouns,4.29
464,צר,髒,adjectives,0.0
465,אחרת,奇怪地,adverbs,0.24
466,ערך,信念,nouns,2.78
467,רופא,正牙醫生,nouns,4.97
468,גבר,武士,nouns,1.4
469,להתפורר,死,verbs,0.3
470,לצבוט,用拳猛擊,verbs,0.57
471,פעילות,運動,nouns,2.32
472,חדשני,有創意,adjectives,3.88
473,מנוע,引擎,nouns,5.28
474,לנתח,比較,verbs,2.68
475,תא הטייס,副駕駛,nouns,0.83
476,גבר,哨兵,nouns,0.8
477,ציקלון,颱風,nouns,3.75
478,תיבה,電,nouns,0.2
479,להשוות,分析,verbs,2.68
480,פשוט,看來,adverbs,0.71
481,אווירונאוטיקה,航空電子學,nouns,2.68
482,ליקר,紅酒,nouns,2.54
483,תזמורת,樂隊,nouns,3.72
484,קריקט,支持者,nouns,0.34
485,שרפרף,椅子,nouns,3.83
486,באופן אחיד,有時,adverbs,0.29
487,רציונלי,清醒,adjectives,2.22
488,אמן,藝術品,nouns,1.16
489,זכות,正義,nouns,0.78
490,קשת,探路者,nouns,0.15
491,אבא,兒子,nouns,2.0
492,להחזיק,攞,verbs,2.31
493,לבנים,身體,nouns,0.56
494,שמח,瘋狂,adjectives,0.78
495,לתת,斷絕父子關係,verbs,0.49
496,לשמור,防御,verbs,3.83
497,כוס,匙羹,nouns,1.25
498,להצטרף,獲得,verbs,0.15
499,כיתה,走廊,nouns,0.45
500,אדום,藍色,adjectives,0.84
501,לחשוד,逮捕,verbs,0.58
502,ביושר,真誠地,adverbs,4.88
503,טלפון סללורי,菠蘿,nouns,0.0
504,תחפושת,球,nouns,0.24
505,פרדס,鴕鳥,nouns,0.1
506,להתגבר,統治,verbs,0.4
507,צר,白色,adjectives,0.0
508,טיפש,頑固,adjectives,0.63
509,לילה,黎明,nouns,0.97
510,להמליץ,接受,verbs,0.55
511,גודל,一分錢,nouns,0.15
512,לקבל,發送,verbs,0.49
513,אוטובוס,車輛,nouns,2.04
514,לטייל,走,verbs,1.6
515,בלתי נסלח,婚外,adjectives,0.33
516,ליצור,建立,verbs,3.96
517,לסיים,競爭,verbs,0.19
518,להקטין,限制,verbs,1.21
519,עריסה,床,nouns,3.53
520,להרוס,創建,verbs,0.55
521,שוטר,警長,nouns,4.07
522,להזדרז,趕,verbs,4.88
523,אל,父親,nouns,0.29
524,קל,困難,adjectives,0.66
525,למכור,提醒,verbs,0.0
526,לספוג,學習,verbs,2.44
527,זרע,磨坊,nouns,0.58
528,כתף,手臂,nouns,1.81
529,ארוע,募捐活動,nouns,0.93
530,לשיר,浮動,verbs,0.2
531,להימנע,唔睬,verbs,1.4
532,חולי,傳染病,nouns,2.69
533,רכב,巴士,nouns,2.04
534,קערה,尾巴,nouns,0.0
535,ילד,男孩子,nouns,3.08
536,חול,腳,nouns,0.29
537,טייפון,氣旋,nouns,3.75
538,נושא,書,nouns,0.54
539,עובד,相機,nouns,0.28
540,כלב,馬,nouns,1.38
541,סירה,樹,nouns,0.6
542,פרצטמול,支氣管炎,nouns,0.65
543,שלג,雪崩,nouns,2.13
544,ערמומי,靠不住的,adjectives,2.32
545,שיר,歌謠,nouns,4.18
546,בצדקנות,成熟地,adverbs,0.39
547,ללמוד,迷惑,verbs,0.3
548,פשע,盜竊,nouns,2.88
549,בגאווה,和平地,adverbs,0.38
550,פרוזדור,課堂,nouns,0.45
551,לבכות,大笑,verbs,0.49
552,אדם,動物,nouns,0.88
553,תובע,律師,nouns,3.02
554,בוגר,未成熟的,adjectives,0.55
555,לצחוק,傻笑,verbs,3.93
556,דקה,秒,nouns,2.74
557,בר מזל,慚愧,adjectives,0.1
558,לאסוף,搖動,verbs,0.1
559,מלך,公主,nouns,2.04
560,בנקאי,律師,nouns,1.46
561,לבשל,炒,verbs,1.46
562,קפה,豆,nouns,0.97
563,סוכרוז,醣類,nouns,2.09
564,לארגן,成為,verbs,0.64
565,אריג,衣服,nouns,2.24
566,חלון,雲,nouns,0.3
567,נשמה,兄弟,nouns,0.1
568,באופן חריג,一般,adverbs,0.45
569,ראש,首領,nouns,3.46
570,להכחיש,接受,verbs,0.7
571,להחליט,描繪,verbs,0.2
572,שחקנית,演員,nouns,3.47
573,להיווצר,開始,verbs,2.44
574,רציני,有趣,adjectives,0.54
575,צינור,花園,nouns,0.65
576,רחוב,小巷,nouns,3.3
577,חייל,和平,nouns,0.45
578,חרות,自由,nouns,5.17
579,לקבל,原諒,verbs,1.07
580,להגיע,發送,verbs,0.54
581,באופן לא מדויק,精確地,adverbs,0.55
582,אופרה,電影,nouns,2.37
583,בשר,牛肉,nouns,2.88
584,אמבטיה,房間,nouns,0.93
585,חסר צורה,制服,adjectives,0.1
586,בעצם,關鍵地,adverbs,0.28
587,יקר,害羞,adjectives,0.05
588,מכוסה,沒有冚住的,adjectives,0.55
589,עוינות,侵略,nouns,3.88
590,שחקן,歌手,nouns,2.04
591,לדחות,避免,verbs,0.54
592,נשיא,小學生,nouns,0.24
593,רגיל,難以置信,adjectives,0.4
594,אמון,態度,nouns,0.76
595,האבקה,蕊,nouns,1.46
596,מצחיק,傷心,adjectives,0.55
597,סופני,主要,adverbs,0.04
598,מייפל,橡木,nouns,2.5
599,חדר שינה,肚,nouns,0.1
600,קש,任務,nouns,0.0
601,עצמי,自信,nouns,0.67
602,כועס,開心,adjectives,0.64
603,גדה,海滨,nouns,2.77
604,ברך,骨頭,nouns,1.21
605,שקרן,真實,adjectives,0.55
606,מזוייף,真實,adjectives,0.64
607,איריס,乙酰膽鹼,nouns,0.3
608,מורה,幫手,nouns,1.03
609,להזכיר,賣,verbs,0.0
610,למשוך,推,verbs,0.64
611,גוף,脊柱,nouns,1.13
612,קסדה,武器,nouns,1.57
613,בחשאי,明顯地,adverbs,0.15
614,להתפעל,崇拜,verbs,4.27
615,גיטרה,小提琴,nouns,2.27
616,כינור,吉他,nouns,2.27
617,לדמיין,創建,verbs,0.89
618,בנחישות,冷靜地,adverbs,0.56
619,בדרך כלל,常規地,adverbs,4.01
620,סעודה,湯,nouns,1.49
621,להצדיק,拗撬,verbs,0.88
622,להתנגש,碰撞,verbs,4.14
623,עלה,樹,nouns,1.17
624,סוס,牛,nouns,1.76
625,עולם,地球,nouns,3.94
626,נוקשה,簡單,adjectives,0.4
627,לדחות,退出,verbs,0.29
628,ג'ינס,女人,nouns,0.39
629,קומה,屋頂,nouns,0.83
630,חרב,環境,nouns,0.0
631,להכות,瞄准,verbs,0.8
632,בעצב,感情上,adverbs,0.77
633,לנשל,給,verbs,0.49
634,לא חוקי,合法,adjectives,0.59
635,זריז,快,adjectives,5.18
636,גשם,暴風雪,nouns,1.98
637,לעצור,控制,verbs,0.57
638,דלת,廚房,nouns,0.63
639,סערה,颶風,nouns,3.44
640,נמלה,蜜蜂,nouns,1.62
641,חיל הים,島,nouns,0.2
642,תינוקת,女兒,nouns,2.56
643,ספר,主題,nouns,0.72
644,לעזוב,無視,verbs,0.58
645,לנשל,聲明放棄,verbs,2.83
646,להיפגש,打招呼,verbs,0.81
647,מנצח,候選人,nouns,1.01
648,להבין,知道,verbs,3.11
649,להבין,原諒,verbs,0.78
650,ביולוג,顯微鏡,nouns,0.92
651,בשר,麵包,nouns,0.63
652,כסף,工資,nouns,3.75
653,לנצח,統治,verbs,1.22
654,קערה,小巷,nouns,0.0
655,אי,海軍,nouns,0.2
656,גדר,跳躍,nouns,0.35
657,בגדים,衣櫃,nouns,0.96
658,בקול רם,微妙地,adverbs,0.24
659,מטען,磁盤,nouns,0.15
660,דבורה,螞蟻,nouns,1.62
661,בטן,靜脈,nouns,0.54
662,חדשות,媒介,nouns,2.91
663,מנצח,目標,nouns,0.68
664,להלוות,欠,verbs,1.07
665,חופשי,無辜,adjectives,0.1
666,בחוכמה,成熟,adverbs,0.73
667,שפה,溝通,nouns,1.63
668,תחליף,交換,nouns,3.94
669,רחב,窄小,adjectives,0.59
670,שיחה,溝通,nouns,2.55
671,לדחות,選舉,verbs,0.1
672,מלחין,作家,nouns,2.13
673,לחם,芝士,nouns,0.83
674,אחוה,男人,nouns,1.5
675,תנור חימום,遮,nouns,0.6
676,ביישן,害怕,adjectives,2.13
677,לפני,之後,adverbs,0.55
678,אלוף,優勝者,nouns,3.98
679,עור,自行車,nouns,0.15
680,גבר,丈夫,nouns,2.58
681,בבהירות,輕輕地,adverbs,0.54
682,בבטחה,小心地,adverbs,2.64
683,מפרק,手臂,nouns,1.31
684,קש,聖歌,nouns,0.18
685,שנה,生日,nouns,1.1
686,באופן אחראי,獨立地,adverbs,1.39
687,התחייבות,約定,nouns,0.9
688,לווה,信用,nouns,0.89
689,חדר שינה,床,nouns,1.52
690,רשמית,重要的,adverbs,0.86
691,להרוס,做,verbs,0.64
692,נורא,傷心,adjectives,0.79
693,לעצור,禁止,verbs,2.32
694,נייר,海報,nouns,2.42
695,אחות,兄弟,nouns,2.17
696,בהמה,動物,nouns,3.33
697,עריסה,搖床,nouns,4.15
698,משועמם,平淡,adjectives,2.36
699,שמש,射線,nouns,1.12
700,שומר,男人,nouns,0.8
701,סוכר,蜜糖,nouns,2.13
702,שקיעה,表,nouns,0.0
703,להתקדם,促進,verbs,1.51
704,חוטא,聖,nouns,0.49
705,מעיל,帽子,nouns,0.73
706,מנגינה,音樂,nouns,3.21
707,בן,小孩,nouns,3.08
708,ספה,床,nouns,2.51
709,לרצות,選擇,verbs,0.69
710,עצלן,忙碌,adjectives,0.49
711,אשם,誠實,adjectives,0.43
712,חומצה,鹼,nouns,1.42
713,מטבע,並行性,nouns,0.6
714,למסור,接受,verbs,0.5
715,מרק,晚餐,nouns,1.49
716,ישן,新,adjectives,0.59
717,מיץ,匙羹,nouns,0.43
718,נפלא,靚,adjectives,1.17
719,כוכב,明亮,nouns,1.97
720,אנתרופולוגיה,考古學,nouns,2.13
721,לתפוס,收到,verbs,0.78
722,לנהוג,停,verbs,0.49
723,לבנה,牆,nouns,1.26
724,להרגיז,刺激,verbs,4.74
725,לטעון,辯解,verbs,0.88
726,גרון,鼻子,nouns,0.83
727,להשאיל,給予,verbs,3.78
728,בוודאי,當然,adverbs,5.03
