ID,POL,YUE,PoS,score
86,dysk,充電器,nouns,0.2
87,brat,姊妹,nouns,1.07
88,razić,瞇,verbs,0.04
89,słuchać,學習,verbs,0.43
90,teoria,化學,nouns,0.54
91,motyw,書,nouns,0.23
92,motel,小旅館,nouns,2.21
93,wanna,氣球,nouns,0.0
94,nalewać,滴,verbs,1.06
95,zaułek,碗,nouns,0.0
96,ceramika,陶藝,nouns,2.89
97,akceptować,收到,verbs,1.22
98,drzwi,門口,nouns,4.11
99,przewodniczący,市長,nouns,2.11
100,niepotrzebny,必須,adjectives,0.04
101,biuro,工作者,nouns,0.33
102,księżniczka,國王,nouns,1.65
103,chór,教堂,nouns,0.82
104,okno,門,nouns,0.86
105,burza,颶風,nouns,2.83
106,piłka,籃子,nouns,0.39
107,stulecie,十年,nouns,0.9
108,przyjaciel,老師,nouns,0.56
109,sztuczny,假,adjectives,3.88
110,kompletnie,輕微,adverbs,0.15
111,szczupły,苗條,adjectives,5.06
112,firma,商業,nouns,4.35
113,inny,正常,adjectives,0.15
114,gromadzić się,出席,verbs,1.18
115,indyk,母雞,nouns,2.69
116,niedawno,現實地,adverbs,0.32
117,pośpieszny,迅速,adjectives,5.08
118,chmura,風暴,nouns,1.22
119,rozumieć,知道,verbs,3.16
120,szosa,車,nouns,0.6
121,zegarek,裙子,nouns,0.14
122,ukazywać,假扮,verbs,0.15
123,sułtan,部,nouns,0.2
124,placek,巧克力,nouns,0.34
125,meteor,地心吸力,nouns,0.43
126,pobieżnie,粗糙地,adverbs,0.93
127,pojawić się,離開,verbs,0.29
128,wada,系統,nouns,0.1
129,aktywnie,準確地,adverbs,0.84
130,miły,大方,adjectives,1.44
131,galaktyka,天文學家,nouns,1.64
132,potrzebujący,無助,adjectives,1.6
133,fakt,洞察力,nouns,1.12
134,ciało,肩,nouns,0.86
135,rytm,詩,nouns,0.67
136,dać,偷,verbs,0.04
137,słup,旗,nouns,0.52
138,pistolet,人,nouns,0.28
139,trząść,攪拌,verbs,1.27
140,kaliber,遮,nouns,0.0
141,wytwórca,創造者,nouns,3.65
142,zaczynać,起源,verbs,3.29
143,szczerze,忠誠地,adverbs,3.44
144,myśleć,沉思,verbs,3.03
145,powiedzieć,表達,verbs,2.98
146,moc,力量,nouns,3.98
147,tajfun,氣旋,nouns,3.69
148,papier,硬紙板,nouns,3.02
149,tłok,發動機,nouns,1.36
150,obniżać,减少,verbs,4.27
151,winda,汽車,nouns,0.09
152,więzienie,選擇,nouns,0.05
153,niedawno,最近,adverbs,5.63
154,książę,共和國,nouns,0.18
155,klawiatura,光,nouns,0.09
156,pistolet,黎明,nouns,0.0
157,monokultura,農業,nouns,1.76
158,zdarzyć się,做,verbs,0.34
159,złapać,追逐,verbs,0.73
160,mężczyzna,女人,nouns,0.42
161,dieta,蘋果,nouns,0.33
162,pobieżnie,明顯地,adverbs,0.65
163,kość,肌肉,nouns,0.23
164,klub,標識,nouns,0.04
165,sączyć,大口地吃,verbs,0.73
166,kwiat,信念,nouns,0.0
167,rozumieć,知道,verbs,3.04
168,arytmetyka,韻律,nouns,0.0
169,winić,推,verbs,0.23
170,honor,敬重,nouns,2.31
171,nieobecność,在场,nouns,0.09
172,kurczak,晚餐,nouns,0.34
173,płyn,噴嘴,nouns,0.14
174,klatka piersiowa,身體,nouns,1.77
175,trunek,世紀,nouns,0.1
176,weryfikować,說,verbs,0.25
177,reżyser,攝影,nouns,1.19
178,sprawiedliwie,不公平,adverbs,0.04
179,ranić,踢,verbs,1.82
180,ciotka,侄子,nouns,1.04
181,redukować,收縮,verbs,3.2
182,atakować,傷害,verbs,2.65
183,wiedzieć,相信,verbs,0.28
184,naturalnie,非自然,adverbs,0.04
185,mężczyzna,嫌疑人,nouns,0.43
186,próbować,實現,verbs,0.38
187,chaotycznie,和平地,adverbs,0.0
188,cząsteczka,原子,nouns,2.83
189,prawdziwie,完美地,adverbs,0.64
190,udowodnić,解釋,verbs,2.3
191,najwyraźniej,明顯地,adverbs,2.08
192,płyta główna,主機板,nouns,3.56
193,informacja,熵,nouns,0.19
194,nihilizm,電影,nouns,0.09
195,artykuł,雜誌,nouns,1.83
196,niszczyć,創建,verbs,0.04
197,niemowlę,女兒,nouns,2.25
198,kapelusz,大褸,nouns,0.38
199,ładowarka,磁盤,nouns,0.2
200,mapa,廣場,nouns,0.18
201,pijany,清醒,adjectives,0.09
202,dodawać,除,verbs,0.36
203,naśladować,捕獲,verbs,0.0
204,zęby,鎚,nouns,0.04
205,aktywnie,高高興興,adverbs,0.71
206,łódź,車,nouns,0.53
207,klucz,鎖,nouns,0.7
208,dumny,膽大,adjectives,1.48
209,stop ,鋼,nouns,2.69
210,strzała,目標,nouns,0.65
211,odkryć,探索,verbs,3.01
212,cel,赢家,nouns,0.28
213,pięknie,優雅地,adverbs,3.33
214,prawo,學校,nouns,0.28
215,miecz,環境,nouns,0.0
216,brać,離開,verbs,0.04
217,zarabiać,值得,verbs,0.64
218,wyrzec się,給,verbs,0.1
219,spokojny,中性,adjectives,1.02
220,kłócić się,玩,verbs,0.18
221,pewny,乏味,adjectives,0.04
222,gryźć,搏鬥,verbs,0.68
223,brzydki,粗糙,adjectives,0.86
224,ranić,攻擊,verbs,2.65
225,nienaturalnie,自然地,adverbs,0.04
226,prorok,牧師,nouns,0.38
227,biologia,群落生境,nouns,0.34
228,odrzucić,接受,verbs,0.18
229,umiejętność,智力,nouns,2.09
230,szuflada,衣服,nouns,0.38
231,winny,誠實,adjectives,0.14
232,dolar,人,nouns,0.0
233,obłąkany,高興,adjectives,0.28
234,zasada,慣例,nouns,2.71
235,karłowaty,短小,adjectives,3.51
236,czysty,一塵不染,adjectives,5.15
237,zachmurzenie,預測,nouns,0.19
238,szczęśliwie,積極地,adverbs,0.71
239,nieśmiały,昂貴,adjectives,0.0
240,przestępstwo,違反,nouns,3.38
241,smutny,可怕,adjectives,0.19
242,zasługiwać,賺,verbs,0.64
243,sznurek,日落,nouns,0.0
244,wojownik,男人,nouns,1.15
245,frustracja,憤怒,nouns,4.37
246,kotwica,船,nouns,0.82
247,twardo,輕輕的,adverbs,0.04
248,wyznanie,否認,nouns,0.38
249,autor,讀者,nouns,0.18
250,czołg,汽車,nouns,0.56
251,poważnie,重要的,adverbs,3.15
252,parada,樂隊,nouns,0.33
253,mężczyzna,叔叔,nouns,1.98
254,łatwy,簡單,adjectives,5.53
255,nawalić,成功,verbs,0.0
256,wampir,蝙蝠,nouns,0.9
257,emocja,心情,nouns,3.59
258,przybywać,離開,verbs,0.0
259,katastrofa,死亡,nouns,1.5
260,ząb,嘴巴,nouns,0.72
261,wysypka,濕疹,nouns,3.31
262,swobodnie,容易地,adverbs,1.6
263,energia,電池,nouns,2.23
264,święto,日曆,nouns,0.82
265,dolina,凹地,nouns,2.02
266,odmawiać,拒絕,verbs,4.0
267,zwykły,難以置信,adjectives,0.05
268,inaczej,終末,adverbs,0.34
269,dziwny,普通,adjectives,0.04
270,cudzoziemiec,異族,nouns,4.58
271,atom,碳,nouns,1.33
272,mieszkanie,屋,nouns,4.49
273,praca,任務,nouns,3.09
274,mit,諷刺,nouns,1.18
275,informować,通知,verbs,5.58
276,odgrzewać,預熱,verbs,1.98
277,młotek,牙,nouns,0.04
278,wirus,血液,nouns,0.53
279,znany,好,adjectives,0.55
280,konieczny,重要,adjectives,3.69
281,tekst,書,nouns,1.5
282,ogłaszać,宣布,verbs,4.18
283,klejący,脏,adjectives,1.13
284,cyfra,細胞質,nouns,0.0
285,miły,開朗,adjectives,3.13
286,symbol,密碼,nouns,1.46
287,stracić,減去,verbs,1.97
288,pęcherz,插圖,nouns,0.04
289,burmistrz,首領,nouns,2.11
290,hymn,稻草,nouns,0.18
291,uszczypnąć,用拳猛擊,verbs,0.42
292,ostatnio,最近,adverbs,5.63
293,kłócić się,同意,verbs,0.0
294,telewizja,編劇,nouns,0.46
295,ofiara,電話,nouns,0.04
296,zbierać,獲得,verbs,1.44
297,chłopiec,米飯,nouns,0.04
298,obłąkany,開心,adjectives,0.5
299,zadanie,女人,nouns,0.04
300,smukły,瘦,adjectives,5.06
301,truskawka,櫻桃,nouns,2.47
302,pochówek,死亡,nouns,1.88
303,krokodyl,蜥蜴,nouns,1.65
304,świat,地球,nouns,4.29
305,ksiądz,預言家,nouns,0.38
306,polityk,總統,nouns,3.54
307,nienawidzić,批評,verbs,1.08
308,krowa,山羊,nouns,1.69
309,ukraść,獲得,verbs,0.63
310,niezły,平庸,adjectives,0.19
311,badać,調查,verbs,3.74
312,zadanie,工作,nouns,3.09
313,książka,主題,nouns,0.23
314,słoik,杯子,nouns,1.79
315,przysięgać,承諾,verbs,4.07
316,powóz,汽車,nouns,1.89
317,ignorować,問,verbs,0.0
318,dinozaur,大象,nouns,0.43
319,informacja,報紙,nouns,2.12
320,esej,功課,nouns,2.06
321,nawalić,使氣餒,verbs,0.18
322,wspinać się,遠足,verbs,0.86
323,rzeka,大海,nouns,1.79
324,radzić,建議,verbs,4.68
325,zadanie,高速公路,nouns,0.05
326,prosto,看來,adverbs,0.96
327,tłum ,遊行,nouns,1.54
328,gorączka,疾病,nouns,1.88
329,motyl,玫瑰,nouns,0.15
330,atak,犯罪,nouns,1.46
331,satyra,神話,nouns,1.18
332,bankructwo,失敗,nouns,1.75
333,upaść,傷害,verbs,0.33
334,więzienie,酒吧,nouns,0.2
335,bystry,醒目,adjectives,4.68
336,baseball,沙發,nouns,0.0
337,chleb,芝士,nouns,0.33
338,myśleć,嘗試,verbs,0.61
339,wesoły,開心,adjectives,4.8
340,temat ,故事,nouns,0.91
341,świetny,壞,adjectives,0.04
342,szeroki,窄小,adjectives,0.09
343,rak,疾病,nouns,3.82
344,ciało,手臂,nouns,1.16
345,słodki,電動,adjectives,0.0
346,zniknąć,消失,verbs,4.57
347,stracić,得到,verbs,0.04
348,bronchit,對乙酰氨基酚,nouns,0.25
349,pić,提高,verbs,0.1
350,pogorszyć się,抹,verbs,0.29
351,posiadłość,雕塑家,nouns,0.0
352,gwiazda,行星,nouns,2.0
353,obecnie,微妙地,adverbs,0.18
354,inteligencja,技巧,nouns,2.09
355,wybrzeże,海灘,nouns,3.56
356,samolot,機場,nouns,0.87
357,kapelusz,盒子,nouns,0.1
358,miesiąc,八月,nouns,2.28
359,podejrzany,男人,nouns,0.43
360,wycieczka,旅程,nouns,5.05
361,odchodzić,見面,verbs,0.0
362,czysty,亂,adjectives,0.09
363,płaszcz,衣服,nouns,2.48
364,ściana,磚,nouns,0.76
365,marzenie,天空,nouns,0.0
366,radzić,推介,verbs,3.2
367,dziecko,男孩子,nouns,2.93
368,bierny,暴力,adjectives,0.04
369,małpa,参加競選,nouns,0.09
370,anatomia,生物學,nouns,2.42
371,zaprzeczać,避免,verbs,0.34
372,miotła,灰塵,nouns,0.56
373,przerobić,更改,verbs,3.74
374,środowisko,劍,nouns,0.0
375,ostry,溫和,adjectives,0.0
376,zwyczajny,冷,adjectives,0.0
377,łatwowierny,蠢,adjectives,1.75
378,pudełko,帽子,nouns,0.1
379,smutno,感情上,adverbs,0.77
380,znacząco,正式地,adverbs,1.21
381,cielę,公牛,nouns,2.68
382,zabawka,立方體,nouns,0.14
383,pierścień,訂婚,nouns,0.98
384,optymistycznie,可能,adverbs,0.73
385,ostry,鈍,adjectives,0.09
386,babeczka,香芹,nouns,0.04
387,dysk,電腦,nouns,1.29
388,luźny,靈活,adjectives,1.29
389,arogancki,自豪,adjectives,2.65
390,odchodzić,等待,verbs,0.0
391,wyspa,半島,nouns,1.59
392,drzewo,楓樹,nouns,3.53
393,pewnie,有時,adverbs,0.0
394,duży,國民,adjectives,0.0
395,holować,電梯,verbs,0.92
396,służący,奴隸,nouns,3.7
397,kobieta,妻子,nouns,2.24
398,okrutny,不公平,adjectives,1.17
399,błagać,懇求,verbs,4.03
400,niegrzeczny,粗糙,adjectives,0.63
401,flet,音樂,nouns,1.13
402,ksiądz,僧侶,nouns,2.84
403,nieuczciwy,真實,adjectives,0.04
404,meble,公寓,nouns,0.48
405,modlić się,問,verbs,0.23
406,lampa,精靈,nouns,0.39
407,uczciwie,真誠地,adverbs,4.58
408,pojazd,巴士,nouns,2.79
409,niegrzeczny,噪,adjectives,0.73
410,żołądek,課程,nouns,0.0
411,dziecko,女孩,nouns,1.78
412,wujek,男人,nouns,1.98
413,zasłona,竿,nouns,0.14
414,szczęście,和平,nouns,2.37
415,iść,開始,verbs,0.0
416,irytować,對抗,verbs,0.33
417,mężczyźni,兄弟會,nouns,1.55
418,pocieszać,羞辱,verbs,0.0
419,bogactwo,名譽,nouns,0.62
420,tytoń,香煙,nouns,3.22
421,podłoga,屋頂,nouns,0.43
422,katedra,天花板,nouns,0.29
423,róg,鼓,nouns,0.53
424,powiesić,殺,verbs,2.58
425,spódnica,手錶,nouns,0.14
426,pojmać,模仿,verbs,0.0
427,robótka szydełkowa,制服,nouns,0.0
428,giętki,有彈性,adjectives,4.74
429,dżojstik,雷達,nouns,0.09
430,hardy,狡猾,adjectives,0.65
431,drukować,無視,verbs,0.0
432,społeczeństwo,文化,nouns,1.02
433,delta,海,nouns,0.77
434,dowiadywać się,需要,verbs,0.24
435,pewność siebie,自己,nouns,0.77
436,infekcja,感染,nouns,3.04
437,wycofywać się,離開,verbs,3.7
438,bateria,能量,nouns,2.23
439,dach,地板,nouns,0.43
440,drzwi,廚房,nouns,0.28
441,brat,兒子,nouns,0.86
442,tulić,擁抱,verbs,5.02
443,współbieżność,貨幣,nouns,0.0
444,dach,窗口,nouns,0.47
445,oponent,對手,nouns,5.28
446,usta,鼻子,nouns,0.43
447,szczęscie,悲傷,nouns,0.09
448,błyskotliwy,棒,adjectives,3.4
449,księżniczka,新娘,nouns,0.43
450,przyjazny,不會,adjectives,0.05
451,chwytać,攞,verbs,2.36
452,rozumieć,滿足,verbs,0.15
453,skłonność,意見,nouns,0.24
454,towarzysz,夥伴,nouns,3.84
455,marynarka,島,nouns,0.05
456,jawny,未公開,adjectives,0.09
457,pistolet,軍士,nouns,0.38
458,kolano,手臂,nouns,0.48
459,palec,手掌,nouns,1.48
460,sól,水,nouns,0.3
461,drzwi,窗,nouns,0.86
462,południe,北,nouns,0.73
463,udusić,擁抱,verbs,0.04
464,kot,獅子,nouns,2.12
465,zachować,保護,verbs,1.13
466,ruchomy,靈活,adjectives,2.11
467,białko,柄,nouns,0.04
468,księżniczka,島,nouns,0.0
469,student,老師,nouns,0.56
470,przyjaciel,母親,nouns,0.43
471,dziwaczny,正常,adjectives,0.09
472,narzekać,拗撬,verbs,0.84
473,wujek,表哥,nouns,1.38
474,burza,雪,nouns,0.81
475,ważny,關鍵,adjectives,4.79
476,zyskać,收割,verbs,1.44
477,opera,電影,nouns,2.02
478,wykonalny,不可能,adjectives,0.09
479,niewinny,自由,adjectives,0.55
480,melodia,節奏,nouns,2.74
481,metal,鋁,nouns,2.29
482,mięsień,手臂,nouns,0.93
483,matka,監護人,nouns,3.15
484,wymieszać,喝,verbs,0.1
485,bezpiecznie,小心地,adverbs,3.44
486,brew,眼睛,nouns,0.57
487,podbój,聖歌,nouns,0.0
488,płuco,肝,nouns,0.73
489,odejmować,失去,verbs,1.97
490,fasola,煙肉,nouns,0.2
491,szukać,徘徊,verbs,0.83
492,nauczyciel,學生,nouns,0.56
493,zasadniczo,充分,adverbs,0.96
494,zupełnie,基本上,adverbs,0.96
495,obcokrajowiec,翻譯者,nouns,0.34
496,zniechęcać,失敗,verbs,0.18
497,usposobienie,醫生,nouns,0.18
498,współczesny,古老,adjectives,0.09
499,ubrania,衣櫃,nouns,0.46
500,metr,碼,nouns,2.29
501,konwersacja,溝通,nouns,2.95
502,snowboard,滑雪,nouns,1.31
503,nerwowy,某些,adjectives,0.04
504,masło,土豆,nouns,0.24
505,pomagać,問,verbs,0.0
506,rakieta,球,nouns,0.46
507,miska,碟,nouns,2.73
508,pokrętny,靠不住的,adjectives,2.32
509,trzewia,神經,nouns,0.39
510,wymagać,查詢,verbs,0.24
511,braterstwo,棒球,nouns,0.14
512,strona,詞,nouns,0.63
513,ogród,軟管,nouns,0.29
514,nadzwyczajnie,奇怪地,adverbs,2.34
515,udawać,描繪,verbs,0.15
516,noga,手臂,nouns,0.53
517,biografia,小說,nouns,0.97
518,ogon,碗,nouns,0.0
519,święty,罪人,nouns,0.04
520,kibic,蟋蟀,nouns,0.24
521,zakładać,預測,verbs,4.07
522,praca domowa,文章,nouns,2.06
523,prawnik,銀行家,nouns,1.06
524,pieniądze,現金,nouns,5.34
525,perła,錢,nouns,0.33
526,kamera,續集,nouns,0.04
527,spotykać,游泳,verbs,0.04
528,zabić,防守,verbs,0.15
529,podłoga,門,nouns,0.38
530,rok,生日,nouns,0.8
531,biznes,公司,nouns,4.35
532,sufiks,詞綴,nouns,0.98
533,klasztor,沖涼,nouns,0.0
534,galaktyka,應用程式,nouns,0.0
535,skromny,謙遜,adjectives,4.63
536,nieużywany,新,adjectives,4.83
537,głośno,猛烈地,adverbs,1.17
538,orkiestra,樂隊,nouns,3.67
539,jaszczurka,蛇,nouns,0.71
540,przytulić,扼殺,verbs,0.04
541,tłumacz,外國人,nouns,0.34
542,krytyczny,無禮貌,adjectives,0.62
543,przestrzegać,懲罰,verbs,0.54
544,drzewo,船,nouns,0.15
545,słoń,指南針,nouns,0.04
546,wizerunek,主意,nouns,0.04
547,kierownictwo,工作,nouns,0.72
548,senat,憲法,nouns,0.91
549,pytać,幫忙,verbs,0.0
550,otwarcie,大規模,adverbs,0.38
551,słaby,強大,adjectives,0.04
552,piłka nożna,有趣,nouns,0.78
553,mechanicznie,理想地,adverbs,0.48
554,pora roku,冬天,nouns,2.98
555,dumnie,謙遜地,adverbs,0.24
556,filiżanka,錐形蛋筒,nouns,0.04
557,ludzie,槍,nouns,0.28
558,lokalnie,明顯地,adverbs,0.09
559,marginalnie,十足地,adverbs,0.15
560,żona,沖涼,nouns,0.04
561,słowo,頁,nouns,0.63
562,słoma,任務,nouns,0.0
563,neutralny,冷靜,adjectives,1.02
564,zimny,普通,adjectives,0.0
565,wiązać,編織,verbs,1.29
566,kobieta,牛仔褲,nouns,0.09
567,przywrócić,帶來,verbs,0.98
568,słownik,百科全書,nouns,2.23
569,adwokat,律師,nouns,4.47
570,wieżowiec,宮殿,nouns,0.64
571,menadżer,領導,nouns,3.55
572,szermierka,體操,nouns,0.68
573,źródło,盒子,nouns,0.04
574,kongres,議會,nouns,2.83
575,biedny,自豪,adjectives,0.1
576,mówić,承認,verbs,0.53
577,parlament,國會,nouns,2.83
578,opinia,偏壓,nouns,0.24
579,okazja,便士,nouns,0.14
580,nigdy,慷慨地,adverbs,0.04
581,odpowiedzialnie,獨立地,adverbs,1.04
582,pogardliwy,輕蔑,adjectives,3.71
583,prosty,彎曲,adjectives,0.14
584,sok,蘋果,nouns,0.67
585,warunek,協議,nouns,1.58
586,dzień,黎明,nouns,2.27
587,czasem,一致地,adverbs,0.04
588,rzadko,平時,adverbs,0.1
589,powietrze,分子,nouns,0.77
590,dom,地毯,nouns,0.33
591,zastępstwo,交換,nouns,3.59
592,kreatywny,創新,adjectives,4.28
593,nabyć,搵到,verbs,2.08
594,szczerze,認真地,adverbs,2.54
595,fałszywy,真實,adjectives,0.14
596,próbować,成功,verbs,0.14
597,pielęgniarka,科學家,nouns,0.04
598,gardło,鼻子,nouns,0.53
599,futro,女人,nouns,0.0
600,mnożyć,加,verbs,0.46
601,ptak,火雞,nouns,2.64
602,niewolnik,僕人,nouns,3.7
603,poważnie,真誠地,adverbs,2.54
604,niemądry,笨,adjectives,4.71
605,piłka nożna,英式足球,nouns,5.29
606,wybór,靜脈,nouns,0.04
607,ustalać,需要,verbs,0.34
608,pożyczać,賣,verbs,0.04
609,teatr,電影,nouns,1.54
610,teoria,假設,nouns,3.83
611,deszcz,薄霧,nouns,0.82
612,pogoda,雲,nouns,0.72
613,urodziny,年,nouns,0.8
614,edukować,學習,verbs,3.65
615,formuła,等式,nouns,3.47
616,ruszać,編織,verbs,0.0
617,stanowczo,冷靜地,adverbs,0.76
618,oczywiście,本地,adverbs,0.09
619,nabyć,加入,verbs,0.1
620,własna osoba,自信,nouns,0.77
621,gardło,舌頭,nouns,0.95
622,praca,工具,nouns,0.48
623,iglica,教堂,nouns,0.57
624,zespół,遊行,nouns,0.33
625,konieczny,不需要,adjectives,0.04
626,ganić,需求,verbs,0.7
627,zgadzać się,拗撬,verbs,0.0
628,naciskać,放開,verbs,0.09
629,łóżko,沙發,nouns,3.17
630,wskaźnik,幻灯片,nouns,0.14
631,karton,紙,nouns,3.02
632,śnieg,天氣,nouns,0.38
633,kamień,木,nouns,0.42
634,planeta,月亮,nouns,2.02
635,stopa,沙漠,nouns,0.04
636,głęboko,大多,adverbs,0.41
637,prezydent,相機,nouns,0.0
638,słońce,天空,nouns,1.1
639,szczęśliwy,高興,adjectives,5.03
640,balon,沖涼,nouns,0.0
641,bronić,殺,verbs,0.15
642,regularny,無知,adjectives,0.04
643,indyk,鳥,nouns,2.64
644,rolnictwo,植物,nouns,0.66
645,kontynuacja,相機,nouns,0.04
646,zmierzch,傍晚,nouns,4.71
647,węgiel,木炭,nouns,3.63
648,silnie,正式,adverbs,0.67
649,posiąść,攞,verbs,2.51
650,ratować,救援,verbs,5.48
651,robotnik,相機,nouns,0.33
652,pracownik,僱主,nouns,0.68
653,hojny,友善,adjectives,1.64
654,zawstydzony,謙虛,adjectives,0.83
655,muzyka,旋律,nouns,3.36
656,liść,樹,nouns,0.71
657,obszar,地帶,nouns,4.7
658,niemądry,孩子氣,adjectives,2.33
659,kino,爆谷,nouns,0.52
660,ukazywać,模仿,verbs,0.6
661,opowieść,書,nouns,2.75
662,tępy,蠢,adjectives,5.38
663,żołądek,身體,nouns,1.68
664,most,汽車,nouns,0.14
665,hol,走廊,nouns,4.75
666,dusza,兄弟,nouns,0.15
667,owca,牛,nouns,1.6
668,tłumić,宣佈放棄,verbs,0.94
669,opiekun,成人,nouns,2.87
670,mechanik,工人,nouns,2.06
671,kwestarz,事件,nouns,0.58
672,przeciwnik,對手,nouns,5.28
673,przytulić,保持,verbs,0.5
674,kaplica,尖頂,nouns,0.57
675,gimnastyka,擊劍,nouns,0.68
676,tępy,稀罕,adjectives,0.14
677,długi,短,adjectives,0.14
678,olej,貂,nouns,0.04
679,wystraszony,興奮,adjectives,0.43
680,dżin,燈,nouns,0.39
681,notatka,作業,nouns,0.53
682,chronić,幫助,verbs,2.62
683,kampus,大學,nouns,2.83
684,tenis,統計資料,nouns,0.05
685,zaprzeczać,給予,verbs,0.0
686,jechać,停,verbs,0.04
687,zapominać,無視,verbs,1.93
688,rząd,蜥蜴,nouns,0.04
689,płot,跳躍,nouns,0.1
690,chronić,冚住,verbs,1.42
691,niegrzeczny,批評,adjectives,0.62
692,mnóstwo,豐富,nouns,4.07
693,w domu,在別處,adverbs,0.09
694,piękno,十四行詩,nouns,0.1
695,nabyć,取得,verbs,4.47
696,mrówka,蒼蠅,nouns,1.01
697,parada,人群,nouns,1.54
698,giętki,謙虛,adjectives,0.14
699,mięso,三明治,nouns,0.09
700,piosenkarz,合唱,nouns,0.46
701,samolot,噴射機,nouns,3.73
702,absorbować,退出,verbs,0.04
703,pieniądze,鑽石,nouns,0.66
704,wybierać,選擇,verbs,4.88
705,zupa,晚餐,nouns,1.39
706,walnąć,捏,verbs,0.42
707,prawdopodobnie,也許,adverbs,4.25
708,aparat,鏡片,nouns,0.71
709,bystry,笨,adjectives,0.04
710,klacz,馬,nouns,3.33
711,len,布,nouns,3.56
712,nepotyzm,國王,nouns,0.39
713,rutynowo,一般,adverbs,3.71
714,ser,麵包,nouns,0.33
715,ramię,手腕,nouns,0.86
716,mianowanie,訂婚,nouns,1.0
717,żyła,選擇,nouns,0.04
718,lawina,雪,nouns,2.23
719,lemma,音節,nouns,0.6
720,notatka,付款,nouns,0.28
721,muzeum,薄荷,nouns,0.1
722,przebiegły,奇怪,adjectives,0.41
723,facet,女孩,nouns,0.32
724,teatr,電池,nouns,0.09
725,ogon,懸崖,nouns,0.04
726,dumny,貧窮,adjectives,0.1
727,pasywnie,可靠地,adverbs,0.1
728,pochować,死,verbs,1.15
729,gospoda,汽車旅館,nouns,2.21
730,szczęśliwy,嬲,adjectives,0.18
731,manuskrypt,文章,nouns,1.73
732,dziwny,怪誕,adjectives,4.43
733,zwięrzę domowe,貓,nouns,2.96
734,rezygnować,開始,verbs,0.04
735,dać,收到,verbs,0.38
736,chłopiec,小孩,nouns,2.93
737,biegać,騎,verbs,0.19
738,negocjacja,外交,nouns,2.38
