ID,CYM,SPA,PoS,score
148,tynnu'n ôl,rechazar,verbs,1.7
149,mynachlog,ducha,nouns,0.0
150,deall,leer,verbs,1.1
151,dal,imitar,verbs,0.2
152,darn,aeropuerto,nouns,0.0
153,pechadur,smo,nouns,0.35
154,yn falch,humildemente,adverbs,0.1
155,coeden,hoja,nouns,1.35
156,degawd,era,nouns,1.95
157,dadlau,justificar,verbs,0.75
158,hyrwyddo,avanzar,verbs,2.2
159,casglu,reunir,verbs,3.7
160,rheolaeth,administración,nouns,2.85
161,yn arbennig,significativamente,adverbs,1.9
162,duw,diablo,nouns,0.7
163,niwl,nube,nouns,3.05
164,crensian,chasquear,verbs,1.8
165,cynghori,sugerir,verbs,3.4
166,trallod,desesperación,nouns,2.8
167,bwriad,será,nouns,1.85
168,deigryn,ojo,nouns,0.95
169,pen,hombro,nouns,1.2
170,diffiniad,diccionario,nouns,2.2
171,dal,perseguir,verbs,1.2
172,beic,piel,nouns,0.2
173,pennod,elección,nouns,0.25
174,llinyn,cable,nouns,2.1
175,rheoli,ratón,nouns,0.0
176,lledaenu,manchar,verbs,0.25
177,tudalen,palabra,nouns,0.65
178,anobaith,miseria,nouns,2.8
179,noswaith,oscuridad,nouns,3.2
180,penderfynu,pensar,verbs,1.75
181,syml,duro,adjectives,0.1
182,holi,buscar,verbs,0.95
183,hawdd,duro,adjectives,0.1
184,dinas,pueblo,nouns,2.65
185,alcohol,whisky,nouns,2.05
186,lifft,coche,nouns,0.25
187,anwybyddu,salir,verbs,0.65
188,dewis,elección,nouns,3.55
189,gwalch,pájaro,nouns,2.2
190,soned,belleza,nouns,0.4
191,te,limón,nouns,0.6
192,yn onest,fielmente,adverbs,2.3
193,teclyn,maceta,nouns,0.15
194,awyren,hoja,nouns,0.0
195,creulon,injusto,adjectives,1.85
196,ewin,cabeza,nouns,0.3
197,gêm,divertido,nouns,1.15
198,twrci,gallina,nouns,1.4
199,cerdded,estar,verbs,0.55
200,dimai,esposa,nouns,0.2
201,hyll,crudo,adjectives,0.3
202,difeddiannu,negar,verbs,0.9
203,anarferol,único,adjectives,4.0
204,diweddar,nuevo,adjectives,3.5
205,danfon,traer,verbs,1.1
206,tuedd,opinión,nouns,2.2
207,caled,denso,adjectives,1.3
208,gwerthuso,aprender,verbs,0.75
209,yn annaturiol,naturalmente,adverbs,0.1
210,môr,tsunami,nouns,1.7
211,gwerthuso,analizar,verbs,4.25
212,reidio,correr,verbs,0.25
213,aflonyddu,susto,verbs,0.85
214,corwynt,tormenta,nouns,3.15
215,treisgar,pasivo,adjectives,0.1
216,cyhuddo,juzgar,verbs,2.8
217,coginio,perder,verbs,0.05
218,hyll,sucio,adjectives,0.95
219,amgylchedd,espada,nouns,0.05
220,amlwg,perceptible,adjectives,3.55
221,papur newydd,palabra,nouns,0.85
222,gêm,truco,nouns,1.5
223,pobl,pistola,nouns,0.1
224,taclus,limpiar,adjectives,1.7
225,cymeryd,recibir,verbs,3.35
226,yn hapus,sin peligro,adverbs,0.3
227,beichio,llorar,verbs,3.95
228,yn ddwfn,significativamente,adverbs,1.8
229,rhwygo,vestir,verbs,0.0
230,yn bennaf,profundamente,adverbs,0.85
231,cyrnol,dentista,nouns,0.15
232,afon,mar,nouns,1.8
233,yn agored i niwed,fácil,adjectives,0.65
234,ceg,nariz,nouns,0.75
235,incwm,impuesto,nouns,0.65
236,dechrau,dejar,verbs,0.1
237,gwastraffu,preocuparse,verbs,0.05
238,pobi,freír,verbs,1.35
239,aflonydd,joven,adjectives,0.25
240,creu,dibujar,verbs,0.75
241,cosbi,golpear,verbs,1.1
242,cot,sombrero,nouns,0.85
243,anifail,bestia,nouns,3.6
244,gwybod,olvidar,verbs,0.15
245,blwch,cabina,nouns,0.65
246,asgwrn,rodilla,nouns,1.3
247,nerthol,potente,adjectives,4.2
248,ynys,princesa,nouns,0.05
249,dewis,capítulo,nouns,0.25
250,dwyn,adquirir,verbs,0.85
251,polyester,algodón,nouns,1.45
252,senedd,congreso,nouns,3.0
253,ffonoleg,pantalla,nouns,0.05
254,yn nerfus,ansiosamente,adverbs,3.75
255,brenin,regla,nouns,0.45
256,athro,ayudante,nouns,1.6
257,stumog,cuerpo,nouns,1.4
258,dillad,cajón,nouns,0.95
259,traddodiad,artesanía,nouns,0.8
260,yn berffaith,verdaderamente,adverbs,0.85
261,pen-glin,brazo,nouns,0.6
262,colli,obtener,verbs,0.15
263,penwythnos,semana,nouns,1.9
264,rhuthro,darse prisa,verbs,5.55
265,dadl,acuerdo,nouns,0.65
266,stori,libro,nouns,1.55
267,ystafell,cama,nouns,0.8
268,bacwn,desayuno,nouns,0.5
269,cinio,desayuno,nouns,1.15
270,gwneud,crear,verbs,4.25
271,gwasgu,agarrar,verbs,2.35
272,arloeswr,arquero,nouns,0.45
273,taith,conquista,nouns,0.6
274,meteor,gravedad,nouns,1.0
275,portreadu,imitar,verbs,2.45
276,anwybyddu,olvidar,verbs,1.7
277,ifanc,feliz,adjectives,0.2
278,yn hyderus,secretamente,adverbs,0.7
279,goresgyn,dominar,verbs,2.85
280,cab,autobús,nouns,1.4
281,anghyfrifol,inmaduro,adjectives,2.5
282,blanced,vendaval,nouns,0.05
283,wedi cyffroi,asustado,adjectives,1.35
284,rhannu,despegar,verbs,1.15
285,cyfuno,mezcla,verbs,3.85
286,moesol,leyenda,nouns,0.5
287,cerddoriaeth,flauta,nouns,1.45
288,plasty,escultor,nouns,0.5
289,llygoden,gato,nouns,0.55
290,swper,desayuno,nouns,0.9
291,deallusrwydd,lógica,nouns,2.7
292,cas,programa informático,nouns,0.3
293,swil,costoso,adjectives,0.2
294,deilen,planta de semilla,nouns,1.35
295,blanced,madera,nouns,0.05
296,diymadferth,necesitado,adjectives,1.05
297,dwywaith,múltiple,adverbs,0.9
298,llymeitio,tragar,verbs,2.15
299,hyblyg,móvil,adjectives,2.0
300,deffro,roncar,verbs,0.15
301,chwilio,deambular,verbs,1.35
302,stoc,activo,nouns,3.0
303,afioneg,aeronáutica,nouns,3.7
304,trin,paga,verbs,0.1
305,cig,filete,nouns,3.35
306,theatr,película,nouns,0.95
307,dysgu,escuchar,verbs,0.8
308,disg,cargador,nouns,0.2
309,tröedigaeth,altitud,nouns,0.35
310,mynydd,repisa,nouns,0.2
311,trosedd,robo,nouns,2.55
312,cwmwl,neblina,nouns,3.05
313,artist,obra de arte,nouns,1.45
314,ar frys,con rapidez,adverbs,4.65
315,cyfnewid,reemplazo,nouns,3.05
316,gwych,encantador,adjectives,3.05
317,olew,visón,nouns,0.05
318,anwybyddu,pedir,verbs,0.1
319,cyrchwr,patatas fritas,nouns,0.0
320,dwywaith,siempre,adverbs,0.25
321,arall,opuesto,adjectives,1.05
322,llygredd,presidente,nouns,0.25
323,llywodraeth,lagartija,nouns,0.0
324,penodi,elegir,verbs,3.2
325,daeargryn,temblor,nouns,3.8
326,gwellt,himno,nouns,0.05
327,ynys,playa,nouns,1.5
328,car,manguera,nouns,0.15
329,da,picante,adjectives,0.0
330,pwysig,necesario,adjectives,3.35
331,hyblyg,grande,adjectives,0.1
332,yn aeddfed,inteligentemente,adverbs,1.05
333,heddwch,soldado,nouns,0.25
334,corff,estómago,nouns,1.4
335,anghwrtais,crudo,adjectives,0.9
336,peiriant,motor,nouns,3.3
337,stopio,conducir,verbs,0.35
338,doniol,triste,adjectives,0.05
339,anghofio,recordar,verbs,0.1
340,môr,delta,nouns,1.2
341,stori,lápiz,nouns,0.55
342,llynges,ejército,nouns,4.15
343,niwroseicoleg,parasicología,nouns,1.55
344,pumed,parte superior,adjectives,0.05
345,brenin,princesa,nouns,1.35
346,coleg,profesión,nouns,0.65
347,diflas,gracioso,adjectives,0.1
348,lemwn,té,nouns,0.6
349,ergydio,perder,verbs,0.15
350,cymdeithas,club,nouns,3.15
351,alwminiwm,metal,nouns,2.3
352,eirlithriad,nieve,nouns,1.4
353,am ddim,inocente,adjectives,0.05
354,gwirio,decir,verbs,0.55
355,dysgu,evaluar,verbs,0.75
356,llafn,hierba,nouns,0.35
357,cwpan,tarro,nouns,1.8
358,cyfoeth,pobreza,nouns,0.3
359,dŵr,sequía,nouns,0.55
360,styden,chico,nouns,0.6
361,caniau,botella,nouns,0.0
362,alcohol,cóctel,nouns,2.05
363,trefn,menú,nouns,0.7
364,trwm,cargado,adjectives,3.4
365,rhoi,recibir,verbs,0.2
366,casglu,salvar,verbs,1.25
367,cotwm,suéter,nouns,0.5
368,llawr,techo,nouns,0.7
369,pryd bynnag,a veces,adverbs,0.65
370,lluosi,dividir,verbs,0.65
371,doler,millonario,nouns,0.9
372,glaw,granizo,nouns,1.6
373,mab,padre,nouns,1.25
374,tlodi,riqueza,nouns,0.3
375,yn fras,ligeramente,adverbs,0.2
376,pwysig,crucial,adjectives,4.25
377,barn,idea,nouns,3.3
378,mab,hermano,nouns,0.95
379,gweddïo,comunicar,verbs,0.7
380,asetylocolin,iris,nouns,0.2
381,byth,honestamente,adverbs,0.1
382,yn gyfiawn,maduro,adverbs,0.85
383,gwrthod,dar,verbs,0.05
384,mwstard,semilla,nouns,1.05
385,band,espíritu,nouns,0.25
386,seryddwr,galaxia,nouns,0.95
387,calendr,fecha,nouns,1.85
388,brwydr,beligerancia,nouns,2.7
389,tybio,predecir,verbs,1.95
390,disgleirio,irradiar,verbs,4.4
391,byr,largo,adjectives,0.15
392,cyfansoddiad,senado,nouns,1.15
393,cau,vomitar,verbs,0.0
394,anghefnogi,enfadar,verbs,0.7
395,allwedd,candado,nouns,1.75
396,ton,clima,nouns,0.3
397,creu,hacer,verbs,4.25
398,oedran,belleza,nouns,0.45
399,bwystfil,animal,nouns,3.6
400,ecosystem,economía,nouns,0.25
401,cymysg,conjunto,adjectives,2.65
402,ebol,caballo,nouns,3.35
403,dinistrio,construir,verbs,0.15
404,yn gadarn,tranquilamente,adverbs,1.0
405,pobl,partido,nouns,0.9
406,ysgafn,agudo,adjectives,0.3
407,llyfr,ensayo,nouns,1.1
408,pen,nariz,nouns,0.9
409,ennill,tener éxito,verbs,3.6
410,diymhongar,puro,adjectives,0.95
411,gweddïo,pedir,verbs,1.45
412,canlyn,investigar,verbs,0.6
413,ffrind,madre,nouns,0.75
414,post,velocidad,nouns,0.2
415,gwych,horrible,adjectives,0.1
416,calendr,vacaciones,nouns,0.95
417,taro,atraer,verbs,0.05
418,yn afreolaidd,generalmente,adverbs,0.35
419,canon,pistola,nouns,1.8
420,seren,asteroide,nouns,2.35
421,milwr,niño,nouns,0.4
422,yn ddelfrydol,de modo realista,adverbs,0.8
423,benthyg,deber,verbs,1.2
424,awyr,sol,nouns,0.85
425,beic,coche,nouns,0.85
426,llyn,pantano,nouns,2.05
427,prynu,robar,verbs,0.15
428,troed,base,nouns,1.7
429,newyddion,editorial,nouns,1.25
430,cerflunydd,palacio,nouns,0.5
431,ffôl,infantil,adjectives,2.15
432,dant,boca,nouns,1.25
433,tywod,pie,nouns,0.25
434,brecwast,tocino,nouns,0.5
435,euog,honesto,adjectives,0.1
436,diafol,dios,nouns,0.7
437,cot,ropa,nouns,1.5
438,matrics,vector,nouns,1.6
439,corff,nervio,nouns,0.4
440,arae,lista,nouns,0.7
441,rhodio,deambular,verbs,4.55
442,adnewid,cambiar,verbs,3.45
443,anwybodus,regular,adjectives,0.0
444,creu,imaginar,verbs,1.05
445,diddanu,complacer,verbs,1.8
446,cyffredin,frío,adjectives,0.05
447,baner,vexilología,nouns,0.95
448,gwehyddu,movimiento,verbs,0.15
449,bachgen,arroz,nouns,0.0
450,testun,libro,nouns,1.75
451,yn ofalus,actualmente,adverbs,0.0
452,llwybr,túnel,nouns,1.7
453,hapus,enojado,adjectives,0.15
454,anadlu,ahogarse,verbs,0.8
455,baled,canción,nouns,4.05
456,cyfiawnhau,discutir,verbs,0.75
457,drysu,aprender,verbs,0.1
458,braich,hombro,nouns,1.45
459,rhewi,temblar,verbs,1.3
460,tywynnu,brillar,verbs,4.4
461,benthyg,mendigar,verbs,1.0
462,duw,padre,nouns,2.05
463,yn enfawr,abiertamente,adverbs,0.4
464,siriol,encantador,adjectives,2.8
465,amaethyddiaeth,monocultivo,nouns,0.8
466,tenis,estadística,nouns,0.25
467,egluro,discutir,verbs,1.45
468,hyfryd,alegre,adjectives,2.8
469,ffens,saltando,nouns,0.2
470,personol,privado,adjectives,3.95
471,afal,jugo,nouns,0.95
472,alcohol,vino,nouns,1.85
473,hurt,inteligente,adjectives,0.1
474,pobl,centavo,nouns,0.05
475,eira,clima,nouns,1.0
476,enfawr,grande,adjectives,4.4
477,delta,mar,nouns,1.2
478,teithio,ir,verbs,2.55
479,anghytuno,luchar,verbs,0.95
480,digartref,multimillonario,nouns,0.15
481,tun,aluminio,nouns,1.6
482,glaswellt,espada,nouns,0.35
483,heulwen,manzana,nouns,0.25
484,haf,invierno,nouns,0.7
485,canlyn,persuadir,verbs,0.4
486,anonest,malo,adjectives,1.6
487,parth,área,nouns,5.3
488,braf,cruel,adjectives,0.05
489,yn realistig,idealmente,adverbs,0.8
490,asgwrn cefn,cuello,nouns,0.7
491,cadach,ropa,nouns,1.25
492,mis,agosto,nouns,2.6
493,casáu,criticar,verbs,0.95
494,brwydro,discrepar,verbs,0.95
495,iâ,nieve,nouns,3.05
496,yn weithredol,felizmente,adverbs,0.05
497,aseiniad,nota,nouns,0.65
498,bwlch,cigarro,nouns,0.35
499,corff,ropa interior,nouns,0.4
500,dodrefn,apartamento,nouns,0.55
501,crwm,derecho,adjectives,0.2
502,trwyn,cabeza,nouns,0.9
503,dinistr,construcción,nouns,0.2
504,yn ddibynadwy,pasivamente,adverbs,0.1
505,glo,carboncillo,nouns,2.75
506,siwmper,algodón,nouns,0.5
507,gwybodaeth,periódico,nouns,1.55
508,cadw,dar,verbs,0.4
509,alcohol,brandy,nouns,2.05
510,gwin,brandy,nouns,1.35
511,harbwr,envoltura,nouns,0.05
512,alcohol,ginebra,nouns,2.15
513,cychwyn,comenzar,verbs,5.85
514,pryd bwyd,cena,nouns,3.45
515,acwsteg,sonido,nouns,3.35
516,brawd,niño,nouns,1.65
517,ffrio,hornear,verbs,1.35
518,lleihau,restringir,verbs,2.8
519,ffenestr,tobillo,nouns,0.05
520,bardd,periodista,nouns,0.65
521,dyn,centinela,nouns,0.75
522,cyfreithiwr,abogado,nouns,4.45
523,dygnwch,banda,nouns,0.05
524,addysgu,enseñar,verbs,4.4
525,heno,mañana,adverbs,0.4
526,dwywaith,una vez,adverbs,0.55
527,arf,casco,nouns,1.1
528,salad,vinagre,nouns,0.75
529,plentynaidd,tonto,adjectives,2.15
530,gwely,manta,nouns,1.1
531,yn garedig,suavemente,adverbs,1.45
532,cyfreithlon,ilegal,adjectives,0.15
533,lwcus,avergonzado,adjectives,0.0
534,trydan,caso,nouns,0.0
535,cwmpawd,elefante,nouns,0.05
536,yn amlwg,discretamente,adverbs,0.2
537,menyw,secretario,nouns,0.35
538,blaengau,esforzarse,verbs,0.5
539,gwario,salvar,verbs,0.1
540,corn,tambor,nouns,0.5
541,hynafol,nuevo,adjectives,0.1
542,corfforaeth,negocio,nouns,2.25
543,llawysgrif,artículo,nouns,1.55
544,tasg,cañita,nouns,0.05
545,car,taxi,nouns,3.95
546,raced,pelota,nouns,1.1
547,cwch,ancla,nouns,1.0
548,modryb,sobrino,nouns,0.75
549,mosäig,basílica,nouns,0.55
550,cyfeillgar,generoso,adjectives,1.65
551,llyfr,literatura,nouns,2.3
552,car,calibre,nouns,0.25
553,rhedeg,montar,verbs,0.25
554,gwasgu,lanzar,verbs,0.15
555,braich,hueso,nouns,1.25
556,tŷ,llave,nouns,0.45
557,polyn,bandera,nouns,0.5
558,cyfieithydd,extranjero,nouns,0.4
559,diflannu,encontrar,verbs,0.2
560,ffilm,nihilismo,nouns,0.1
561,cig,tocino,nouns,2.1
562,ffenestr,puerta,nouns,0.85
563,yn aml,raramente,adverbs,0.45
564,llyfr nodiadau,ordenador portátil,nouns,0.55
565,gwn,amanecer,nouns,0.0
566,cael,adquirir,verbs,3.85
567,ffasiwn,estilo,nouns,4.4
568,da,conocido,adjectives,0.2
569,lansio,enviar,verbs,1.65
570,cwpan,cuchara,nouns,1.1
571,bioleg gymdeithasol,mutante,nouns,0.3
572,anghwrtais,agresivo,adjectives,1.8
573,ras,fin de semana,nouns,0.0
574,tad,hermano,nouns,0.7
575,atwrnai,licenciado en derecho,nouns,4.45
576,gwydn,astuto,adjectives,0.15
577,sy'n dod i mewn,saliente,adjectives,0.1
578,aloi,acero,nouns,1.8
579,ffenestr,nube,nouns,0.35
580,meddwl,cerebro,nouns,3.85
581,pobl,globo,nouns,0.25
582,dibynnu,fallar,verbs,0.25
583,gwerddon,libertad,nouns,0.45
584,braisg,grande,adjectives,3.25
585,ffurfdroad,infección,nouns,0.1
586,ffres,amplio,adjectives,0.1
587,trwyn,boca,nouns,0.75
588,ennill,hacer,verbs,0.25
589,ffidil,guitarra,nouns,0.75
590,tafod,mejilla,nouns,0.55
591,llwythog,pesado,adjectives,3.4
592,ar ôl,antes de,adverbs,0.1
593,llywydd,alumno,nouns,0.15
594,metr,yarda,nouns,1.65
595,mynychu,llegar,verbs,1.6
596,arogli,mimar,verbs,0.0
597,rhad,asequible,adjectives,4.8
598,dod â,enviar,verbs,1.1
599,yn garedig,generosamente,adverbs,3.1
600,lluosiad,división,nouns,0.65
601,gwrthod,aceptar,verbs,0.1
602,gwleidydd,policía,nouns,0.3
603,bàth,globo,nouns,0.05
604,buwch,cabra,nouns,1.25
605,sain,acústica,nouns,3.35
606,bargen,centavo,nouns,0.6
607,anniben,limpiar,adjectives,0.45
608,priodi,involucrarse,verbs,1.0
609,llwch,escoba,nouns,0.55
610,codi arian,desarrollo,nouns,0.6
611,drwm,cuerno,nouns,0.5
612,rhythm,aritmética,nouns,0.45
613,dug,república,nouns,0.15
614,hysteria,confusión,nouns,1.8
615,gardd,manguera,nouns,0.25
616,symbol,criptograma,nouns,2.5
617,cystrawen,palabra principal,nouns,0.6
618,ffatri,coche,nouns,0.25
619,dirprwy,oficial,nouns,1.2
620,stopio,silbar,verbs,0.3
621,ffrio,cocinar,verbs,2.4
622,ceg,diente,nouns,1.25
623,diogel,legal,adjectives,1.15
624,stumog,vena,nouns,0.35
625,modfedd,metro,nouns,1.15
626,caws,un pan,nouns,0.5
627,erlynydd,abogado,nouns,2.7
628,hawdd,difícil,adjectives,0.1
629,brwydro,matar,verbs,0.7
630,marwolaeth,entierro,nouns,1.45
631,siaced,suéter,nouns,2.2
632,newydd,fresco,adjectives,4.0
633,darganfod,originar,verbs,0.95
634,cul,sucio,adjectives,0.0
635,angor,bote,nouns,1.0
636,sylweddoli,descubrir,verbs,4.15
637,dewis,vena,nouns,0.0
638,fector,matriz,nouns,1.6
639,dal,capturar,verbs,3.3
640,taliad,moneda,nouns,1.4
641,meddwl,decidir,verbs,1.75
642,offeiriad,monje,nouns,2.65
643,modern,antiguo,adjectives,0.1
644,nod,búsqueda,nouns,1.65
645,ystafell,bañera,nouns,0.55
646,cyfarch,realizar,verbs,0.15
647,cuddwisgo,cubrir,verbs,1.65
648,nerf,cerebro,nouns,0.95
649,handlen,proteína,nouns,0.15
650,hyfforddwyr,medalla,nouns,0.25
651,bàth,truco,nouns,0.0
652,sobr,racional,adjectives,1.35
653,cegin,baño,nouns,0.75
654,gair,literatura,nouns,1.85
655,yn lleol,obviamente,adverbs,0.0
656,uno,dividir,verbs,0.15
657,cyfansoddiad,emperador,nouns,0.65
658,dod yn,aparecer,verbs,1.1
659,gwraig,cañita,nouns,0.15
660,eglwys,catedral,nouns,3.9
661,gêm,acción,nouns,0.8
662,noswaith,puesta de sol,nouns,2.15
663,angerdd,emoción,nouns,3.55
664,hollalluogrwydd,supremacía,nouns,2.45
665,deallus,tonto,adjectives,0.3
666,dadl,crítica,nouns,2.2
667,nodyn,pago,nouns,0.4
668,cerddoriaeth,melodía,nouns,3.55
669,busnes,empresa,nouns,4.2
670,arbed,rescatar,verbs,5.1
671,hen,fresco,adjectives,0.0
672,sgleinio,informar,verbs,0.0
673,bygythiad,peligro,nouns,3.95
674,niwrosis,mente,nouns,1.35
675,cludo,entregar,verbs,2.85
676,theori,teorema,nouns,3.65
677,ci,gato,nouns,0.9
678,cydymaith,compañero,nouns,4.3
679,rheilffordd,cerca,nouns,0.45
680,bwydlen,orden,nouns,0.7
681,yn oddefol,seguramente,adverbs,0.1
682,yn hysbys,bien,adjectives,0.2
683,yn fras,aproximadamente,adverbs,0.4
684,tywysoges,isla,nouns,0.05
685,harddwch,soneto,nouns,0.4
686,awdur,regalo,nouns,0.05
687,cadw,conservar,verbs,4.8
688,rhoi,saber,verbs,0.25
689,dyn,guerrero,nouns,0.6
690,yn sylfaenol,completamente,adverbs,0.7
691,tâl,pago,nouns,4.5
692,dechrau,empezar,verbs,5.85
693,dweud celwydd,acusar,verbs,0.55
694,carped,casa,nouns,0.3
695,siart,grafico,nouns,4.8
696,balchder,pobre,adjectives,0.15
697,amlen,decoración,nouns,0.05
698,doler,gente,nouns,0.05
699,ennill,recoger,verbs,0.55
700,yn ansicr,asustado,adjectives,2.05
701,ymerawdwr,gobernador,nouns,2.65
702,encilio,salir,verbs,2.9
703,dysgu,olvidar,verbs,0.2
704,treisgar,suave,adjectives,0.1
705,gwanwyn,géiser,nouns,0.3
706,protestaniaid,cristiano,nouns,1.1
707,cyfaill,acompañante,nouns,4.3
708,awyrgylch,contaminación,nouns,1.25
709,digwyddiad codi arian,evento,nouns,2.3
710,cyfathrebu,conversacion,nouns,3.65
711,archwilio,descubrir,verbs,2.6
712,cymysgu,cocinar,verbs,0.95
713,yn ddarostyngedig,orgullosamente,adverbs,0.1
714,rinsio,lavar,verbs,3.35
715,aderyn,gallina,nouns,2.05
716,sefyll,caminar,verbs,0.55
717,golygyddol,noticias,nouns,1.25
718,calon,cirugía,nouns,0.6
719,plisman,copiloto,nouns,0.2
720,pwerus,débiles,adjectives,0.15
721,prin,nunca,adverbs,2.55
722,dosbarthu,tomar,verbs,0.6
