ID,FRA,HEB,PoS,score
54,typhon,ציקלון,nouns,4.7
55,situation,מצב,nouns,5.1
56,femme,חור,nouns,0.1
57,adjoint,קצין,nouns,2.3
58,débattre,להצדיק,verbs,2.1
59,impuissant,פגיע,adjectives,3.35
60,bizarre,מוזר,adjectives,5.55
61,voler,לרכוש,verbs,1.65
62,choix,פרק,nouns,0.5
63,globalisation,ויזה,nouns,0.95
64,prophète,כומר,nouns,2.15
65,chercher,למצוא,verbs,2.1
66,décider,לתאר,verbs,0.95
67,grossier,רועש,adjectives,1.1
68,âme,אח,nouns,0.4
69,facilement,בנוחיות,adverbs,1.65
70,terrifiant,משוגע,adjectives,0.85
71,serpent,לטאה,nouns,2.55
72,douche,מנזר,nouns,0.1
73,séparer,לחבר,verbs,1.25
74,sûr,בטוח,adjectives,5.6
75,docteur,אורתודונט,nouns,3.05
76,cuisiner,לערבב,verbs,1.85
77,partir,להישאר,verbs,1.35
78,fraternité,בייסבול,nouns,0.45
79,facile,מורכב,adjectives,1.3
80,boîte,סיגר,nouns,1.05
81,employé,מעסיק,nouns,2.25
82,prendre,לעזוב,verbs,1.0
83,vache,בקר,nouns,4.0
84,honte,צער,nouns,1.75
85,biotope,ביולוגיה,nouns,1.85
86,fraise,דובדבן,nouns,2.4
87,choisir,להצביע,verbs,4.05
88,solitaire,מסכן,adjectives,1.25
89,content,שמח,adjectives,5.3
90,peut-être,אפשרי,adverbs,5.0
91,mère,שומרת,nouns,0.9
92,acquérir,לגנוב,verbs,1.65
93,mentir,להאשים,verbs,0.9
94,flèche,מטרה,nouns,2.05
95,balle,מחבט,nouns,1.8
96,actuellement,בעדינות,adverbs,0.15
97,lampe,שד,nouns,1.4
98,protéine,ידית,nouns,0.1
99,mot,רמז,nouns,1.15
100,nombre,ספרה,nouns,5.2
101,éclaboussure,צמיגות,nouns,0.55
102,chef,מנהל,nouns,3.9
103,beauté,גיל,nouns,1.1
104,facile,פגיע,adjectives,0.6
105,aller,להתחיל,verbs,0.8
106,prêtre,נזיר,nouns,4.3
107,affiche,נייר,nouns,2.9
108,paquet,משאית,nouns,0.45
109,pont,סירה,nouns,1.7
110,épaule,זרוע,nouns,2.4
111,molécule,מטריצה,nouns,0.3
112,chat,כלב,nouns,2.0
113,riz,ילד,nouns,0.25
114,acheter,לגנוב,verbs,1.15
115,mort,קבורה,nouns,2.8
116,rythme,חשבון,nouns,0.2
117,nerveux,מפוחד,adjectives,1.35
118,cuit,מורתח,adjectives,3.55
119,mélanger,לרכב,verbs,0.5
120,aviation,טיסה,nouns,2.85
121,chagrin,ייסורים,nouns,2.9
122,national,מוכר,adjectives,1.4
123,fortuit,בלתי צפוי,adjectives,5.7
124,organiser,להפוך,verbs,0.7
125,lycée,כיתה,nouns,2.15
126,lit,כיסא,nouns,1.65
127,voiture,מעלית,nouns,0.75
128,frais,חדש,adjectives,3.75
129,bourse d'étude,שכר לימוד,nouns,1.8
130,flic,טייס,nouns,1.0
131,club,סימן,nouns,0.25
132,île,חוף,nouns,1.95
133,précisément,באופן לא מדויק,adverbs,1.25
134,prêtre,נביא,nouns,2.15
135,humeur,רגש,nouns,3.5
136,bocal,כוס,nouns,2.5
137,brique,קיר,nouns,1.95
138,nouveau,ישן,adjectives,1.35
139,barreau,כלוב,nouns,2.8
140,généralement,בכנות,adverbs,0.25
141,statistique,טניס,nouns,0.35
142,mépriser,לשנוא,verbs,5.05
143,nier,להימנע,verbs,1.15
144,camion,חבילה,nouns,0.45
145,croire,להרגיש,verbs,2.1
146,croissance,דשן,nouns,1.7
147,défendre,להרוג,verbs,1.05
148,bowling,שחקן כדורת,nouns,2.3
149,jamais,בנדיבות,adverbs,0.5
150,attaque,פשע,nouns,2.5
151,type,שותף,nouns,1.6
152,colère,תסכול,nouns,3.4
153,fabricant,בורא,nouns,5.15
154,rivaliser,לסיים,verbs,0.2
155,mec,חבר,nouns,2.25
156,devenir,לארגן,verbs,0.7
157,tête,רגל,nouns,1.65
158,apprendre,לבלבל,verbs,0.8
159,enfant,גבר,nouns,2.25
160,manuscrit,מאמר,nouns,2.45
161,désavouer,לתת,verbs,0.55
162,chien,חתול,nouns,2.0
163,moderne,עתיק,adjectives,1.4
164,mois,אוגוסט,nouns,2.8
165,vison,שמן,nouns,0.25
166,nier,לתת,verbs,0.25
167,liquide,כסף,nouns,3.45
168,facile,גמיש,adjectives,1.55
169,anarchie,כאוס,nouns,4.45
170,évacuer,לקבוע,verbs,0.3
171,magnitude,מידה,nouns,4.0
172,persil,מאפין,nouns,0.7
173,porter,לקחת,verbs,1.9
174,mât,דגל,nouns,1.75
175,prévision,מעונן,nouns,1.15
176,nouvelle,מדיה,nouns,3.15
177,prendre,לגנוב,verbs,2.8
178,manifestement,בחשאי,adverbs,0.65
179,épicé,טוב,adjectives,0.6
180,vainqueur,גבר,nouns,1.05
181,effort,קושי,nouns,3.2
182,orthodontiste,רופא,nouns,5.15
183,delta,ים,nouns,1.9
184,basilique,פסיפס,nouns,1.45
185,étudiant,מורה,nouns,2.05
186,père,גבר,nouns,3.15
187,sandwich,ארוחה,nouns,2.2
188,rideau,מוט,nouns,1.9
189,contrarié,מובך,adjectives,1.2
190,aller,למכור,verbs,0.25
191,journal,מילה,nouns,1.75
192,enquêter,לבחון,verbs,3.6
193,agresser,לעצבן,verbs,1.1
194,renier,להתכחש,verbs,2.65
195,compétence,יכולת,nouns,5.45
196,enfant,בן,nouns,4.0
197,surtout,בעיקר,adverbs,4.95
198,électrique,מכני,adjectives,1.9
199,facile,נוקשה,adjectives,0.6
200,ministère,סולטן,nouns,1.05
201,lettre,פסקה,nouns,1.9
202,garçon,חייל,nouns,1.35
203,ère,עשור,nouns,2.75
204,sournois,מוזר,adjectives,1.25
205,toujours,פעמיים,adverbs,1.2
206,stratège,תחבולן,nouns,3.4
207,proie,אל,nouns,0.1
208,compter sur,להסתמך,verbs,3.6
209,mot,ביטוי,nouns,3.3
210,cheville,חלון,nouns,0.0
211,rose,פרפר,nouns,0.6
212,souper,ארוחת בוקר,nouns,2.6
213,étrange,ערמומי,adjectives,1.25
214,accepter,לקבל,verbs,3.05
215,fermement,בזהירות,adverbs,1.85
216,sol,תקרה,nouns,1.65
217,cristal,זכוכית,nouns,3.0
218,élire,לדחות,verbs,0.65
219,dinosaure,פיל,nouns,1.4
220,hutte,בקתה,nouns,3.6
221,sincèrement,ביושר,adverbs,5.75
222,simulation,רובוטיקה,nouns,1.35
223,illégal,מושחת,adjectives,2.7
224,bas,צד,nouns,2.05
225,mépriser,להאשים,verbs,1.2
226,profession,מכללה,nouns,1.2
227,âge,יופי,nouns,1.1
228,grand,גמיש,adjectives,0.25
229,notifier,ליידע,verbs,5.35
230,pleinement,בעיקרון,adverbs,1.25
231,entendre,להקשיב,verbs,4.25
232,tristement,רגשית,adverbs,1.65
233,goutter,לשפוך,verbs,2.0
234,convenable,בינוני,adjectives,1.55
235,écrivain,רומן,nouns,1.85
236,chanteur,צוות,nouns,0.25
237,boeuf,בקר,nouns,4.15
238,apprécier,לשנוא,verbs,1.0
239,yard,מטר,nouns,3.55
240,réel,מזוייף,adjectives,1.35
241,mine,סלע,nouns,1.8
242,rester,להמתין,verbs,2.6
243,trou,רעיה,nouns,0.1
244,justement,בבגרות,adverbs,0.9
245,heureux,צעיר,adjectives,0.7
246,généreusement,לעולם לא,adverbs,0.5
247,protéger,להגן,verbs,4.85
248,chanceux,מובך,adjectives,0.45
249,rapide,מהיר,adjectives,5.15
250,secrétaire,אישה,nouns,1.5
251,puissant,חלש,adjectives,1.2
252,ajouter,לחלק,verbs,1.95
253,papa,אם,nouns,2.65
254,souvent,לפעמים,adverbs,2.1
255,parfois,לעיתים קרובות,adverbs,2.1
256,bras,צוואר,nouns,1.65
257,dispute,ביקורת,nouns,2.2
258,anniversaire,יום הולדת,nouns,2.25
259,capital,כסף,nouns,4.45
260,machine,מנוע,nouns,2.85
261,prison,בחירה,nouns,0.5
262,aider,לסייע,verbs,5.75
263,difficile,פשוט,adjectives,1.55
264,héroïne,גיבור,nouns,4.15
265,rire,לשיר,verbs,1.3
266,ignorer,לחקור,verbs,0.55
267,ciel,חלום,nouns,0.8
268,affixe,סיומת,nouns,3.55
269,vêtement,אריג,nouns,2.75
270,approximativement,בקוצר רוח,adverbs,0.5
271,perspective,מרחק,nouns,2.45
272,sénat,חוקה,nouns,1.7
273,aube,אקדח,nouns,0.05
274,foie,ריאה,nouns,2.0
275,crochet,מדים,nouns,0.2
276,débattre,להוכיח,verbs,2.15
277,confortablement,בקלות,adverbs,1.65
278,étoile,כוכב לכת,nouns,3.8
279,garçon,ילד,nouns,4.1
280,saisir,לפת,verbs,5.25
281,ignorer,להדפיס,verbs,0.2
282,tarte,שוקולד,nouns,1.5
283,déclarer,להודיע,verbs,5.0
284,brume,ענן,nouns,2.95
285,feindre,לדמיין,verbs,1.3
286,désert,דיונה,nouns,2.7
287,décomposition,פירוק לגורמים,nouns,3.65
288,affamé,עייף,adjectives,1.5
289,centimètre,יארד,nouns,2.7
290,étouffer,להרוג,verbs,3.0
291,doucement,בקול רם,adverbs,0.8
292,lait,מיץ,nouns,1.9
293,accuser,לשפוט,verbs,2.8
294,pot,בקבוק,nouns,2.95
295,dîner,ארוחה,nouns,4.9
296,construire,לחבר,verbs,1.9
297,klaxon,מכונית,nouns,1.6
298,actif,מנייה,nouns,3.5
299,séparer,לעזוב,verbs,2.3
300,cou,גב,nouns,2.1
301,étudiant,תלמיד,nouns,5.45
302,chercher,לצוד,verbs,2.0
303,neuropsychologie,פרפסיכולוגיה,nouns,1.95
304,condition,חוזה,nouns,1.85
305,cor,תוף,nouns,1.6
306,fièrement,בענווה,adverbs,1.4
307,vêtement,בד,nouns,2.3
308,argent,מזומן,nouns,3.45
309,milliardaire,חסר בית,nouns,1.2
310,sud,צפון,nouns,2.05
311,gentiment,בנדיבות,adverbs,2.6
312,lit,עריסה,nouns,3.85
313,gant,כדור,nouns,1.2
314,raquette,כדור,nouns,1.8
315,accepter,לסלוח,verbs,1.8
316,lever de soleil,שקיעה,nouns,2.45
317,arbre,סירה,nouns,0.75
318,bol,זנב,nouns,0.05
319,planète,כוכב,nouns,3.8
320,protéger,לשמור,verbs,4.5
321,parapluie,קליבר,nouns,0.35
322,ver à soie,זחל,nouns,3.0
323,puissant,עוצמתי,adjectives,5.45
324,voler,לקחת,verbs,2.8
325,année,מאה,nouns,2.6
326,frustrer,לדכא,verbs,3.15
327,mélanger,לשתות,verbs,0.85
328,créativement,במקור,adverbs,0.5
329,surface,אזור,nouns,4.3
330,magma,הר געש,nouns,2.05
331,livre,מידע,nouns,1.8
332,couffin,מיטת תינוק,nouns,5.05
333,donner,לדעת,verbs,0.3
334,idiot,מטומטם,adjectives,5.25
335,ignorant,רגיל,adjectives,0.5
336,paiement,עמלה,nouns,3.25
337,examiner,לחקור,verbs,3.6
338,fermement,ברכות,adverbs,0.9
339,vin,אלכוהול,nouns,2.9
340,voyage,טיול,nouns,4.0
341,emploi,כלי,nouns,0.8
342,vieux,חדש,adjectives,1.35
343,frais,ישן,adjectives,0.65
344,sœur,אח,nouns,3.0
345,viande,כריך,nouns,1.5
346,minute,שנייה,nouns,2.75
347,fille,ילדה,nouns,3.6
348,satire,מיתוס,nouns,1.55
349,saisir,לשאוף,verbs,0.5
350,cathédrale,תקרה,nouns,0.65
351,ordinaire,מוזר,adjectives,1.3
352,légion,כבוד,nouns,1.6
353,argent,יהלום,nouns,1.75
354,tombeur,בחור,nouns,1.8
355,riz,עוף,nouns,1.25
356,systématiquement,בדרך כלל,adverbs,3.75
357,maire,מנהיג,nouns,3.6
358,journaliste,משורר,nouns,1.7
359,débattre,להשתתף,verbs,1.55
360,regarder,לחפש,verbs,2.1
361,père,בן,nouns,2.35
362,obtenir,להפסיד,verbs,1.1
363,fille,אבא,nouns,1.8
364,barreau,כלא,nouns,2.45
365,grand,עצום,adjectives,4.8
366,aptitude,כשירות,nouns,5.45
367,herbe,שורש,nouns,1.95
368,employeur,מועסק,nouns,2.25
369,coton,פוליאסטר,nouns,1.95
370,thé,לימון,nouns,1.25
371,pacifiquement,ברוגע,adverbs,4.9
372,vite,מהיר,adjectives,5.4
373,profondeur,גודל,nouns,1.85
374,intuition,חוש,nouns,4.3
375,gouvernement,לטאה,nouns,0.05
376,tissu,בגדים,nouns,2.75
377,personne,חיה,nouns,1.45
378,cadence,קצב,nouns,5.1
379,classe,כאוס,nouns,0.25
380,détendu,לחוץ,adjectives,1.4
381,femme,ג'ינס,nouns,0.35
382,livre,מאמר,nouns,2.4
383,ancre,סירה,nouns,1.75
384,confiance,עצמי,nouns,1.25
385,canon,כדור,nouns,0.95
386,garçon,ילד,nouns,4.0
387,mensuel,שבועי,adjectives,2.2
388,colonne vertébrale,גוף,nouns,1.95
389,moutarde,גרגיר,nouns,2.05
390,faire,להפוך,verbs,0.9
391,notifier,לאשר,verbs,1.35
392,arrêter,לשרוק,verbs,0.35
393,motel,אכסניה,nouns,4.45
394,archéologie,אנתרופולוגיה,nouns,2.35
395,gros,קל,adjectives,0.55
396,bronchite,פרצטמול,nouns,1.4
397,ozone,אטמוספירה,nouns,3.75
398,sévèrement,בעצם,adverbs,0.15
399,poumon,כבד,nouns,2.0
400,siècle,שנה,nouns,2.6
401,seconde,דקה,nouns,2.75
402,argent,משכורת,nouns,4.05
403,huile,מינק,nouns,0.25
404,dentiste,דוקטור,nouns,5.15
405,exactement,בדיוק,adverbs,5.3
406,soleil,שמיים,nouns,1.9
407,atteindre,לנסות,verbs,1.15
408,violon,גיטרה,nouns,2.5
409,fonction,מהדר,nouns,1.9
410,assister,לשלוח,verbs,0.7
411,taquiner,לפגוע,verbs,2.15
412,guitare,כינור,nouns,2.5
413,drapeau,חקר דגלים,nouns,2.2
414,calendrier,תאריך,nouns,2.25
415,cours,פעולה,nouns,2.3
416,pomme,מיץ,nouns,1.8
417,roi,שליט,nouns,4.6
418,prétendre,לשקר,verbs,3.6
419,épouse,אישה,nouns,4.75
420,accepter,להסכים,verbs,3.45
421,bain,בלון,nouns,0.15
422,accuser,לתעב,verbs,1.2
423,arranger,לסדר,verbs,4.9
424,chapeau,מעיל,nouns,1.75
425,absorber,ללמוד,verbs,2.2
426,légèrement,לחלוטין,adverbs,1.25
427,histoire,ספר,nouns,2.6
428,commande,תפריט,nouns,1.75
429,écran,פונולוגיה,nouns,0.2
430,sujet,ספר,nouns,1.05
431,désespoir,אומללות,nouns,3.35
432,garçon,מצב,nouns,0.05
433,chiffre,ציטופלזמה,nouns,0.25
434,jeune,עצבני,adjectives,0.8
435,exotique,נדיר,adjectives,4.65
436,pomme,אור,nouns,0.3
437,pierre,מכרה,nouns,1.8
438,cyclone,טייפון,nouns,4.7
439,ballon,אמבטיה,nouns,0.15
440,débattre,לצעוק,verbs,2.05
441,mère,חבר,nouns,1.45
442,repas,מותן,nouns,0.55
443,se dissiper,להיכחד,verbs,5.1
444,blesser,להקניט,verbs,2.15
445,positivement,כנראה,adverbs,1.45
446,posséder,לספוג,verbs,0.6
447,admirer,להעריץ,verbs,4.15
448,poussière,מטאטא,nouns,1.65
449,cinéma,טלויזיה,nouns,2.95
450,rarement,לעיתים קרובות,adverbs,1.4
451,lecteur,סופר,nouns,1.75
452,doigt,בוהן,nouns,3.35
453,mousse,בועה,nouns,2.35
454,invité,חבר,nouns,2.5
455,diamant,כסף,nouns,1.75
456,météore,כבידה,nouns,1.2
457,astronome,גלקסיה,nouns,1.7
458,ski,סנוברד,nouns,3.4
459,queue,פרק,nouns,0.2
460,oublier,ללמוד,verbs,1.2
461,sale,צר,adjectives,0.1
462,lèvre,ירך,nouns,1.25
463,perdre,לבשל,verbs,0.05
464,rythme,מנגינה,nouns,3.75
465,sauver,להושיע,verbs,5.75
466,donner,להכחיש,verbs,0.25
467,croyance,פרח,nouns,0.0
468,fenêtre,קרסול,nouns,0.0
469,vol,פשע,nouns,2.55
470,stupide,חכם,adjectives,1.35
471,étroit,דק,adjectives,2.85
472,mélodie,מוסיקה,nouns,4.35
473,historiographe,היסטוריון,nouns,3.7
474,lézard,תנין,nouns,3.1
475,rester,לקבל,verbs,0.55
476,snowboard,סקי,nouns,3.4
477,semaine,סוף שבוע,nouns,2.35
478,critiquer,לדחוף,verbs,0.4
479,orteil,אצבע,nouns,3.35
480,intensité,כוכב,nouns,1.35
481,pistolet,סמל,nouns,0.8
482,capteur,רדיאטור,nouns,0.9
483,orthodontiste,רופא,nouns,3.05
484,agression,עוינות,nouns,4.05
485,mur,קישוט,nouns,1.3
486,inutilisé,חדש,adjectives,4.25
487,entraîneur,שחקן,nouns,1.95
488,cheval,כלב,nouns,1.7
489,canyon,עמק,nouns,4.1
490,détruire,ליצור,verbs,1.2
491,nouveau,טרי,adjectives,3.75
492,groupe,תזמורת,nouns,3.7
493,grêle,גשם,nouns,3.2
494,activement,באופן פסיבי,adverbs,1.1
495,acquérir,להצטרף,verbs,0.75
496,polir,ליידע,verbs,0.1
497,ciel,יקום,nouns,2.5
498,agneau,כבש,nouns,4.15
499,chargeur,דיסק,nouns,0.75
500,terminer,להתחרות,verbs,0.2
501,économie,מערכת אקולוגית,nouns,1.25
502,homme,אבא,nouns,3.15
503,voie-rapide,כביש,nouns,4.0
504,lanceur,באולינג,nouns,2.3
505,siroter,לשתות,verbs,4.9
506,détruire,לבנות,verbs,1.45
507,chaos,אנרכיה,nouns,4.45
508,arguer,לדרוש,verbs,1.35
509,fil,חוט,nouns,4.05
510,fantastiquement,באופן מדהים,adverbs,5.5
511,s'échapper,להימלט,verbs,5.5
512,peuple,בלון,nouns,0.1
513,protestant,נוצרי,nouns,3.25
514,violent,כועס,adjectives,1.8
515,main,אגודל,nouns,2.4
516,robe,ריקוד,nouns,0.8
517,déjeuner,כריך,nouns,2.2
518,ami,חבר,nouns,5.05
519,femme,אמבטיה,nouns,0.1
520,porte,קומה,nouns,0.85
521,acheter,לקבל,verbs,1.45
522,rivière,עמק,nouns,1.7
523,pollution,נשיא,nouns,0.3
524,maison,דירה,nouns,4.2
525,rarement,לרוב,adverbs,1.7
526,voiture,טנק,nouns,1.45
527,souris,סיפון,nouns,0.1
528,registre,תאונה,nouns,0.3
529,ouverture,דלת,nouns,2.95
530,disque,מחשב,nouns,1.65
531,île,חיל הים,nouns,0.85
532,château,קיר,nouns,1.4
533,se disputer,לשכנע,verbs,1.3
534,viande,לחם,nouns,1.4
535,haut,חמישי,adjectives,0.4
536,défilé,המון,nouns,2.2
537,enseigner,לחנך,verbs,4.5
538,confession,הכחשה,nouns,1.2
539,verre,קריסטל,nouns,3.0
540,sculpteur,אחוזה,nouns,0.55
541,ballon,ספירה,nouns,2.8
542,corps,דם,nouns,1.75
543,acquérir,למצוא,verbs,2.05
544,contrarier,לדכא,verbs,1.6
545,liqueur,מאה,nouns,0.05
546,berceau,עריסה,nouns,5.05
547,critiquer,להעיר,verbs,2.7
548,passif,אלים,adjectives,0.65
549,crépuscule,ערב,nouns,3.95
550,sac,ארנק,nouns,2.7
551,fleur,פקעת,nouns,2.35
552,développer,לגדול,verbs,4.45
553,lame,דשא,nouns,0.35
554,homme,חשוד,nouns,1.15
555,cigare,קופסה,nouns,1.05
556,criminalité,גניבה,nouns,2.55
557,personnel,אינטימי,adjectives,5.2
558,tsunami,ים,nouns,1.7
559,alcool,להקה,nouns,0.15
560,blesser,ליפול,verbs,1.55
561,censure,חופש,nouns,1.4
562,biologie,ביוטופ,nouns,1.85
563,complètement,באופן שולי,adverbs,1.25
564,punir,לציית,verbs,1.2
565,entrer,לעזוב,verbs,0.65
566,stupide,נדיר,adjectives,0.25
567,récit,נושא,nouns,1.7
568,avancer,לקדם,verbs,2.35
569,détruire,לפרק,verbs,3.7
570,poulet,סעודה,nouns,1.25
571,miel,סוכר,nouns,2.4
572,voiture,מפעל,nouns,1.0
573,matrice,וקטור,nouns,3.15
574,mécaniquement,באופן אידיאלי,adverbs,0.3
575,océan,ים,nouns,4.15
576,chanter,לרחף,verbs,0.3
577,impatiemment,בערך,adverbs,0.5
578,dépenser,לחסוך,verbs,0.75
579,bouteille,קנקן,nouns,2.95
580,arrêter,לנהוג,verbs,1.2
581,blanc,צר,adjectives,0.05
582,eau,מלח,nouns,1.2
583,galerie,עורך דין,nouns,0.05
584,équitablement,באופן לא הוגן,adverbs,1.3
585,chasser,לעקוב,verbs,2.35
586,pièce de monnaie,תשלום,nouns,2.5
587,mineur,משמעותי,adjectives,1.15
588,organisé,מבולגן,verbs,1.35
589,étrange,משונה,adjectives,5.45
590,réussir,להיכשל,verbs,1.4
591,pomme,דיאטה,nouns,1.1
592,régime,סלט,nouns,1.55
593,crayon,סיפור,nouns,0.5
594,analyser,להשוות,verbs,2.75
595,lâche,גמיש,adjectives,1.45
596,moteur,סירה,nouns,1.55
597,princesse,כלה,nouns,1.85
598,trou,הסכם,nouns,0.0
599,cinquième,עליון,adjectives,0.4
600,suffrage,יציאה,nouns,0.3
601,copilote,תא הטייס,nouns,1.6
602,viande,בקר,nouns,3.05
603,encourager,לדכא,verbs,1.35
604,bateau,מכונית,nouns,1.85
605,incliner,להסית,verbs,3.35
606,volonté,כוונה,nouns,5.1
607,paracétamol,ברונכיטיס,nouns,1.4
608,cinématographie,במאי,nouns,1.8
609,homme,מנצח,nouns,1.05
610,déterminer,לפנות,verbs,0.3
611,fier,יהיר,adjectives,4.15
612,cigare,מקטרת,nouns,3.05
613,satisfaire,להפציר,verbs,0.45
614,télévision,קולנוע,nouns,2.95
615,dur,ערמומי,adjectives,0.6
616,électrique,מתוק,adjectives,0.2
617,mûrement,בצדקנות,adverbs,0.9
618,anniversaire,שנה,nouns,2.0
619,marrant,משעמם,adjectives,0.7
620,cruel,נחמד,adjectives,0.95
621,nouveau,עתיק,adjectives,1.4
622,meuble,מיטה,nouns,2.65
623,ennuyé,משעמם,adjectives,1.65
624,décliner,לקבל,verbs,1.4
625,anormalement,בדרך כלל,adverbs,1.2
626,union,סכום,nouns,3.1
627,disparaître,להיעלם,verbs,5.1
628,garçon,אח,nouns,2.65
629,autoroute,משימה,nouns,0.05
630,lit,רהיט,nouns,2.65
631,perdre,להחסיר,verbs,2.15
632,luire,לזהור,verbs,4.9
633,mer,אוקיינוס,nouns,4.15
634,soigneusement,בבטחה,adverbs,1.85
635,sérieusement,באופן אחראי,adverbs,3.35
636,froid,רגיל,adjectives,0.4
637,alimentation,תוכנית,nouns,0.8
638,en phase terminale,אחרת,adverbs,0.1
639,mutant,סוציוביולוגיה,nouns,0.65
640,bouteille,פחית,nouns,2.65
641,jamais,לעיתים רחוקות,adverbs,2.75
642,coude,עצם,nouns,2.05
643,arriver,לעזוב,verbs,0.65
644,acide,בסיס,nouns,1.75
645,pistolet,סכין,nouns,2.35
646,sultan,כהונה,nouns,1.05
647,diviser,לחבר,verbs,1.95
648,président,תלמיד,nouns,0.8
649,arrogant,גאה,adjectives,4.15
650,sergent,אקדח,nouns,0.8
651,étui,חומרה,nouns,1.2
652,sale,זול,adjectives,0.55
653,minuscule,עצום,adjectives,1.35
654,facilement,בערך,adverbs,0.4
655,tranchant,מתון,adjectives,1.15
656,ouvrier,משרד,nouns,1.05
657,bonheur,עצב,nouns,1.5
658,bizarre,מוזר,adjectives,5.4
659,grossier,ביקורתי,adjectives,0.85
660,estomac,חדר שינה,nouns,0.1
661,sentiment,אינטואיציה,nouns,4.3
662,nouveau,לא משומש,adjectives,4.25
663,impeccable,נקי,adjectives,4.8
664,réinhumation,קבר,nouns,1.9
665,esclave,משרת,nouns,4.4
666,carte,ברידג',nouns,0.95
667,vérifier,להצדיק,verbs,2.65
668,humide,דביק,adjectives,1.5
669,prudemment,בקפידה,adverbs,3.5
670,heureux,כועס,adjectives,1.2
671,papier,עץ,nouns,2.0
672,queue,צוק,nouns,0.05
673,chef,ראש,nouns,3.6
674,lin,בד,nouns,2.7
675,taxi,מונית,nouns,5.1
676,reste,הבדל,nouns,2.35
677,étroit,רחב,adjectives,1.4
678,frire,לבשל,verbs,2.75
679,construction,הרס,nouns,1.55
680,laisser,להמתין,verbs,0.85
681,laver,לשטוף,verbs,5.05
682,étroit,רחב,adjectives,1.05
683,armée,לגיון,nouns,3.3
684,remplacer,להחזיר,verbs,2.8
685,matrice,מולקולה,nouns,0.3
686,rythme,שיר,nouns,2.15
687,livrer,לקבל,verbs,1.05
688,détériorer,לנגב,verbs,0.2
689,soleil,קרן,nouns,2.35
690,occasion,אגורה,nouns,0.4
691,pacte,הסכם,nouns,5.4
692,médecin,דוקטור,nouns,5.5
693,mur,מבצר,nouns,1.4
694,vexillologie,דגל,nouns,2.2
695,apporter,לשלוח,verbs,1.6
696,sauvegarder,לאסוף,verbs,2.6
697,rire,לגחך,verbs,4.85
698,colonel,רופא,nouns,0.55
699,demander,להתעלם,verbs,0.9
700,chaos,שיעור,nouns,0.25
701,théâtre,סוללה,nouns,0.05
702,porte,כניסה,nouns,2.95
703,ordinaire,משונה,adjectives,1.4
704,tissu,פשתן,nouns,2.7
705,difficile,קל,adjectives,1.4
706,saisir,לספק,verbs,0.5
707,vite,זריז,adjectives,5.15
708,sournois,קשוח,adjectives,0.6
709,feuille,מטוס,nouns,0.05
710,intestin,עצב,nouns,1.05
711,rire,לבכות,verbs,1.4
712,absorber,להחזיק,verbs,0.6
713,mythe,סאטירה,nouns,1.55
714,purgatoire,העולם הבא,nouns,2.4
715,papillon,ורד,nouns,0.6
716,clarifier,להסביר,verbs,4.95
717,décennie,מאה,nouns,2.3
718,syntaxe,מילת מפתח,nouns,1.1
719,tasse,צנצנת,nouns,2.5
720,faucon,עיט,nouns,3.35
721,bulle,קצף,nouns,2.35
722,maïs, דגן,nouns,2.3
