ID,EST,POL,PoS,score
93,tõene,nieuczciwy,adjectives,0.3
94,lammas,jagnię,nouns,4.0
95,anuma,błagać,verbs,4.35
96,juust,chleb,nouns,0.7
97,ette kujutama,udawać,verbs,1.75
98,kannike,kwiat,nouns,2.8
99,aasta,stulecie,nouns,1.15
100,vend,ojciec,nouns,0.9
101,uskuma,czuć,verbs,1.3
102,tüdruk,facet,nouns,0.5
103,õnn,szczęście,nouns,4.35
104,imepisike,ogromny,adjectives,0.25
105,keha,nerw,nouns,0.55
106,uks,brama,nouns,3.65
107,eksam,sylabus,nouns,0.7
108,suhtlema,modlić się,verbs,0.5
109,kokteil,alkohol,nouns,2.25
110,molekul,powietrze,nouns,0.95
111,tolm,miotła,nouns,0.65
112,selgelt,pewnie,adverbs,3.2
113,pastakas,alfabet,nouns,0.35
114,kinni püüdma,złapać,verbs,5.0
115,vildakas,wygięty,adjectives,4.7
116,lumi,lawina,nouns,1.75
117,leotama,redukować,verbs,0.25
118,üliõpilane,profesor,nouns,0.8
119,peekon,fasola,nouns,0.45
120,mõtisklema,myśleć,verbs,3.4
121,raud,witamina,nouns,0.95
122,kontrollima,zatrzymywać,verbs,0.6
123,kallistama,trzymać,verbs,1.65
124,tagasi lükkama,akceptować,verbs,0.3
125,täkk,facet,nouns,1.15
126,biograafia,fikcja,nouns,0.9
127,vilistama,zatrzymywać,verbs,0.2
128,allkirjastama,unosić się,verbs,0.0
129,hümn,biblia,nouns,0.45
130,kitsas,szczupły,adjectives,2.9
131,lehekülg,akapit,nouns,1.1
132,kummaline,osobliwy,adjectives,5.15
133,võõras,tłumacz,nouns,0.7
134,põsk,język,nouns,0.8
135,lehekülg,słowo,nouns,0.7
136,õhtusöök,zupa,nouns,1.55
137,galaktika,astronom,nouns,1.15
138,seeme,młyn,nouns,0.6
139,lift,pudełko,nouns,0.25
140,kuningas,władca,nouns,5.0
141,kümnend,stulecie,nouns,1.1
142,keskmine,regularny,adjectives,2.8
143,sõna,literatura,nouns,1.8
144,võime,kompetencja,nouns,3.95
145,odav,brudny,adjectives,0.7
146,riff,plaża,nouns,0.7
147,õnneseen,zawstydzony,adjectives,0.1
148,haamer,zęby,nouns,0.1
149,jakk,ubrania,nouns,1.95
150,tegema,zarabiać,verbs,0.8
151,õrnalt,życzliwie,adverbs,2.3
152,kohale jõudma,uczęszczać,verbs,1.3
153,stiil,moda,nouns,4.35
154,lämmatama,przytulić,verbs,0.35
155,kaasamine,mianowanie,nouns,0.85
156,vana,świeży,adjectives,0.1
157,floora,natura,nouns,2.9
158,taskukohane,tani,adjectives,4.05
159,abikaasa (naine),wanna,nouns,0.0
160,komm,jabłko,nouns,0.55
161,erinevus,reszta,nouns,0.95
162,abiline,nauczyciel,nouns,1.05
163,alkohol,koniak,nouns,2.85
164,raamat,tekst,nouns,2.05
165,ideaalselt,realistycznie,adverbs,0.9
166,samasugune,podobny,adjectives,3.8
167,täiskasvanu,rodzic,nouns,2.8
168,taifuun,cyklon,nouns,3.65
169,radar,dżojstik,nouns,0.2
170,raamat,opowieść,nouns,2.25
171,kaotama,dostać,verbs,0.1
172,taotlus,aplikant,nouns,1.0
173,riis,fasola,nouns,0.9
174,raskus,wysiłek,nouns,2.9
175,steik,kurczak,nouns,0.8
176,andma,wyrzec się,verbs,0.2
177,ütlema,wyrażać,verbs,3.45
178,paat,samochód,nouns,0.7
179,naerma,chichotać,verbs,4.55
180,mehaaniline,elektryczny,adjectives,0.55
181,ühinema,dodać,verbs,2.3
182,ideaalselt,mechanicznie,adverbs,0.5
183,tass,rożek,nouns,0.25
184,film,nihilizm,nouns,0.2
185,ebaselge,mętny,adjectives,4.35
186,loomulikult,chicho,adverbs,0.45
187,otsustama,konkludować,verbs,1.6
188,koostama,robić,verbs,3.15
189,tulema,przybywać,verbs,4.25
190,jääma,czekać,verbs,1.45
191,läbi kukkuma,powieść się,verbs,0.3
192,tavaliselt,rzadko,adverbs,0.35
193,neuropsühholoogia,parapsychologia,nouns,1.2
194,leht,siewka,nouns,0.55
195,maja,dywan,nouns,0.4
196,uskumus,opinia,nouns,3.3
197,pooma,zabić,verbs,2.1
198,pärima,myśleć,verbs,0.6
199,või,ziemniak,nouns,0.7
200,läbikukkumine,bankructwo,nouns,2.1
201,kartmatu,dumny,adjectives,1.55
202,radiaator,sensor,nouns,0.15
203,väärtus,przekonanie,nouns,1.95
204,pool,spód,nouns,0.7
205,kaks korda,zawsze,adverbs,0.05
206,eine,talia,nouns,0.2
207,otsustama,wybierać,verbs,4.0
208,sisehõõrdumine,plusk,nouns,0.1
209,häbenev,pomyślny,adjectives,0.1
210,lasteaed,przedszkole,nouns,1.95
211,sõitma,biegać,verbs,0.5
212,tunnistama,powiadamiać,verbs,0.85
213,regulaarne,przeciętny,adjectives,2.8
214,uks,obecność,nouns,0.2
215,koletis,demon,nouns,3.95
216,värske,nowy,adjectives,4.25
217,nutikas,tępy,adjectives,0.25
218,saar,marynarka,nouns,0.25
219,saavutama,otrzymywać,verbs,2.1
220,tähelepanuta jätma,wyrzec się,verbs,1.45
221,ausalt,lojalnie,adverbs,2.9
222,korporatsioon,drzwi,nouns,0.2
223,ball,rękawica,nouns,0.3
224,töö,zadanie,nouns,3.1
225,klaver,harmonia,nouns,0.75
226,purjus,trzeźwy,adjectives,0.3
227,pull,cielę,nouns,1.75
228,tavaliselt,nieregularnie,adverbs,0.25
229,tööline,mechanik,nouns,2.25
230,õiglus,trybunał,nouns,1.9
231,heameelt tegema,zabawiać,verbs,2.35
232,ema,żona,nouns,1.7
233,paindlik,ruchomy,adjectives,1.7
234,lennuseadmeteadus,aeronautyka,nouns,2.65
235,ökosüsteem,ekonomia,nouns,0.65
236,halb,świetny,adjectives,0.15
237,jää,woda,nouns,1.65
238,pilvkate,prognoza,nouns,0.6
239,sinine,czerwony,adjectives,0.25
240,kolledž,zawód,nouns,0.35
241,lämmatama,spalić,verbs,0.3
242,heidutama,zachęcać,verbs,0.05
243,organ,nerka,nouns,2.8
244,kaaspiloot,kokpit,nouns,0.65
245,rahutu,wystraszony,adjectives,3.1
246,kohut mõistma,decydować,verbs,2.0
247,närv,ciało,nouns,0.55
248,mast,flaga,nouns,0.9
249,keel,zachód słońca,nouns,0.05
250,päikeseloojang,sznurek,nouns,0.05
251,monitor,ekran,nouns,4.9
252,põhi,wierzch,nouns,0.45
253,avalik,prywatny,adjectives,0.6
254,määrama,przewidywać,verbs,2.1
255,lambatall,owca,nouns,4.0
256,kiiresti,pilnie,adverbs,3.55
257,paberraha,opłata,nouns,0.65
258,tapma,dusić,verbs,2.3
259,hütt,schronienie,nouns,1.9
260,riided,sukno,nouns,1.65
261,harjutama,powtarzać,verbs,3.0
262,kohtumenetlus,werdykt,nouns,1.9
263,hoomama,czytać,verbs,0.9
264,seltsiline,kochanek,nouns,1.9
265,jooma,wznosić,verbs,0.5
266,pilv,pogoda,nouns,1.15
267,lugema,gryźć,verbs,0.1
268,püsimatu,młody,adjectives,0.95
269,kõrs,zadanie,nouns,0.1
270,juhtkond,praca,nouns,1.15
271,võtma,zostawić,verbs,0.4
272,lemmikloom,kot,nouns,2.75
273,laul,ballada,nouns,3.45
274,kindel,pewny siebie,adjectives,3.9
275,ranne,ramię,nouns,1.6
276,ema,przyjaciel,nouns,1.2
277,tütar,dzieciak,nouns,1.7
278,ookean,morze,nouns,2.55
279,kristlane,protestant,nouns,2.55
280,õhtu,zachód słońca,nouns,2.55
281,tooma,narzekać,verbs,0.05
282,elastne,giętki,adjectives,4.8
283,kino,telewizja,nouns,1.55
284,meedium,wiadomości,nouns,1.3
285,keemia,teoria,nouns,0.8
286,tapma,bronić,verbs,0.45
287,eitama,akceptować,verbs,0.15
288,kohutav,świetny,adjectives,0.25
289,peekon,śniadanie,nouns,0.95
290,täielikult,zasadniczo,adverbs,1.5
291,oluline,konieczny,adjectives,4.55
292,nutma,łkać,verbs,4.35
293,lõng,nić,nouns,3.15
294,laps,chłopiec,nouns,2.5
295,kauss,zaułek,nouns,0.0
296,veri,mięso,nouns,0.8
297,juhtkond,mysz,nouns,0.05
298,kirjanik,powieść,nouns,0.95
299,taevas,słońce,nouns,1.4
300,voodi,sypialnia,nouns,1.3
301,pilv,burza,nouns,1.05
302,müüt,satyra,nouns,1.4
303,spirituaalne,bezcielesny,adjectives,4.15
304,seletama,dyskutować,verbs,2.15
305,eestkostja,dorosły,nouns,2.65
306,rahumeelselt,dumnie,adverbs,0.35
307,aasta,urodziny,nouns,0.9
308,rannik,plaża,nouns,3.3
309,raha,pensja,nouns,3.35
310,paindlik,elastyczny,adjectives,4.8
311,tegema,tworzyć,verbs,3.5
312,korrutamine,dzielenie,nouns,0.8
313,peatükk,noc,nouns,0.05
314,ära tõukama,zaniedbać,verbs,1.45
315,taust,tapeta,nouns,3.0
316,andma,kłaść,verbs,0.5
317,tina,metal,nouns,3.1
318,mees,triumfator,nouns,0.4
319,vastu võtma,otrzymywać,verbs,2.45
320,laul,wykonawca,nouns,1.0
321,päev,noc,nouns,0.6
322,kõrb,wydma,nouns,0.7
323,võimatu,wykonalny,adjectives,0.3
324,laenama,chcieć,verbs,0.55
325,ballaad,piosenka ,nouns,3.45
326,kunaiganes,czasem,adverbs,1.35
327,piiskop,muzułmanin,nouns,0.5
328,metall,aluminium,nouns,2.55
329,kätte toimetama,akceptować,verbs,0.3
330,raamat,motyw,nouns,0.4
331,kurv,kąt,nouns,1.1
332,kandma,erodować,verbs,0.6
333,puuvijaaed,struś,nouns,0.0
334,jumaldama,podziwiać,verbs,3.75
335,jätma,brać,verbs,0.4
336,organiseerima,stać się,verbs,0.4
337,jälitama,ścigać,verbs,3.95
338,pühkima,pogorszyć się,verbs,0.25
339,ärritama,zgadywać,verbs,0.35
340,jätma,ignorować,verbs,1.6
341,anne,pisarz,nouns,0.3
342,hämmastavalt,fantastycznie,adverbs,4.75
343,õlu,napój,nouns,2.35
344,nakkus,dolegliwość,nouns,2.9
345,ebaausalt,nierozsądnie,adverbs,1.9
346,nädalavahetus,wyścig,nouns,0.0
347,artikkel,manuskrypt,nouns,1.3
348,lihtne,skomplikowany,adjectives,0.25
349,umbes,niezawodnie,adverbs,0.25
350,proovima,osiągnąć,verbs,0.75
351,andestama,akceptować,verbs,2.45
352,segama,pić,verbs,0.35
353,sügavus,wielkość,nouns,2.1
354,torn,dzwon,nouns,0.9
355,keha,ramię,nouns,1.25
356,ülikond,robótka szydełkowa,nouns,0.2
357,tõbi,niebezpieczeństwo,nouns,0.5
358,vähendama,przemoczyć,verbs,0.25
359,peatuma,jechać,verbs,0.3
360,saama,złapać,verbs,1.05
361,liha,kanapka,nouns,0.5
362,sõna,gazeta,nouns,0.75
363,piibel,hymn,nouns,0.45
364,unistus,niebo,nouns,0.4
365,panustama,spekulować,verbs,2.6
366,heameelt tegema,prosić,verbs,0.1
367,eraldama,wyruszyć,verbs,0.3
368,sisenema,być dłużnym,verbs,0.05
369,põrand,pokład,nouns,1.75
370,võmm,drugi pilot,nouns,0.15
371,peenike,smukły,adjectives,5.2
372,hümn,podbój,nouns,0.15
373,kurbus,wstyd,nouns,0.85
374,harmoonia,pianino,nouns,0.75
375,ennustama,zakładać,verbs,3.3
376,süüdi,uczciwy,adjectives,0.4
377,lääts,aparat,nouns,1.05
378,sosistama,mówić,verbs,2.2
379,õpilane,prezydent,nouns,0.2
380,osalema,pojawić się,verbs,1.2
381,poliitik,policjant,nouns,0.3
382,popkorn,kino,nouns,0.75
383,kole,prymitywny,adjectives,0.8
384,ülikool,kampus,nouns,2.6
385,paljusus,obfitość,nouns,4.45
386,fakt,wgląd,nouns,1.4
387,leht,płaszczyzna,nouns,0.4
388,laulma,śmiać się,verbs,0.3
389,kast,źródło,nouns,0.0
390,küpsis,księżniczka,nouns,0.05
391,pikk,wąski,adjectives,0.55
392,teadus,psychologia,nouns,2.05
393,korrutama,dzielić,verbs,0.45
394,rahuldama,rozumieć,verbs,0.25
395,harima,uczyć  ,verbs,5.05
396,haihtuma,zniknąć,verbs,4.8
397,riietatud,przykryty,adjectives,2.9
398,uba,bekon,nouns,0.45
399,treener,gracz,nouns,1.05
400,kutt,partner,nouns,2.35
401,panema,wisieć,verbs,0.95
402,au,poważanie,nouns,2.15
403,uhke,silny,adjectives,0.8
404,oletama,udawać,verbs,0.65
405,alakeha,brzuch,nouns,2.3
406,meloodia,muzyka,nouns,3.4
407,vajalik,ważny,adjectives,4.55
408,laad,droga,nouns,1.35
409,ohvitser,deputowany,nouns,1.05
410,räpane,wąski,adjectives,0.25
411,sõber,facet,nouns,1.45
412,raha,diament,nouns,0.85
413,tulema,uczęszczać,verbs,2.3
414,ebatõenäoline,przyjazny,adverbs,0.05
415,delta,morze,nouns,1.0
416,laenama,sprzedawać,verbs,0.3
417,luu,szczęka,nouns,1.1
418,enamasti,głęboko,adverbs,0.35
419,juhataja,lider,nouns,4.2
420,osalema,przybywać,verbs,1.3
421,tekk,wichura,nouns,0.25
422,haiget tegema,zmartwić,verbs,1.85
423,ala,strefa,nouns,5.0
424,põhiliselt,koniecznie,adverbs,1.15
425,lill,fiołek,nouns,2.8
426,paluma,prosić,verbs,4.35
427,tehe,algebra,nouns,0.9
428,julgustama,zniechęcać,verbs,0.05
429,pahkluu,łokieć,nouns,1.0
430,võti,dom ,nouns,0.6
431,lahendama,skończyć,verbs,3.35
432,keelama,zatrzymywać,verbs,1.1
433,hädaline,niepewny,adjectives,1.05
434,väljapääs,otwór drzwiowy,nouns,3.5
435,vihkama,lubić,verbs,0.05
436,kandma,dostarczać,verbs,2.2
437,leib,ser,nouns,0.7
438,omandama,uzyskać,verbs,4.0
439,panema,dać,verbs,0.5
440,saatma,wystrzelić,verbs,0.5
441,raske,duży,adjectives,1.65
442,kirg,emocja,nouns,3.05
443,vesistama,płakać,verbs,4.35
444,kirik,chór,nouns,1.3
445,kitarr,skrzypce,nouns,1.4
446,traditsioon,rękodzieło,nouns,0.7
447,polüester,bawełna,nouns,0.8
448,aken,dach,nouns,0.7
449,lööma,smagać,verbs,2.85
450,vajama,ustalać,verbs,0.6
451,palee,wieżowiec,nouns,1.1
452,vihane,szczęśliwy,adjectives,0.2
453,raputama,mieszać,verbs,2.1
454,võrevoodi,kołyska,nouns,2.55
455,karistama,uderzyć,verbs,1.55
456,ebaküps,nieodpowiedzialny,adjectives,3.25
457,maantee,samochód,nouns,0.7
458,üliõpilane,uczeń,nouns,4.1
459,meri,delta,nouns,1.0
460,riided,tkanina,nouns,1.6
461,imeline,rozkoszny,adjectives,2.6
462,poiss,warunek,nouns,0.05
463,hambad,kość,nouns,2.2
464,ülesanne,kobieta,nouns,0.05
465,ohutus,wygoda,nouns,1.3
466,deemant,pieniądze,nouns,0.85
467,käsiraamat,przewodnik,nouns,3.1
468,viha,szał,nouns,4.6
469,eitama,dać,verbs,0.15
470,propageerima,awansować,verbs,3.25
471,eelkool,żłobek,nouns,1.95
472,kokkulepe,dziura,nouns,0.05
473,kaitsma,ratować,verbs,2.7
474,vaip,dom,nouns,0.4
475,lill,cebulka,nouns,1.15
476,ühendama,zaślubić,verbs,1.55
477,suur,ciężki,adjectives,1.65
478,film,teatr,nouns,1.0
479,kerge,ciężki,adjectives,0.05
480,vaidlema,uczęszczać,verbs,0.1
481,vihje,inteligencja,nouns,0.1
482,eesnahk,obrzezanie,nouns,1.3
483,nüri,śmieszny,adjectives,0.1
484,julm,srogi,adjectives,3.7
485,president,uczeń,nouns,0.2
486,väljuv,przychodzący,adjectives,0.85
487,ukseava,wyjście,nouns,3.5
488,teravili,pszenica,nouns,3.8
489,mesi,cukier,nouns,1.25
490,sarnane,jednakowy,adjectives,3.8
491,tapma,powiesić,verbs,2.1
492,legaalne,bezpieczny,adjectives,2.6
493,intelligentsus,umiejętność,nouns,1.9
494,otseloomulikult,dyskretnie,adverbs,0.25
495,arst,ortodonta,nouns,3.4
496,pesapall,kanapa,nouns,0.1
497,brändi,wino,nouns,1.55
498,vale,precyzyjny,adjectives,0.25
499,agressioon,wrogość,nouns,4.2
500,kaamera,robotnik,nouns,0.2
501,süüa tegema,wymieszać,verbs,0.65
502,aken,kostka,nouns,0.0
503,prohvet,ksiądz,nouns,0.85
504,veendunud,pewny,adjectives,4.5
505,segadusse ajama,uczyć się,verbs,0.3
506,noor,niespokojny,adjectives,0.95
507,president,polityk,nouns,3.6
508,tõenäoliselt,może,adverbs,3.85
509,asetäitja,funkcjonariusz,nouns,1.05
510,talv,lato,nouns,0.9
511,pagas,opłynięcie,nouns,0.45
512,tähistama,zaskoczyć,verbs,0.55
513,modernne,starożytny,adjectives,0.3
514,vanduma,obiecywać,verbs,3.9
515,lahkuma,pojawić się,verbs,0.45
516,stiil,elegancja,nouns,3.9
517,teater,film,nouns,1.0
518,tekst,książka,nouns,2.05
519,aru saama,wiedzieć,verbs,2.75
520,reostus,atmosfera,nouns,0.6
521,amet,koledż,nouns,0.35
522,metsamajake,chatka,nouns,4.7
523,sportlane,biegacz,nouns,2.65
524,kaotama,gotować,verbs,0.0
525,süütu,naiwny,adjectives,1.4
526,ulatuslik,wąski,adjectives,0.15
527,laud,zachód słońca,nouns,0.05
528,karastusjook,piwo,nouns,2.35
529,kritiseerima,zauważyć,verbs,1.15
530,viski,alkohol,nouns,2.75
531,printsess,panna młoda,nouns,0.9
532,lai,wąski,adjectives,0.25
533,selgroog,szyja,nouns,1.05
534,rütm,melodia,nouns,2.15
535,vahetus,zastępstwo,nouns,3.35
536,soovitama,radzić,verbs,4.05
537,kriket,kibic,nouns,0.2
538,karm,okrutny,adjectives,3.7
539,loogika,arytmetyka,nouns,1.15
540,näljane,zmęczony,adjectives,0.6
541,ametlikult,silnie,adverbs,0.85
542,häbelik,przestraszony,adjectives,1.85
543,ebaausalt,sprawiedliwie,adverbs,0.25
544,pilt,pomysł,nouns,0.35
545,segama,naprzykrzać się,verbs,3.75
546,lahing,wojowniczość,nouns,2.15
547,lubatud,legalny,adjectives,5.0
548,ootamatu,nieprzewidziany,adjectives,5.1
549,imenduma,posiąść,verbs,1.1
550,sonett,piękno,nouns,0.45
551,ortodont,dentysta,nouns,4.45
552,pudel,słoik,nouns,1.75
553,advokaat,adwokat,nouns,4.3
554,fantaasia,rzeczywistość,nouns,0.45
555,saatma,przynieść,verbs,0.3
556,neuroos,umysł,nouns,0.9
557,apokalüpsis,ogień,nouns,0.95
558,uudised,wstępniak,nouns,0.95
559,magamistuba,łazienka,nouns,1.05
560,lennujaam,samolot,nouns,1.25
561,televisioon,aktor,nouns,1.0
562,vaene,dumny,adjectives,0.4
563,ebaviisakas,krytyczny,adjectives,0.9
564,pragunema,złamać się,verbs,2.5
565,äri,korporacja,nouns,1.85
566,kindlalt,zdecydowanie,adverbs,4.8
567,käsi,żyła,nouns,0.45
568,üle saama,dominować,verbs,1.15
569,veen,ramię,nouns,0.45
570,planeet,gwiazda,nouns,2.15
571,küünarnukk,kostka,nouns,1.0
572,kops,wątroba,nouns,1.0
573,puusüsi,węgiel,nouns,3.25
574,köök,drzwi,nouns,0.35
575,male,szach,nouns,1.9
576,õrnalt,jasno,adverbs,0.45
577,mööda lööma,uderzyć,verbs,0.45
578,kivisüsi,węgiel drzewny,nouns,3.25
579,täpselt,niedokładnie,adverbs,0.25
580,margniaalselt,kompletnie,adverbs,0.7
581,päikeseloojang,wieczór,nouns,2.55
582,vend,syn,nouns,0.95
583,valik,rozdział,nouns,0.55
584,kuul,działo,nouns,0.75
585,enesekindel,pewny,adjectives,3.9
586,õrnalt,spokojnie,adverbs,2.2
587,pilv,okno,nouns,0.15
588,apelsin,cytrus,nouns,3.35
589,jooma,wymieszać,verbs,0.35
590,sirge,wygięty,adjectives,0.3
591,silmus,pas,nouns,0.8
592,pagema,uciec,verbs,5.55
593,diplomaatia,negocjacja,nouns,2.9
594,vehklemine,gimnastyka,nouns,1.2
595,pistrik,orzeł,nouns,1.8
596,täht,planeta,nouns,2.15
597,looma,rysować,verbs,1.6
598,arv,cyfra,nouns,4.6
599,raiskama,martwić,verbs,0.15
600,kaklema,zabić,verbs,1.0
601,kirjanik,kompozytor,nouns,1.05
602,rahvahulk,parada,nouns,1.9
603,põhiseadus,cesarz,nouns,0.4
604,tegema,niszczyć,verbs,0.4
605,tuba,łóżko,nouns,0.5
606,kohalikult,blisko,adverbs,2.25
607,pilv,mgiełka,nouns,2.0
608,agressivne,niegrzeczny,adjectives,2.5
609,taipama,odkryć,verbs,3.7
610,väärtuslik,specjalny,adjectives,2.7
611,kulutama,nosić,verbs,0.6
612,lubama,iść,verbs,0.35
613,populaarne,znany,adjectives,4.45
614,avatult,ogromnie,adverbs,0.3
615,advokaat,galeria,nouns,0.0
616,tunnel,ścieżka,nouns,0.6
617,pesapall,koszykówka,nouns,1.55
618,sõitma,zatrzymywać,verbs,0.3
619,peenike,wąski,adjectives,2.9
620,prognoos,zachmurzenie,nouns,0.6
621,delikaatselt,obecnie,adverbs,0.2
622,lahkuma,czekać,verbs,0.1
623,viirus,krew,nouns,0.8
624,teejuht,podręcznik,nouns,3.1
625,ajastu,dekada,nouns,2.4
626,roos,motyl,nouns,0.3
627,käsi,mięsień,nouns,1.35
628,torm,śnieg,nouns,1.25
629,muusika,melodia,nouns,3.4
630,vabastama,eksmitować,verbs,1.6
631,ignoreerima,eksplorować,verbs,0.05
632,lennundus,lot,nouns,1.9
633,prognoosima,ustalać,verbs,2.1
634,lumi,pogoda,nouns,0.85
635,rahumeelselt,spokojnie,adverbs,4.25
636,vaenlaseks tegema,irytować,verbs,1.65
637,ilmselt,oczywiście,adverbs,2.35
638,äkkrünnak,atak,nouns,4.75
639,pesema,płukać,verbs,3.4
640,nõrk,silny,adjectives,0.1
641,kindlalt,oczywiście,adverbs,3.6
642,kael,ramię,nouns,0.65
643,lahkuma,wchodzić,verbs,0.5
644,saama,wydawać się,verbs,0.5
645,uskumatult,ciasno,adverbs,0.5
646,sikutama,podnieść,verbs,1.2
647,vabastama,złapać,verbs,0.4
648,soo,jezioro,nouns,0.75
649,iiris,acetylocholina,nouns,0.65
650,kitsas,brudny,adjectives,0.25
651,raskendama,naprzykrzać się,verbs,2.15
652,uitama,odchodzić,verbs,0.75
653,antropoloogia,archeologia,nouns,1.45
654,ilu,sonet,nouns,0.45
655,lai,świeży,adjectives,0.1
656,isa,córka,nouns,0.75
657,tellimus,menu,nouns,1.1
658,hädaline,bezradny,adjectives,2.9
659,auto,powóz,nouns,2.05
660,hirmutama,nawiedzać,verbs,1.75
661,torm,chmura,nouns,1.05
662,õpilane,student,nouns,4.1
663,otsustama,osądzać,verbs,2.0
664,tuju,doktor,nouns,0.1
665,nool,cel,nouns,0.55
666,riistvara,futerał,nouns,0.45
667,suhtlus,język,nouns,2.2
668,andestama,rozumieć,verbs,2.15
669,liha,stek,nouns,4.1
670,rakett,hałas,nouns,0.55
671,vein,trunek,nouns,2.85
672,teadma,rozumieć,verbs,3.1
673,lööma,uszczypnąć,verbs,0.85
674,sitke,twardy,adjectives,3.2
675,puit,kamień,nouns,0.65
676,kuulutama,ogłaszać,verbs,4.55
677,osoon,atmosfera,nouns,2.2
678,vaher,drzewo,nouns,2.55
679,rõõm,powodzenie,nouns,4.35
680,tõesti,perfekcyjnie,adverbs,0.8
681,rändama,wędrować,verbs,3.75
682,uhke,smutny,adjectives,0.0
683,põhiliselt,przeważnie,adverbs,4.3
684,maatriks,wektor,nouns,0.9
685,valimine,wybór,nouns,2.8
686,halb,okropny,adjectives,3.45
687,aed,wąż ogrodowy,nouns,0.7
688,džinn,lampa,nouns,0.7
689,veiseliha,mięso,nouns,3.65
690,laiendama,rosnąć,verbs,3.45
691,nurjuma,zniechęcać,verbs,0.65
692,romaan,pisarz,nouns,0.95
693,avalik,nieujawniony,adjectives,0.35
694,vastu võtma,odmawiać,verbs,0.3
695,omandama,znaleźć,verbs,1.6
696,keel,policzek,nouns,0.8
697,programm,jedzenie,nouns,0.15
698,õhtusöök,posiłek,nouns,3.35
699,kõht,podbrzusze,nouns,2.3
700,kummitama,wystraszyć,verbs,1.75
