ID,ENG,POL,PoS,score
95,slim,smukły,adjectives,5.34
96,attend,przybywać,verbs,1.54
97,immoral,nielegalny,adjectives,1.71
98,action,gra,nouns,0.81
99,allow,pozwalać,verbs,5.1
100,soldier,pokój,nouns,0.15
101,choice,rozdział,nouns,0.15
102,box,kapelusz,nouns,0.14
103,piston,silnik,nouns,1.93
104,accurately,dokładnie,adverbs,5.62
105,large,ogromny,adjectives,5.41
106,lower,redukować,verbs,4.53
107,candy,jabłko,nouns,0.24
108,handbook,przewodnik,nouns,3.49
109,meat,chleb,nouns,0.04
110,monastery,prysznic,nouns,0.0
111,destroy,tworzyć,verbs,0.04
112,meat,stek,nouns,3.69
113,begin,rezygnować,verbs,0.04
114,proof,fakt,nouns,2.87
115,happy,młody,adjectives,0.19
116,death,katastrofa,nouns,1.29
117,offender,kryminalista,nouns,4.64
118,recent,nowy,adjectives,3.92
119,expand,rosnąć,verbs,4.3
120,allow,iść,verbs,0.14
121,body,ramię,nouns,0.91
122,gather,zbierać,verbs,5.22
123,gun,świt,nouns,0.0
124,dad,matka,nouns,1.0
125,buy,kraść,verbs,0.12
126,intuition,zmysł,nouns,4.39
127,moon,planeta,nouns,1.01
128,sell,iść,verbs,0.0
129,reject,obierać,verbs,0.2
130,fresh,stary,adjectives,0.04
131,book,esej,nouns,0.9
132,actor,aktorka,nouns,3.15
133,insult,urazić,verbs,4.89
134,neurosis,umysł,nouns,0.72
135,instructor,nauczyciel,nouns,4.77
136,stomach,sypialnia,nouns,0.0
137,arrive,uczęszczać,verbs,1.54
138,argue,różnić się,verbs,2.42
139,gullible,głupi,adjectives,2.63
140,wrong,precyzyjny,adjectives,0.0
141,pay,traktować,verbs,0.39
142,messy,czysty,adjectives,0.04
143,mad,szczęśliwy,adjectives,0.0
144,push,ciągnąć,verbs,0.29
145,calendar,data,nouns,1.16
146,hurry,śpieszyć,verbs,4.85
147,arm,nadgarstek,nouns,1.11
148,hallway,przejście,nouns,2.46
149,gun,notatnik,nouns,0.0
150,slim,wąski,adjectives,3.65
151,beauty,wiek,nouns,0.07
152,sea,rzeka,nouns,1.39
153,acquire,uzyskać,verbs,4.86
154,kitchen,łazienka,nouns,0.57
155,dangerously,ostrożnie,adverbs,0.0
156,pretend,wyobrażać sobie,verbs,2.38
157,tea,cytryna,nouns,0.09
158,dusk,wieczór,nouns,4.34
159,episode,rozdział,nouns,3.06
160,juice,milkshake,nouns,0.69
161,odd,dziwny,adjectives,5.04
162,simple,łatwy,adjectives,5.06
163,heavy,duży,adjectives,1.71
164,gentleman,dama,nouns,0.91
165,live,przeżyć,verbs,3.09
166,jeans,kobieta,nouns,0.0
167,proud,biedny,adjectives,0.1
168,omnipotence,supremacja,nouns,1.41
169,sell,pożyczać,verbs,0.04
170,join,poślubić,verbs,2.51
171,bed,koc,nouns,0.56
172,bull,cielę,nouns,1.81
173,money,pensja,nouns,3.04
174,violation,przestępstwo,nouns,3.17
175,retain,zachować,verbs,4.17
176,choose,decydować,verbs,4.33
177,statistics,tenis,nouns,0.05
178,mix,gotować,verbs,0.51
179,teeth,młotek,nouns,0.0
180,cry,szlochać,verbs,4.79
181,gun,działo,nouns,1.81
182,catch,ścigać,verbs,0.72
183,date,urodziny,nouns,1.79
184,restless,młody,adjectives,0.44
185,accident,awaria,nouns,2.66
186,film,teatr,nouns,1.29
187,army,legion,nouns,3.08
188,lip,biodro,nouns,0.14
189,illegal,prawowity,adjectives,0.04
190,cross,mnich,nouns,0.32
191,badge,szklanka,nouns,0.09
192,aggression,wrogość,nouns,4.49
193,give,zezwalać,verbs,1.0
194,take,dostarczać,verbs,0.46
195,burial,śmierć,nouns,1.23
196,finished,zakończony,adjectives,5.32
197,deliver,brać,verbs,0.46
198,rabbit,kot,nouns,0.86
199,ice,woda,nouns,1.43
200,rose,motyl,nouns,0.1
201,judge,sędzia pokoju,nouns,4.04
202,pathfinder,łucznik,nouns,0.91
203,cotton,poliester,nouns,0.72
204,buy,płacić,verbs,1.8
205,skill,inteligencja,nouns,1.98
206,guy,ogier,nouns,1.09
207,rice,chłopiec,nouns,0.0
208,kidnap,kraść,verbs,1.77
209,divide,dodawać,verbs,0.15
210,aisle,hol,nouns,2.46
211,pole,flaga,nouns,0.3
212,altitude,konwersja,nouns,0.2
213,aim,uderzyć,verbs,1.06
214,caution,troska,nouns,3.34
215,motor,silnik,nouns,3.8
216,aggressive,niegrzeczny,adjectives,2.01
217,kill,bronić,verbs,0.3
218,perfectly,prawdziwie,adverbs,1.0
219,wizard,kabel,nouns,0.0
220,groom,panna młoda,nouns,1.19
221,passive,gwałtowny,adjectives,0.0
222,sometimes,często,adverbs,0.49
223,assist,wspomagać,verbs,5.05
224,put,dostać,verbs,0.04
225,gum,mięta,nouns,0.49
226,diode,kondensator,nouns,0.86
227,rain,grad,nouns,1.43
228,fault,system,nouns,0.17
229,cryptogram,symbol,nouns,2.89
230,source,pudełko,nouns,0.0
231,deadly,szczęśliwie,adverbs,0.0
232,square,mapa,nouns,0.0
233,select,wybierać,verbs,5.32
234,smash,demolować,verbs,4.04
235,tobacco,papieros,nouns,2.47
236,steak,mięso,nouns,3.69
237,seat,brzeg,nouns,0.15
238,play,kłócić się,verbs,0.0
239,river,dolina,nouns,0.72
240,obey,zachowywać się,verbs,2.46
241,secretly,śmiało,adverbs,0.27
242,angry,szczęśliwy,adjectives,0.09
243,portray,udawać,verbs,0.56
244,friend,kumpel,nouns,4.71
245,flag,słup,nouns,0.3
246,owe,wchodzić,verbs,0.0
247,priest,prorok,nouns,0.76
248,republic,książę,nouns,0.04
249,buddy,przyjaciel,nouns,4.71
250,easy,prosty,adjectives,5.06
251,trainers,medal,nouns,0.09
252,home,daleko,adverbs,0.15
253,task,zlecenie,nouns,4.86
254,dollar,milioner,nouns,0.36
255,congress,parlament,nouns,2.66
256,marry,złączyć,verbs,2.51
257,tough,twardy,adjectives,3.34
258,job,narzędzie,nouns,0.42
259,blame,pchać,verbs,0.0
260,valley,rzeka,nouns,0.72
261,ostrich,sad,nouns,0.0
262,fundraising,rozwój,nouns,0.09
263,disk,ładowarka,nouns,0.32
264,belligerence,walka,nouns,2.36
265,announce,proklamować,verbs,4.67
266,squad,armia,nouns,2.46
267,differently,dziwacznie,adverbs,1.94
268,unnecessary,konieczny,adjectives,0.04
269,task,kobieta,nouns,0.0
270,elephant,dinozaur,nouns,0.36
271,red,niebieski,adjectives,0.31
272,melody,muzyka,nouns,3.22
273,vexillology,flaga,nouns,1.17
274,ankle,okno,nouns,0.0
275,mostly,głównie,adverbs,4.44
276,dishonest,prawdomówny,adjectives,0.04
277,excited,wystraszony,adjectives,0.32
278,room,cela,nouns,1.87
279,computer,dysk,nouns,0.99
280,stop,jechać,verbs,0.0
281,boil,smażyć,verbs,2.02
282,recommend,radzić,verbs,3.97
283,ant,pszczoła,nouns,0.66
284,difficult,prosty,adjectives,0.04
285,demon,anioł,nouns,0.22
286,dress,taniec,nouns,0.0
287,write,bazgrać,verbs,2.5
288,steal,kupować,verbs,0.12
289,room,wanna,nouns,0.17
290,muscle,język ,nouns,1.46
291,prey,bóg,nouns,0.0
292,horse,źrebak,nouns,3.04
293,neutral,niezdecydowany,adjectives,2.32
294,decide,myśleć,verbs,1.82
295,dollar,ludzie,nouns,0.0
296,eczema,wysypka,nouns,2.99
297,bath,pokój,nouns,0.17
298,gun,nóż,nouns,0.81
299,plead,zadowalać,verbs,0.31
300,task,słoma,nouns,0.0
301,glove,piłka,nouns,0.37
302,bump,rozbić,verbs,1.77
303,give,wyrzec się,verbs,0.09
304,man,wojownik,nouns,0.92
305,go,zezwalać,verbs,0.14
306,falcon,orzeł,nouns,2.09
307,spring,gejzer,nouns,2.88
308,beg,pożyczać,verbs,1.02
309,dive,tworzyć,verbs,0.0
310,innocent,wolny,adjectives,1.36
311,lamb,owca,nouns,4.27
312,salary,opłata,nouns,1.13
313,circumnavigation,bagaż,nouns,0.07
314,wife,cent,nouns,0.05
315,absorb,posiąść,verbs,0.84
316,antecedent,przeszłość,nouns,1.75
317,advise,sugerować,verbs,4.01
318,modern,starożytny,adjectives,0.04
319,fall,potknąć się,verbs,2.62
320,withdraw,odrzucić,verbs,1.75
321,presence,zwycięzca,nouns,0.05
322,deny,akceptować,verbs,0.04
323,cancer,choroba,nouns,3.27
324,reality,iluzja,nouns,0.22
325,succeed,próbować,verbs,0.43
326,actively,szczęśliwie,adverbs,0.41
327,biography,fikcja,nouns,0.49
328,rhythm,arytmetyka,nouns,0.0
329,imitate,pojmać,verbs,0.12
330,awful,zły,adjectives,4.14
331,rude,agresywny,adjectives,2.01
332,boiled,gotowany,adjectives,3.17
333,depression,dolina,nouns,1.2
334,image,pomysł,nouns,0.39
335,house,stodoła,nouns,0.72
336,muslim,biskup,nouns,0.21
337,salute,występować,verbs,0.05
338,uncle,ciotka,nouns,1.34
339,kill,powiesić,verbs,1.38
340,vein,żołądek,nouns,0.15
341,trip,podróż,nouns,5.21
342,inch,jard,nouns,0.93
343,closet,ubrania,nouns,0.36
344,juice,łyżka,nouns,0.0
345,fry,piec,verbs,2.0
346,marginally,kompletnie,adverbs,0.14
347,prove,tłumaczyć,verbs,1.96
348,age,piękno,nouns,0.07
349,capacitor,dioda,nouns,0.86
350,bias,skłaniać,verbs,2.41
351,winter,lato,nouns,0.54
352,fight,gryźć,verbs,0.79
353,dawn,noc,nouns,0.19
354,book,motyw,nouns,0.04
355,century,trunek,nouns,0.05
356,story,piosenka,nouns,0.56
357,evict,wychodzić,verbs,0.67
358,beat,smagać,verbs,3.04
359,weep,płakać,verbs,4.53
360,narrow,szczupły,adjectives,3.65
361,necessary,niezbędny,adjectives,5.24
362,maple,dąb,nouns,1.48
363,hall,przejście,nouns,1.84
364,attack,ranić,verbs,2.42
365,rapid,pośpieszny,adjectives,5.32
366,personal,prywatny,adjectives,4.66
367,dictionary,definicja,nouns,0.94
368,hotel,mieszkanie,nouns,1.02
369,story,ołówek,nouns,0.05
370,nerve,trzewia,nouns,0.79
371,uncovered,zakryty,adjectives,0.09
372,never,negatywny,adjectives,0.15
373,flora,natura,nouns,2.82
374,loudly,cicho,adverbs,0.04
375,case,narzędzia,nouns,0.41
376,normally,rutynowo,adverbs,4.43
377,priest,mnich,nouns,2.91
378,cyclone,tajfun,nouns,4.22
379,daughter,niemowlę,nouns,2.23
380,uncle,mężczyzna,nouns,1.19
381,peace,żołnierz,nouns,0.15
382,wet,klejący,adjectives,0.57
383,coat,kapelusz,nouns,0.35
384,monk,krzyż,nouns,0.32
385,restore,przynieść,verbs,0.88
386,sun,niebo,nouns,0.96
387,big,narodowy,adjectives,0.12
388,character,osoba,nouns,2.07
389,beautiful,wspaniały,adjectives,2.96
390,nurse,naukowiec,nouns,0.12
391,actor,wielościan,nouns,0.04
392,sculpture,statua,nouns,5.01
393,scared,niepewny,adjectives,1.38
394,boy,warunek,nouns,0.0
395,honor,poważanie,nouns,2.48
396,sure,pewny siebie,adjectives,4.71
397,bankruptcy,porażka,nouns,1.77
398,perform,pozdrawiać,verbs,0.05
399,queen,pszczoła,nouns,0.69
400,fire,apokalipsa,nouns,0.74
401,globe,świat,nouns,4.25
402,bizarre,dziwny,adjectives,4.87
403,employer,pracownik,nouns,0.66
404,job,kierownictwo,nouns,0.82
405,decade,stulecie,nouns,0.69
406,actively,pasywnie,adverbs,0.09
407,hear,postrzegać,verbs,0.84
408,reader,autor,nouns,0.31
409,algebra,operacja,nouns,0.51
410,precisely,precyzyjnie,adverbs,5.62
411,obviously,pewnie,adverbs,4.0
412,rabbi,duchowny,nouns,3.74
413,candy,cynamon,nouns,0.17
414,oat,pole,nouns,0.6
415,crude,niegrzeczny,adjectives,1.16
416,organ,nerka,nouns,2.75
417,chair,taboret,nouns,2.94
418,mainboard,płyta matka,nouns,3.04
419,world,glob,nouns,4.25
420,helper,pokojówka,nouns,1.94
421,radical,gwałtowny,adjectives,1.26
422,ask,prosić,verbs,2.25
423,modest,giętki,adjectives,0.0
424,happy,wesoły,adjectives,4.76
425,hammer,zęby,nouns,0.0
426,breakfast,bekon,nouns,0.86
427,hurt,kopać,verbs,1.01
428,body,nerw,nouns,0.2
429,glass,odznaka,nouns,0.09
430,hunt,szukać,verbs,2.92
431,philosopher,wyścigi,nouns,0.0
432,danger,dolegliwość,nouns,0.3
433,beg,prosić,verbs,4.63
434,pact,porozumienie,nouns,4.9
435,closely,lokalnie,adverbs,3.12
436,boring,mierny,adjectives,1.58
437,ordinary,nieprawdopodobny,adjectives,0.09
438,head,paznokieć,nouns,0.15
439,guess,irytować,verbs,0.15
440,nail,głowa,nouns,0.15
441,racism,ksenofobia,nouns,3.26
442,basically,zupełnie,adverbs,0.64
443,wrathful,niepewny,adjectives,0.15
444,vague,niejasny,adjectives,4.74
445,dishonest,zły,adjectives,1.82
446,sky,marzenie,nouns,0.07
447,upset,zranić,verbs,2.44
448,book,informacja,nouns,0.91
449,weather,śnieg,nouns,0.61
450,violent,radykalny,adjectives,1.26
451,unlikely,przyjazny,adverbs,0.05
452,chauvinist,uprzedzenie,nouns,1.2
453,weird,normalny,adjectives,0.04
454,confidence,własna osoba,nouns,0.91
455,leave,przybywać,verbs,0.04
456,purgatory,zaświaty,nouns,2.61
457,muffin,pietruszka,nouns,0.0
458,flute,muzyka,nouns,0.85
459,sadly,szalenie,adverbs,0.04
460,wear,drzeć,verbs,0.31
461,man,dziecko,nouns,0.13
462,intelligence,mądrość,nouns,4.17
463,people,balon,nouns,0.05
464,drip,nalewać,verbs,1.24
465,worker,biuro,nouns,0.27
466,necessary,niepotrzebny,adjectives,0.04
467,understand,wiedzieć,verbs,2.75
468,bedroom,łazienka,nouns,0.81
469,colonel,dentysta,nouns,0.04
470,aluminium,metal,nouns,2.01
471,friend,gość,nouns,1.56
472,wonderful,świetny,adjectives,5.04
473,cooperate,uczestniczyć,verbs,3.04
474,immature,nieodpowiedzialny,adjectives,3.29
475,boy,brat,nouns,1.4
476,milk,sok,nouns,0.61
477,fraternity,baseball,nouns,0.0
478,copilot,kokpit,nouns,0.22
479,value,przekonanie,nouns,2.26
480,realistically,niedawno,adverbs,0.0
481,chair,ławka,nouns,2.11
482,juice,jabłko,nouns,0.69
483,regularly,czasami,adverbs,0.92
484,riot,rysunek,nouns,0.0
485,meet,odchodzić,verbs,0.0
486,sober,racjonalny,adjectives,3.06
487,immoral,zły,adjectives,3.36
488,staff,wokalista,nouns,0.05
489,fencing,gimnastyka,nouns,0.79
490,vehicle,autobus,nouns,2.66
491,blanket,wichura,nouns,0.0
492,maturely,bystrze,adverbs,2.33
493,loop,pas,nouns,0.65
494,activity,ruch,nouns,3.64
495,crocodile,jaszczurka,nouns,1.65
496,word,gazeta,nouns,0.28
497,woman,futro,nouns,0.0
498,surely,oczywiście,adverbs,4.0
499,factory,samochód,nouns,0.1
500,boring,zmęczony,adjectives,0.3
501,costume,bal,nouns,0.2
502,star,asteroida,nouns,1.47
503,leave,spotykać,verbs,0.0
504,victory,triumf,nouns,5.62
505,blanket,drewno,nouns,0.0
506,nice,okrutny,adjectives,0.0
507,decide,ukazywać,verbs,0.05
508,sentry,mężczyzna,nouns,0.94
509,bee,królowa,nouns,0.69
510,forget,wiedzieć,verbs,0.04
511,earn,zasługiwać,verbs,1.82
512,artist,dzieło sztuki,nouns,0.89
513,mark,klub,nouns,0.0
514,erode,blaknąć,verbs,1.87
515,clothes,płaszcz,nouns,2.07
516,bird,indyk,nouns,2.55
517,entertain,lubić,verbs,0.49
518,sauce,jabłko,nouns,0.43
519,destroy,ratować,verbs,0.0
520,whip,bić,verbs,3.04
521,bicycle,sypialnia,nouns,0.0
522,racing,filozof,nouns,0.0
523,nervous,pewien,adjectives,0.0
524,infection,dolegliwość,nouns,3.06
525,take,posiąść,verbs,1.91
526,area,strefa,nouns,5.2
527,coast,brzeg,nouns,4.33
528,scare,nawiedzać,verbs,1.59
529,penny,okazja,nouns,0.17
530,summer,zima,nouns,0.54
531,clue,słowo,nouns,0.45
532,enjoy,zabawiać,verbs,0.49
533,system,wada,nouns,0.17
534,arithmetic,logika,nouns,1.27
535,verify,powiedzieć,verbs,0.59
536,man,wartownik,nouns,0.94
537,crack,złamać się,verbs,3.03
538,chest,ciało,nouns,1.32
539,union,suma,nouns,0.49
540,fresh,nowy,adjectives,3.79
541,leave,wycofywać się,verbs,3.16
542,morning,dzień,nouns,2.1
543,galaxy,astronom,nouns,0.82
544,program,jedzenie,nouns,0.0
545,wait,odchodzić,verbs,0.0
546,cold,zwyczajny,adjectives,0.0
547,aunt,siostrzeniec,nouns,0.57
548,wander,szukać,verbs,1.04
549,citrus,pomarańcza,nouns,3.08
550,neck,kręgosłup,nouns,1.02
551,battle,podbój,nouns,2.42
552,money,perła,nouns,0.22
553,happiness,smutek,nouns,0.04
554,teach,karać,verbs,0.0
555,sincerely,poważnie,adverbs,1.93
556,office,robotnik,nouns,0.27
557,throat,język,nouns,0.83
558,person,zwierzę,nouns,0.31
559,acetaminophen,bronchit,nouns,0.29
560,champagne,whisky,nouns,1.01
561,dog,koń,nouns,0.38
562,sequel,kamera,nouns,0.0
563,lake,bagno,nouns,0.88
564,esteem,honor,nouns,2.48
565,smart,tępy,adjectives,0.04
566,seem,udawać,verbs,1.24
567,horn,bęben,nouns,0.41
568,shy,drogi,adjectives,0.0
569,steal,porwać,verbs,1.77
570,cloud,pogoda,nouns,0.82
571,sword,tron,nouns,0.13
572,aid,asystować,verbs,5.05
573,opponent,przeciwnik,nouns,5.29
574,word,literatura,nouns,1.81
575,cardboard,papier,nouns,3.09
576,gun,ludzie,nouns,0.0
577,lawyer,adwokat,nouns,4.94
578,stiff,łatwy,adjectives,0.0
579,behave,przestrzegać,verbs,2.46
580,west,północ,nouns,0.9
581,withdraw,absorbować,verbs,0.0
582,sociobiology,mutant,nouns,0.15
583,contemptuous,pogardliwy,adjectives,4.04
584,once,natychmiast,adverbs,0.48
585,often,czasem,adverbs,0.49
586,confession,wyparcie,nouns,0.42
587,cigar,pudełko,nouns,0.07
588,region,obszar,nouns,5.09
589,big,szeroki,adjectives,2.36
590,body,bielizna,nouns,0.3
591,circumstance,sytuacja,nouns,4.94
592,supper,śniadanie,nouns,0.29
593,cruel,miły,adjectives,0.0
594,seed,musztarda,nouns,0.34
595,pride,radość,nouns,1.56
596,word,wskazówka,nouns,0.45
597,agreement,argument,nouns,0.24
598,openly,ogromnie,adverbs,0.15
599,accept,wierzyć,verbs,1.54
600,theatre,film,nouns,1.29
601,earthquake,wstrząs,nouns,3.51
602,sky,słońce,nouns,0.96
603,horn,samochód,nouns,0.56
604,reliably,pasywnie,adverbs,0.1
605,breakfast,wieczerza,nouns,0.29
606,engine,tłok,nouns,1.93
607,blend,łączyć,verbs,4.46
608,raise,pić,verbs,0.1
609,lung,wątroba,nouns,0.79
610,parapsychology,neuropsychologia,nouns,1.51
611,kindly,łagodnie,adverbs,2.29
612,throne,miecz,nouns,0.13
613,mist,chmura,nouns,2.04
614,secularist,religia,nouns,0.15
615,conversion,wysokość,nouns,0.2
616,apparently,oczywiście,adverbs,3.39
617,car,most,nouns,0.0
618,remain,dostać,verbs,0.0
619,case,elektryczność,nouns,0.0
620,dominate,wygrać,verbs,1.96
621,hug,tulić,verbs,5.19
622,arm,mięsień,nouns,0.99
623,release,złapać,verbs,0.04
624,never,szczerze,adverbs,0.0
625,politely,dyskretnie,adverbs,1.52
626,organize,stać się,verbs,0.05
627,cytoplasm,cyfra,nouns,0.0
628,bride,księżniczka,nouns,0.19
629,require,dowiadywać się,verbs,0.2
630,dumb,pojętny,adjectives,0.04
631,dumb,inteligentny,adjectives,0.04
632,bone,zęby,nouns,2.19
633,jar,filiżanka,nouns,1.54
634,discreetly,oczywiście,adverbs,0.04
635,now,tutaj,adverbs,1.36
636,notify,informować,verbs,5.29
637,button,ubrania,nouns,0.61
638,recently,ostatnio,adverbs,5.28
639,scientist,pielęgniarka,nouns,0.12
640,phone,ofiara,nouns,0.0
641,soldier,chłopiec,nouns,0.04
642,coal,węgiel drzewny,nouns,3.29
643,bowler,kręglarstwo,nouns,1.52
644,save,chronić,verbs,3.08
645,cooked,zagotowany,adjectives,3.17
646,go,podróżować,verbs,2.47
647,airport,samolot,nouns,0.74
648,strength,wytrzymałość,nouns,2.73
649,poster,papier,nouns,1.59
650,fly,mrówka,nouns,0.91
651,ball,kosz,nouns,0.3
652,rat,mysz,nouns,1.96
653,tough,łatwy,adjectives,0.04
654,proper,formalny,adjectives,3.69
655,chocolate,placek,nouns,0.47
656,stupid,łatwowierny,adjectives,2.63
657,distance,perspektywa,nouns,1.99
658,stream,rzeka,nouns,3.06
659,giggle,śmiać się,verbs,4.58
660,sheriff,gliniarz,nouns,3.61
661,cup,słoik,nouns,1.54
662,cover,chronić,verbs,1.94
663,bone,kolano,nouns,0.89
664,structure,topologia,nouns,2.26
665,honestly,szczerze,adverbs,4.95
666,borrow,chcieć,verbs,0.25
667,enter,wychodzić,verbs,0.29
668,find,nabyć,verbs,2.07
669,officially,znacząco,adverbs,1.8
670,feasible,niemożliwy,adjectives,0.04
671,virus,krew,nouns,0.56
672,vessel,żyła,nouns,2.2
673,lizard,rząd,nouns,0.0
674,infinity,zero,nouns,0.56
675,known,narodowy,adjectives,0.25
676,reflection,wizerunek,nouns,2.36
677,air,hel,nouns,1.25
678,declare,ogłaszać,verbs,5.13
679,destroy,robić,verbs,0.04
680,seldom,często,adverbs,0.12
681,learn,absorbować,verbs,1.38
682,obey,słuchać,verbs,1.52
683,ant,mucha,nouns,0.91
684,cattle,krowa,nouns,4.57
685,compass,słoń,nouns,0.0
686,depart,oddzielać,verbs,0.5
687,aggravate,napadać,verbs,0.88
688,peppermint,guma,nouns,0.49
689,allow,erodować,verbs,0.0
690,scared,nieśmiały,adjectives,1.69
691,turkey,ptak,nouns,2.55
692,loose,giętki,adjectives,1.75
693,borrow,błagać,verbs,1.02
694,importantly,prawdziwie,adverbs,1.07
695,require,ustalać,verbs,0.25
696,concept,przekonanie,nouns,1.57
697,destroy,rozpadać się,verbs,1.26
698,poor,samotny,adjectives,0.49
699,cheerful,szczęśliwy,adjectives,4.76
700,mask,impreza,nouns,0.25
701,insect,pszczoła,nouns,2.33
702,woman,żona,nouns,1.56
703,fog,chmura,nouns,2.23
704,messy,brzydki,adjectives,1.02
705,wealth,sława,nouns,0.92
706,hungry,spragniony,adjectives,0.93
707,justice,prawo,nouns,1.5
708,intelligence,ignorancja,nouns,0.04
709,lens,aparat,nouns,0.8
710,weave,ruszać,verbs,0.19
711,cattle,wołowina,nouns,3.29
712,find,uciec,verbs,0.0
713,mint,muzeum,nouns,0.09
714,driver,pilot,nouns,2.09
715,demon,potwór,nouns,4.06
716,sadness,szczęscie,nouns,0.04
717,highway,samochód,nouns,0.3
718,flesh,krew,nouns,0.88
719,surprise,celebrować,verbs,0.39
720,cloth,ubrania,nouns,1.44
721,quick,prędki,adjectives,5.32
722,violent,rozzłoszczony,adjectives,2.13
723,infection,fleksja,nouns,0.05
724,freedom,swoboda,nouns,5.17
725,spoon,filiżanka,nouns,0.54
726,mouth,nos,nouns,0.65
727,river,strumień,nouns,3.06
728,search,poszukiwać,verbs,5.21
729,cricket,kibic,nouns,0.2
730,apple,cukierek,nouns,0.24
731,multiplication,dzielenie,nouns,0.53
732,medal,adidasy,nouns,0.09
733,peacefully,chaotycznie,adverbs,0.04
734,demand,ganić,verbs,0.74
735,determine,przewidywać,verbs,2.19
736,handle,białko,nouns,0.0
737,allow,obalać,verbs,0.0
738,become,wydawać się,verbs,0.36
739,big,łatwy,adjectives,0.0
740,volleyball,piłka,nouns,1.59
741,impossible,wykonalny,adjectives,0.04
742,fun,piłka nożna,nouns,0.6
743,equation,formuła,nouns,3.89
744,fraternity,drzwi,nouns,0.05
745,task,szosa,nouns,0.05
746,endurance,zespół,nouns,0.0
747,kill,niszczyć,verbs,2.09
748,goal,zwycięzca,nouns,0.26
749,historian,historiograf,nouns,2.87
750,hang,zabić,verbs,1.38
751,soft,gwałtowny,adjectives,0.0
752,rear,ogon,nouns,3.06
753,worker,aparat,nouns,0.15
754,hymn,słoma,nouns,0.0
755,boat,kotwica,nouns,0.66
