ID,SPA,YUE,PoS,score
147,informar,擦亮,verbs,0.0
148,policía,政治家,nouns,0.24
149,silla,望遠鏡,nouns,0.15
150,personal,歌手,nouns,0.43
151,almuerzo,三文治,nouns,0.96
152,caballo,狗,nouns,0.97
153,teoría,定理,nouns,4.17
154,añadir,建立,verbs,0.82
155,obrero,辦公室,nouns,0.28
156,grande,重,adjectives,0.72
157,humildemente,糟糕,adverbs,0.24
158,palabra,文學,nouns,2.47
159,visión,事實,nouns,0.57
160,sucio,淫賤,adjectives,0.28
161,anatomía,生物學,nouns,2.38
162,conductor,飛行員,nouns,4.42
163,filete,肉,nouns,3.89
164,carretera,高速公路,nouns,3.74
165,agudo,溫和,adjectives,0.25
166,pequeñito,矬小,adjectives,4.26
167,ignorante,頻繁,adjectives,0.04
168,sargento,槍,nouns,0.57
169,insignias,尊嚴,nouns,0.48
170,de manera segura,小心地,adverbs,3.54
171,cuerno,車,nouns,0.09
172,muñeca,手,nouns,2.83
173,inclinarse,偏見,verbs,2.63
174,monasterio,沖涼,nouns,0.0
175,cuaderno,手提電腦,nouns,0.61
176,inexactamente,精確地,adverbs,0.1
177,recoger,组织,verbs,1.39
178,felicidad,運氣,nouns,0.8
179,gato,老鼠,nouns,0.39
180,pobre,孤獨,adjectives,0.15
181,béisbol,沙發,nouns,0.1
182,paquete,貨車,nouns,0.39
183,pelota,籃子,nouns,0.24
184,manzana,果汁,nouns,0.86
185,trigo,穀物,nouns,2.5
186,metal,鋁,nouns,1.94
187,precisamente,不準確地,adverbs,0.1
188,prima,叔叔,nouns,1.07
189,inmoral,非法,adjectives,2.07
190,adquirir,偷,verbs,0.57
191,destreza,智力,nouns,2.19
192,comida,晚飯,nouns,3.25
193,zona,角,nouns,0.34
194,independientemente,負責可靠地,adverbs,0.94
195,inocente,自由,adjectives,0.05
196,mezcla,聯合,verbs,4.01
197,pueblo,城市,nouns,3.13
198,malo,內疚,adjectives,0.97
199,pasillo,門,nouns,0.48
200,licenciado en derecho,大狀,nouns,4.58
201,perseguir,抓住,verbs,0.83
202,nervio,腸子,nouns,0.48
203,genial,壞,adjectives,0.1
204,terminar,解決,verbs,3.01
205,unir,領帶,verbs,0.6
206,acústica,聲音,nouns,3.54
207,honestamente,真誠地,adverbs,4.58
208,literatura,詞,nouns,2.47
209,capítulo,晚上,nouns,0.35
210,llorar,哭泣,verbs,5.13
211,profesión,學院,nouns,0.55
212,competencia,能力,nouns,3.54
213,gastar,保存,verbs,0.05
214,bebida,啤酒,nouns,2.08
215,reunirse,游泳,verbs,0.04
216,discutir,說服,verbs,0.88
217,orgullosamente,和平地,adverbs,0.38
218,coche,喇叭,nouns,0.09
219,catástrofe,死亡,nouns,1.2
220,líder,經理,nouns,3.1
221,humillar,安慰,verbs,0.0
222,algodón,聚酯纖維,nouns,0.92
223,tarea,高速公路,nouns,0.05
224,unirse,離開,verbs,0.25
225,maduro,複雜,adjectives,1.02
226,recoger,獲得,verbs,1.04
227,abrazar,扼殺,verbs,0.39
228,cambiar,改變,verbs,4.19
229,nacional,聞名,adjectives,0.2
230,ahogar,制服,verbs,1.03
231,codo,踝,nouns,0.52
232,malo,偉大,adjectives,0.1
233,princesa,國王,nouns,1.94
234,hambriento,累,adjectives,0.78
235,acompañante,夥伴,nouns,3.74
236,sistema,故障,nouns,0.15
237,ventana,門,nouns,0.81
238,cama,傢俱,nouns,2.12
239,sol,天空,nouns,0.96
240,brillantemente,輕輕地,adverbs,0.14
241,confundir,學習,verbs,0.1
242,deambular,流,verbs,0.97
243,cuerpo,神經,nouns,0.53
244,piña,手機,nouns,0.0
245,atmósfera,臭氧,nouns,2.68
246,cárcel,酒吧,nouns,0.15
247,harina,麵包,nouns,0.87
248,darse cuenta de,發現,verbs,3.93
249,conocido,國民,adjectives,0.2
250,violento,嬲,adjectives,1.27
251,dinero,工資,nouns,3.81
252,terminar,休會,verbs,0.29
253,madera,石,nouns,0.77
254,asistir,發送,verbs,0.44
255,flexible,有彈性,adjectives,4.19
256,alma,兄弟,nouns,0.15
257,determinar,撤離,verbs,0.35
258,pobre,自豪,adjectives,0.1
259,herramienta,工作,nouns,0.54
260,tarta,巧克力,nouns,0.83
261,factible,不可能,adjectives,0.19
262,vexilología,旗,nouns,1.1
263,imitar,捕獲,verbs,0.2
264,orgullosamente,謙遜地,adverbs,0.18
265,cerca,跳躍,nouns,0.2
266,activamente,被動地,adverbs,0.15
267,televisión,演員,nouns,0.76
268,morir,埋葬,verbs,1.0
269,club,標識,nouns,0.49
270,mujer,男人,nouns,1.07
271,grave,有趣,adjectives,0.09
272,demonio,怪獸,nouns,3.29
273,antecedente,過去,nouns,3.2
274,estaño,鋁,nouns,1.69
275,darse prisa,趕,verbs,5.08
276,policía,警長,nouns,3.71
277,juez,法庭,nouns,0.91
278,recientemente,最近,adverbs,5.22
279,golpear,懲罰,verbs,0.65
280,antiguo,新鮮,adjectives,0.0
281,pie,沙漠,nouns,0.24
282,detener,警告,verbs,0.44
283,hermano,男孩,nouns,2.31
284,pacto,條件,nouns,2.13
285,criticar,討厭,verbs,0.78
286,raramente,平時,adverbs,0.1
287,golpear,混合,verbs,0.0
288,hoja,幼苗,nouns,1.29
289,definitivamente,肯定地,adverbs,4.03
290,coche,胎壓計,nouns,0.2
291,diferente,正常,adjectives,0.15
292,suelo,天花板,nouns,0.53
293,rayo,陽光,nouns,0.97
294,cabina,營地,nouns,0.68
295,colegio,法律,nouns,0.58
296,bolso,錢包,nouns,2.22
297,reunir,出席,verbs,0.68
298,terminar,畢業,verbs,1.21
299,deambular,搜索,verbs,0.63
300,amenaza,危險,nouns,4.23
301,venir,走,verbs,0.79
302,médico,正牙醫生,nouns,2.69
303,recalentamiento,預熱,nouns,1.98
304,modo,時裝,nouns,0.15
305,avergonzado,幸運,adjectives,0.04
306,robar,購買,verbs,0.1
307,aceptar,同意,verbs,3.95
308,trabajo,任務,nouns,3.84
309,hacer,發生,verbs,0.39
310,robar,綁架,verbs,0.98
311,tristemente,感情上,adverbs,1.17
312,frágil,冷淡,adjectives,0.05
313,extramatrimonial,不宜說出口的,adjectives,0.38
314,conversación,爭論,nouns,3.21
315,ganador,存在,nouns,0.24
316,presidente,污染,nouns,0.25
317,formal,合乎體統,adjectives,3.09
318,belleza,十四行詩,nouns,0.25
319,gente,元,nouns,0.05
320,ganado,羊,nouns,2.31
321,recomendar,接受,verbs,0.4
322,tomar,離開,verbs,0.24
323,ratón,鼠,nouns,4.61
324,volcán,岩漿,nouns,1.91
325,difícil,狡猾,adjectives,0.15
326,flexible,大,adjectives,0.04
327,recoger,搖動,verbs,0.2
328,ganar,值得,verbs,0.89
329,insecto,蜜蜂,nouns,3.17
330,compromiso,戒指,nouns,1.69
331,negar,避免,verbs,0.64
332,sombrero,盒子,nouns,0.15
333,abeja,女王,nouns,0.4
334,isla,海灘,nouns,1.36
335,taburete,椅子,nouns,3.78
336,brillantemente,非常,adverbs,0.65
337,hospital,床,nouns,0.48
338,acantilado,小山,nouns,0.89
339,conquista,旅程,nouns,0.49
340,smo,罪人,nouns,0.04
341,una vez,兩次,adverbs,0.34
342,rechazar,選舉,verbs,0.2
343,motor,機器,nouns,2.54
344,caña de azúcar,聯合,nouns,0.2
345,aeropuerto,片,nouns,0.0
346,agricultura,單一耕作,nouns,1.51
347,morir,分化,verbs,0.35
348,república,公爵,nouns,0.28
349,brazo,手腕,nouns,0.86
350,pionero,射手,nouns,0.45
351,maravilloso,愉快,adjectives,3.01
352,desaparecer,收縮,verbs,0.56
353,caja,帽子,nouns,0.15
354,fluir,漂移,verbs,0.97
355,cruzar,僧侣,nouns,0.14
356,ocurrir,做,verbs,0.39
357,débiles,辣,adjectives,0.04
358,cargador,磁盤,nouns,0.2
359,globalismo,簽證,nouns,0.58
360,sol,射線,nouns,0.97
361,lograr,嘗試,verbs,0.63
362,piloto,司機,nouns,4.42
363,salir,撤退,verbs,3.45
364,continuación,相機,nouns,0.15
365,padre,兒子,nouns,1.8
366,fábrica,汽車,nouns,0.2
367,bandera,旗幟學,nouns,1.1
368,crimen,違反,nouns,3.24
369,despreciativo,輕蔑,adjectives,3.67
370,empatar,團結,verbs,0.6
371,autor,讀者,nouns,0.58
372,defender,殺,verbs,0.2
373,escucha,明白,verbs,0.64
374,música,旋律,nouns,3.41
375,magnitud,深度,nouns,0.69
376,múltiple,兩次,adverbs,0.79
377,salir,參加,verbs,0.25
378,aburrido,好笑,adjectives,0.1
379,apartamento,酒店,nouns,1.5
380,computadora,機器,nouns,3.26
381,sofá,床,nouns,2.42
382,automóvil,汽車,nouns,5.75
383,poliéster,棉,nouns,0.92
384,profesor,醫生,nouns,0.72
385,completamente,基本上,adverbs,1.06
386,combinación,結合,nouns,3.74
387,chico,朋友,nouns,1.35
388,película,戲,nouns,5.12
389,asistir,聚集,verbs,0.68
390,odiar,喜愛,verbs,0.14
391,fracaso,破產,nouns,1.65
392,crecimiento,肥料,nouns,0.72
393,escritor,禮物,nouns,0.1
394,añadir,除,verbs,0.52
395,caja,雪茄,nouns,0.39
396,bolígrafo,字母,nouns,0.4
397,dar un puñetazo,捏,verbs,0.52
398,importante,關鍵,adjectives,4.29
399,abogado,律師,nouns,4.58
400,estrecho,寬廣,adjectives,0.24
401,lanzar,抓住,verbs,0.43
402,fonología,屏幕,nouns,0.05
403,pájaro,火雞,nouns,2.39
404,corredor,過道,nouns,4.7
405,mecánico,電動,adjectives,1.92
406,noticias,流言蜚語,nouns,1.51
407,menú,點菜,nouns,0.91
408,autopista,路,nouns,3.74
409,mecánico,工人,nouns,2.15
410,gerente,領導,nouns,3.1
411,xenofobia,種族主義,nouns,4.48
412,isla,半島,nouns,1.65
413,inspeccionar,檢查,verbs,5.08
414,habitación,單車,nouns,0.15
415,notificar,通知,verbs,5.04
416,dar,偷,verbs,0.1
417,entrar,欠,verbs,0.0
418,mollete,香芹,nouns,0.29
419,ataque,犯罪,nouns,1.3
420,dinero,鑽石,nouns,0.76
421,salir,出現,verbs,0.34
422,dolencia,發炎,nouns,1.5
423,tropezar,跌倒,verbs,3.99
424,cuerpo,底衫褲,nouns,0.67
425,arroz,雞,nouns,0.47
426,ansioso,不耐煩,adjectives,3.78
427,novia,公主,nouns,0.83
428,editorial,新聞,nouns,2.17
429,sintaxis,首詞,nouns,0.73
430,guardián,成人,nouns,2.02
431,biografía,小說,nouns,1.17
432,examinar,檢查,verbs,5.08
433,acusar,說謊,verbs,0.34
434,rey,公主,nouns,1.94
435,diferentemente,奇怪地,adverbs,0.89
436,injustamente,公平,adverbs,0.1
437,anunciar,宣布,verbs,4.23
438,ligero,鍵盤,nouns,0.34
439,grito,拗撬,verbs,0.58
440,llegar,離開,verbs,0.2
441,falda,手錶,nouns,0.24
442,acción,課程,nouns,0.93
443,quejar,帶來,verbs,0.0
444,sin peligro,高高興興地,adverbs,0.61
445,sobrio,理性的,adjectives,1.82
446,playa,海岸,nouns,3.62
447,a menudo,有時候,adverbs,2.79
448,admirar,崇拜,verbs,4.32
449,investigar,追求,verbs,1.1
450,privado,個人,adjectives,3.96
451,amablemente,慷慨地,adverbs,3.38
452,cola,碗,nouns,0.1
453,café,豆,nouns,0.38
454,pista,字,nouns,0.24
455,nervioso,某些,adjectives,0.1
456,impotente,脆弱,adjectives,1.8
457,pasivo,暴力,adjectives,0.15
458,personal,私人,adjectives,3.96
459,gente,派對,nouns,0.77
460,hoja,樹,nouns,1.02
461,asistir,來,verbs,2.41
462,eléctrico,甜,adjectives,0.0
463,lógica,智力,nouns,3.11
464,pensar,沉思,verbs,2.93
465,genio,燈,nouns,0.59
466,sencillo,困難,adjectives,0.15
467,manchar,傳播,verbs,0.34
468,negativamente,非自然,adverbs,1.31
469,ganador,冠軍,nouns,4.53
470,discutir,叫喊,verbs,0.58
471,moda,模式,nouns,0.15
472,estilo,時裝,nouns,3.4
473,dios,魔鬼,nouns,0.34
474,crear,建立,verbs,3.91
475,campamento,艙,nouns,0.68
476,ganar,完成,verbs,1.54
477,fuerza,耐力,nouns,2.91
478,frijol,米飯,nouns,0.83
479,presidente,政治家,nouns,2.69
480,pollo,米飯,nouns,0.47
481,boca,牙齒,nouns,1.07
482,erosionar,穿,verbs,0.14
483,baloncesto,棒球,nouns,1.61
484,perro,馬,nouns,0.97
485,jefe,市長,nouns,2.16
486,detener,駕駛,verbs,0.34
487,compilador,子程序,nouns,0.58
488,aprender,評估,verbs,0.49
489,destruir,建造,verbs,0.33
490,obviamente,肯定地,adverbs,3.25
491,ansioso,害怕,adjectives,0.69
492,becerro,公牛,nouns,2.83
493,conservar,留,verbs,3.63
494,cena,餐,nouns,3.31
495,prestigio,財富,nouns,0.55
496,fondo,側面,nouns,0.68
497,concepto,信念,nouns,1.55
498,idea,方案,nouns,3.59
499,accidente,書,nouns,0.1
500,lado,下面,nouns,0.68
501,centavo,便宜貨,nouns,0.24
502,obvio,顯然,adjectives,4.45
503,telescopio,椅子,nouns,0.15
504,fuerza,能力,nouns,3.04
505,paz,幸福,nouns,2.67
506,globo,人,nouns,0.25
507,pedir,幫忙,verbs,0.25
508,dígito,細胞質,nouns,0.0
509,fraternidad,門,nouns,0.2
510,ortodoncista,醫生,nouns,2.69
511,tranquilamente,自然地,adverbs,0.97
512,mandíbula,骨頭,nouns,1.5
513,esclavo,僕人,nouns,3.4
514,animal,人,nouns,0.38
515,nerviosamente,焦急地,adverbs,3.68
516,poliedro,演員,nouns,0.28
517,bueno,辣,adjectives,0.04
518,ofender,侮辱,verbs,4.03
519,ven,出席,verbs,2.41
520,asteroide,星,nouns,3.44
521,racional,清醒,adjectives,1.82
522,colina,懸崖,nouns,0.89
523,lagartija,蛇,nouns,1.01
524,frígido,易損壞,adjectives,0.05
525,juzgar,決定,verbs,2.9
526,magnitud,大小,nouns,4.28
527,dar,知道,verbs,0.29
528,niño,成人,nouns,0.53
529,papel,硬紙板,nouns,3.02
530,neblina,雲,nouns,2.67
531,conversacion,溝通,nouns,3.1
532,robar,攞,verbs,0.72
533,encontrar,逃逸,verbs,0.15
534,casa,公寓,nouns,4.14
535,coche,車,nouns,5.75
536,flexible,謙虛,adjectives,0.29
537,multimillonario,無家可歸,nouns,0.15
538,planeta,月亮,nouns,1.97
539,examinar,調查,verbs,4.29
540,culpa,指控,verbs,2.61
541,cereal,小麥,nouns,2.5
542,mecánicamente,理想地,adverbs,0.28
543,cabra,牛,nouns,1.79
544,jaula,柵欄,nouns,0.38
545,guitarra,鼓,nouns,0.77
546,sándwich,肉,nouns,0.49
547,cubierta,地板,nouns,0.58
548,flor,灌木,nouns,1.96
549,crudo,無禮貌,adjectives,0.88
550,pared,磚,nouns,1.06
551,hacer,戒除,verbs,0.24
552,médula,血液,nouns,0.97
553,amigo,夥伴,nouns,4.04
554,brazo,樹枝,nouns,0.65
555,perro,貓,nouns,0.67
556,ahogar,燒傷,verbs,0.28
557,hilo,紗,nouns,2.46
558,neutral,冷靜,adjectives,0.83
559,inteligente,笨,adjectives,0.15
560,empujar,責怪,verbs,0.28
561,lejos,在家裡,adverbs,0.14
562,menor,重大,adjectives,0.24
563,adversario,對手,nouns,5.08
564,aparentemente,簡直,adverbs,0.61
565,picante,好,adjectives,0.04
566,jugador de bolos,保齡球,nouns,1.92
567,caja,電梯,nouns,0.2
568,reír,唱,verbs,0.38
569,joven,焦躁不安,adjectives,0.15
570,princesa,新娘,nouns,0.83
571,estómago,課程,nouns,0.05
572,pantalla,音系學,nouns,0.05
573,desalentar,使灰心,verbs,4.16
574,pájaro,鷹,nouns,2.88
575,encoger,消失,verbs,0.56
576,reír,哭,verbs,0.15
577,anarquía,混亂,nouns,3.39
578,vitamina,鐵,nouns,0.39
579,hueso,肌肉,nouns,0.43
580,hacer,建造,verbs,3.25
581,coche,橋,nouns,0.24
582,tradición,手工業,nouns,1.02
583,médico,醫生,nouns,5.15
584,evaluar,分數,verbs,3.88
585,luna,行星,nouns,1.97
586,estrecho,髒,adjectives,0.0
587,absorber,擁有,verbs,0.64
588,preciso,錯誤,adjectives,0.18
589,difícil,密度大,adjectives,2.46
590,naturalmente,非自然,adverbs,0.1
591,dividir,加,verbs,0.52
592,cinematografía,導演,nouns,1.69
593,callejón,碗,nouns,0.0
594,feliz,高興,adjectives,4.78
595,tonto,蠢,adjectives,5.08
596,ácido,鹼,nouns,1.32
597,heroína,英雄,nouns,3.5
598,corredor,運動員,nouns,3.65
599,estructura,拓撲,nouns,0.8
600,marinero,隊長,nouns,0.93
601,persona,動物,nouns,0.38
602,átomo,碳,nouns,1.29
603,nuevo,舊,adjectives,0.19
604,béisbol,籃球,nouns,1.61
605,solicitud,申請人,nouns,1.13
606,ratón,管理,nouns,0.04
607,cable,教堂,nouns,0.0
608,actualmente,微妙地,adverbs,0.18
609,pasivamente,積極地,adverbs,0.15
610,capital,錢,nouns,4.01
611,biblia,書,nouns,1.41
612,universidad,職業,nouns,0.55
613,elección,意見,nouns,1.01
614,catedral,天花板,nouns,0.24
615,peligro,疾病,nouns,0.77
616,emperador,憲法,nouns,0.78
617,ganador,目標,nouns,0.53
618,estima,榮譽,nouns,2.36
619,explorar,無視,verbs,0.1
620,área,地帶,nouns,4.65
621,ropa,大褸,nouns,1.88
622,hueso,肘,nouns,0.58
623,célula,房間,nouns,0.28
624,gracioso,枯燥,adjectives,0.1
625,dígito,數,nouns,4.45
626,diferir de,同意,verbs,0.2
627,muerte,悲劇,nouns,1.79
628,otro,相反,adjectives,0.64
629,lado,頂,nouns,0.82
630,feliz,年輕,adjectives,0.1
631,playa,海,nouns,2.92
632,fraternidad,棒球,nouns,0.29
633,ofrecimiento,貢獻,nouns,3.2
634,patatas fritas,遊標,nouns,0.04
635,olvidar,知道,verbs,0.15
636,soldado,和平,nouns,0.2
637,aceptar,謝絕,verbs,0.0
638,legal,允許,adjectives,3.88
639,actividad,運動,nouns,2.82
640,básicamente,充分,adverbs,1.06
641,bote,車,nouns,0.53
642,cortina,竿,nouns,0.34
643,puerta,大門,nouns,5.22
644,anillo,訂婚,nouns,1.69
645,dar,放,verbs,0.92
646,goma,薄荷,nouns,0.23
647,orden,菜單,nouns,0.91
648,luchar,不同意,verbs,0.5
649,profesor,朋友,nouns,0.66
650,amigo,母親,nouns,0.33
651,difícil,容易,adjectives,0.15
652,pensar,嘗試,verbs,0.71
653,tonto,醒目,adjectives,0.47
654,pantalones,女人,nouns,0.24
655,brazo,膝蓋,nouns,0.43
656,abeja,昆蟲,nouns,3.17
657,salir,留,verbs,0.1
658,felizmente,安全地,adverbs,0.61
659,batería,劇院,nouns,0.19
660,chocolate,派,nouns,0.83
661,enterrar,冚住,verbs,2.92
662,afirmativamente,大概,adverbs,0.81
663,entregar,攜帶,verbs,2.9
664,polvo,掃帚,nouns,0.91
665,recorrer,電梯,verbs,0.28
666,ordenado,亂七八糟,adjectives,0.19
667,clase,走廊,nouns,0.2
668,ministerio,蘇丹,nouns,0.24
669,luchar,咬,verbs,0.53
670,pedir prestado,保持,verbs,0.1
671,taxi,車,nouns,3.99
672,buque,无畏舰,nouns,2.88
673,absorber,學習,verbs,2.34
674,advertir,停,verbs,0.44
675,lámpara,精靈,nouns,0.59
676,precisamente,準確地,adverbs,4.92
677,algodón,冷衫,nouns,0.63
678,confianza,自己,nouns,0.92
679,león,貓,nouns,1.42
680,meteorito,地心吸力,nouns,0.97
681,piel,自行車,nouns,0.24
682,ángel,惡魔,nouns,0.64
683,acuerdo,爭論,nouns,0.69
684,mito,諷刺,nouns,1.27
685,mejilla,舌頭,nouns,0.38
686,gracioso,傷心,adjectives,0.1
687,lucha,玩,verbs,0.38
688,pan,肉,nouns,0.43
689,frígido,粗暴,adjectives,0.45
690,papel,木,nouns,0.72
691,principalmente,深深地,adverbs,1.11
692,banco,椅子,nouns,3.43
693,ganador,候選人,nouns,1.26
694,fiebre,流感,nouns,1.6
695,hueso,顎,nouns,1.5
696,camión,郵包,nouns,0.39
697,hambriento,渴,adjectives,1.65
698,agarrar,明白,verbs,0.72
699,piel,貂,nouns,1.27
700,choza,艙,nouns,0.7
701,felicidad,和平,nouns,2.67
702,caballo,牛,nouns,1.61
703,histeria,混亂,nouns,2.03
704,castigar,擊中,verbs,0.65
705,siglo,十年,nouns,0.9
706,sentido,直覺,nouns,3.79
707,mar,海灘,nouns,2.92
708,cereza,士多啤梨,nouns,1.97
709,tranquilamente,巧妙的,adverbs,1.35
710,astuto,堅固,adjectives,0.15
711,dos veces,總是,adverbs,0.18
712,pago,紙幣,nouns,0.63
713,molécula,基質,nouns,0.66
714,tomar,偷,verbs,0.72
715,curvo,歪斜,adjectives,3.48
716,miel,糖,nouns,1.88
717,asustado,緊張,adjectives,2.55
718,científico,護士,nouns,0.24
719,saber,理解,verbs,3.0
720,fácilmente,大致地,adverbs,0.42
721,puerta,廚房,nouns,0.53
722,monocultivo,農業,nouns,1.51
723,negación,坦白,nouns,0.82
724,perseguir,說服,verbs,0.34
725,desorganizado,井井有條,verbs,0.1
726,silla,沙發,nouns,2.84
727,miseria,絕望,nouns,3.02
728,menta,博物館,nouns,0.04
729,despierto,打鼻鼾,verbs,0.1
730,secretamente,信心十足地,adverbs,0.55
731,violación,犯罪,nouns,3.24
732,molestia,得罪,verbs,0.75
733,rosa,蝴蝶,nouns,0.2
734,enorme,小,adjectives,0.15
735,ensalada,醋,nouns,0.78
736,crítica,爭論,nouns,2.58
737,mano,指甲,nouns,1.01
738,oasis,自由,nouns,0.1
739,flotador,唱,verbs,0.0
740,lema,音節,nouns,0.76
741,pan,小麥粉,nouns,0.87
742,vena,選擇,nouns,0.04
743,desconocer,疏忽,verbs,0.8
744,contemplar,想,verbs,2.93
745,bañera,房間,nouns,0.63
746,delincuente,罪犯,nouns,5.03
747,hijo,父親,nouns,1.8
748,feo,粗糙,adjectives,0.66
749,entrante,向外,adjectives,0.15
750,palabra,頁,nouns,0.53
751,labio,嘴巴,nouns,2.97
752,recibir,抓住,verbs,0.43
753,abrazo,摟抱,verbs,4.67
754,espíritu,天神,nouns,0.75
755,menta,口香糖,nouns,0.23
756,congelar,發抖,verbs,0.45
757,crítico,無禮貌,adjectives,0.77
758,artículo,雜誌,nouns,2.03
759,tela,麻布,nouns,2.85
760,idealmente,現實地,adverbs,0.39
761,teoría,假設,nouns,3.44
762,azul,紅色,adjectives,0.34
763,tímido,害怕,adjectives,2.38
764,negar,承認,verbs,0.15
765,discretamente,明顯地,adverbs,0.24
766,examen,教學大綱,nouns,0.7
