ID,ENG,RUS,PoS,score
111,elevator,коробка,nouns,0.39
112,bury,умереть,verbs,0.79
113,endurance,сила,nouns,2.83
114,dusk,вечер,nouns,3.59
115,laugh,петь,verbs,0.26
116,realistically,идеально,adverbs,0.47
117,fun,футбол,nouns,0.55
118,monk,крест,nouns,0.86
119,deny,принимать,verbs,0.09
120,coat,шляпа,nouns,0.51
121,acetylcholine,ирис,nouns,0.0
122,fail,преуспевать,verbs,0.04
123,foolish,тупой,adjectives,3.87
124,rice,мальчик,nouns,0.0
125,fifth,первый,adjectives,0.0
126,young,неугомонный,adjectives,0.49
127,moral,легенда,nouns,0.41
128,booth,телефон,nouns,0.72
129,player,тренер,nouns,0.45
130,peace,счастье,nouns,2.17
131,loudly,безумно,adverbs,0.64
132,star,яркость,nouns,1.01
133,heroine,герой,nouns,2.92
134,stop,ехать,verbs,0.05
135,find,обнаруживать,verbs,4.72
136,throne,меч,nouns,0.17
137,wonderful,великолепный,adjectives,4.79
138,clothes,пальто,nouns,1.57
139,gunboat,берег,nouns,0.14
140,heater,зонтик,nouns,0.0
141,bacon,мясо,nouns,2.04
142,bath,шар,nouns,0.0
143,child,мальчик,nouns,2.13
144,pull,толкать,verbs,0.34
145,carpet,дом,nouns,0.44
146,keep,давать,verbs,0.1
147,huge,большой,adjectives,4.86
148,fashion,форма,nouns,1.27
149,recommend,принимать,verbs,0.25
150,interest,внимание,nouns,3.41
151,cup,рожок,nouns,0.59
152,dense,твердый,adjectives,2.72
153,elbow,лодыжка,nouns,0.44
154,attack,преступление,nouns,1.09
155,construction,разрушение,nouns,0.22
156,ignore,забывать,verbs,1.44
157,eagle,сокол,nouns,1.79
158,rabbi,священник,nouns,2.64
159,wine,алкоголь,nouns,1.89
160,woman,мужчина,nouns,0.35
161,disc,компьютер,nouns,1.04
162,shuffle,ездить,verbs,0.1
163,parent,отец,nouns,3.42
164,fast,скоростной,adjectives,4.79
165,cheap,недорогой,adjectives,5.03
166,admit,отрицать,verbs,0.09
167,combined,смешанный,adjectives,4.41
168,stand,ходить,verbs,0.29
169,sincerely,обычно,adverbs,0.05
170,choose,избирать,verbs,4.29
171,chapel,шпиль,nouns,1.42
172,president,политик,nouns,2.5
173,help,просить,verbs,0.26
174,capital,деньги,nouns,3.59
175,nice,великодушный,adjectives,1.67
176,soldier,мальчик,nouns,0.54
177,strongly,официально,adverbs,0.35
178,light,клавиатура,nouns,0.0
179,frigid,грубый,adjectives,0.05
180,survive,жить,verbs,2.44
181,bride,принцесса,nouns,0.29
182,medal,тренери,nouns,0.19
183,news,сплетня,nouns,2.27
184,string,закат,nouns,0.0
185,argument,соглашение,nouns,0.29
186,cover,маскировать,verbs,2.54
187,fry,печь,verbs,1.35
188,think,помнить,verbs,0.77
189,woman,жена,nouns,1.46
190,listen,подчиняться,verbs,1.42
191,essay,книга,nouns,1.35
192,photophone,омофон,nouns,0.14
193,bush,цветок,nouns,1.21
194,mouse,палуба,nouns,0.4
195,engine,поршень,nouns,1.83
196,club,марка,nouns,0.0
197,cotton,полиэстер,nouns,0.57
198,people,ружье,nouns,0.05
199,archbishop,епископ,nouns,3.24
200,aunt,племянник,nouns,0.52
201,course,действие,nouns,1.19
202,storm,снег,nouns,1.19
203,minor,значительный,adjectives,0.09
204,throat,нос,nouns,0.59
205,truly,важно,adverbs,0.47
206,coat,одежда,nouns,1.57
207,steak,мясо,nouns,3.79
208,cloud,погода,nouns,0.82
209,sand,ступня,nouns,0.0
210,devious,ненадёжный,adjectives,2.87
211,clean,аккуратный,adjectives,3.46
212,man,дядя,nouns,1.4
213,top,низ,nouns,0.3
214,gulp,хлебать,verbs,2.38
215,lend,давать,verbs,2.19
216,judge,давать показания,verbs,0.39
217,cloud,озеро,nouns,0.15
218,baseball,кушетка,nouns,0.0
219,cabin,лагерь,nouns,0.94
220,ignore,избегать,verbs,3.28
221,bible,книга,nouns,1.57
222,cocktail,алкоголь,nouns,1.77
223,sensor,радиатор,nouns,0.32
224,understand,слушать,verbs,0.84
225,narrow,широкий,adjectives,0.09
226,atmosphere,загрязнение,nouns,0.56
227,ozone,атмосфера,nouns,1.99
228,learn,слушать,verbs,0.73
229,democracy,монархия,nouns,0.51
230,buy,воровать,verbs,0.12
231,skiing,сноуборд,nouns,1.67
232,creator,автор,nouns,4.09
233,leave,подождать,verbs,0.1
234,tin,металл,nouns,1.61
235,meal,талия,nouns,0.0
236,borrow,давать,verbs,0.74
237,maid,помощница,nouns,2.94
238,parade,оркестр,nouns,0.77
239,friend,приятель,nouns,4.41
240,cellar,дверь,nouns,0.34
241,orchard,страус,nouns,0.0
242,bring,жаловаться,verbs,0.1
243,fever,грипп,nouns,1.51
244,basketball,бейсбол,nouns,0.77
245,topic,история,nouns,0.85
246,upset,пристыженный,adjectives,0.83
247,narrow,длинный,adjectives,0.3
248,avalanche,снег,nouns,1.62
249,borrow,нищенствовать,verbs,0.88
250,dense,тупой,adjectives,3.31
251,large,большой,adjectives,5.61
252,bunch,толпа,nouns,2.77
253,please,удовлетворять,verbs,2.91
254,disguise,покрывать,verbs,2.54
255,task,автострада,nouns,0.1
256,control,останавливать,verbs,0.52
257,window,дверь,nouns,0.49
258,literature,слово,nouns,1.36
259,explain,обсуждать,verbs,1.4
260,attend,спорить,verbs,0.0
261,shoulder,тело,nouns,0.89
262,racket,шум,nouns,4.33
263,therapy,бихевиоризм,nouns,0.68
264,dairy,мед,nouns,0.26
265,hole,жена,nouns,0.0
266,happy,радостный,adjectives,4.66
267,logic,арифметика,nouns,1.52
268,screenwriter,телевидение,nouns,0.77
269,pray,общаться,verbs,0.49
270,actor,многогранник,nouns,0.04
271,nose,голова,nouns,0.59
272,locally,очевидно,adverbs,0.0
273,order,меню,nouns,0.81
274,wash,полоскать,verbs,3.19
275,theft,преступлениe,nouns,2.21
276,equation,формула,nouns,3.64
277,mouth,губа,nouns,1.42
278,jaw,кость,nouns,0.82
279,subtly,спокойно,adverbs,0.54
280,food,программа,nouns,0.25
281,whiskey,джин,nouns,1.56
282,cinema,опера,nouns,0.63
283,writer,роман,nouns,0.66
284,blizzard,дождь,nouns,0.74
285,steal,давать,verbs,0.04
286,unusually,странно,adverbs,4.43
287,agree,угождать,verbs,0.99
288,ice,снег,nouns,2.66
289,criminal,правонарушитель,nouns,4.44
290,aggression,враждебность,nouns,4.74
291,parade,толпа,nouns,1.73
292,wire,шнур,nouns,4.16
293,way,манера,nouns,3.46
294,race,выходные,nouns,0.0
295,weekend,гонка,nouns,0.0
296,bread,мука,nouns,0.99
297,apartment,гостиница,nouns,0.82
298,people,партия,nouns,1.04
299,dawn,ружье,nouns,0.0
300,bike,кожа,nouns,0.0
301,dirty,дешевый,adjectives,0.04
302,impossible,возможный,adjectives,0.19
303,detach,раскалывать,verbs,2.13
304,divide,объединять,verbs,0.09
305,volcano,магма,nouns,1.35
306,head,плечо,nouns,0.76
307,curved,агрессивный,adjectives,0.0
308,separate,прикреплять,verbs,0.04
309,nephew,тетя,nouns,0.52
310,pet,кот,nouns,1.87
311,radiator,датчик,nouns,0.32
312,wonderful,восхитительный,adjectives,4.85
313,disappear,сжиматься,verbs,0.99
314,rinse,мыть,verbs,3.19
315,build,создавать,verbs,3.5
316,restrict,уменьшить,verbs,2.29
317,spicy,слабый,adjectives,0.0
318,cent,народ,nouns,0.0
319,bother,обижать,verbs,1.18
320,salad,уксус,nouns,0.34
321,waist,желудок,nouns,1.21
322,relaxed,напряжённый,adjectives,0.09
323,shrink,исчезать,verbs,0.99
324,belief,цветок,nouns,0.17
325,ashamed,расстроенный,adjectives,0.83
326,app,галакси,nouns,0.3
327,rapid,быстрый,adjectives,4.79
328,bus,автотранспорт,nouns,1.91
329,suppose,предсказывать,verbs,1.81
330,know,понимать,verbs,2.25
331,strangely,необычно,adverbs,4.43
332,allow,давать,verbs,0.91
333,notify,информировать,verbs,4.64
334,child,мужчина,nouns,0.42
335,wife,цент,nouns,0.0
336,give,знать,verbs,0.24
337,testify,судить,verbs,0.39
338,baseball,братство,nouns,0.3
339,squad,армия,nouns,1.81
340,closet,одежда,nouns,0.66
341,sometimes,когда,adverbs,0.32
342,soup,ужин,nouns,1.04
343,vampire,летучая мышь,nouns,0.37
344,bone,лодыжка,nouns,0.91
345,horse,собака,nouns,0.22
346,bone,шея,nouns,0.32
347,depth,величина,nouns,1.71
348,hurricane,буря,nouns,3.86
349,different,обычный,adjectives,0.05
350,glove,мяч,nouns,0.32
351,announce,объявлять,verbs,5.12
352,disappear,пропадать,verbs,5.21
353,big,крупный,adjectives,5.61
354,diet,яблоко,nouns,0.49
355,responsibly,надежно,adverbs,2.86
356,disown,давать,verbs,0.04
357,get,назначать,verbs,0.19
358,bridge,карта,nouns,0.5
359,party,маска,nouns,0.35
360,large,огромный,adjectives,4.86
361,brandy,алкоголь,nouns,1.79
362,dinner,суп,nouns,1.04
363,unanticipated,непредвиденный,adjectives,5.61
364,tennis,статистика,nouns,0.0
365,disagree,соглашаться,verbs,0.09
366,ankle,кость,nouns,0.91
367,softly,громко,adverbs,0.04
368,shore,побережье,nouns,3.73
369,brother,человек,nouns,0.5
370,boat,автомобиль,nouns,0.57
371,go,посылать,verbs,0.21
372,plenty,изобилие,nouns,4.85
373,city,городок,nouns,3.27
374,cousin,дядя,nouns,0.91
375,god,дух,nouns,2.21
376,do,происходить,verbs,1.29
377,beverage,пиво,nouns,1.99
378,vision,восприятие,nouns,4.12
379,safety,комфорт,nouns,1.11
380,anarchy,хаос,nouns,3.83
381,begin,идти,verbs,0.92
382,milkshake,сок,nouns,0.54
383,concept,верование,nouns,1.42
384,diet,салат,nouns,0.77
385,plane,вертолет,nouns,1.56
386,fraternity,бейсбол,nouns,0.3
387,bone,зубы,nouns,1.69
388,descend,уменьшаться,verbs,0.54
389,king,принц,nouns,1.61
390,save,коллекционировать,verbs,2.21
391,remind,сказать,verbs,1.31
392,catastrophe,смерть,nouns,0.99
393,frightened,в восторге,adjectives,0.17
394,precious,священный,adjectives,2.61
395,engagement,кольцо,nouns,1.31
396,receive,принимать,verbs,2.33
397,avoid,отвергать,verbs,1.07
398,special,ценный,adjectives,2.32
399,put,вешать,verbs,0.64
400,hat,коробка,nouns,0.29
401,hut,убежище,nouns,1.71
402,perception,видение,nouns,4.12
403,wall,кирпич,nouns,0.81
404,funny,печальный,adjectives,0.12
405,electric,сладкий,adjectives,0.0
406,drawing,бунт,nouns,0.0
407,band,износоустойчивость,nouns,0.0
408,leave,прибывать,verbs,0.04
409,ant,пчела,nouns,0.51
410,mansion,скульптор,nouns,0.25
411,spread,мазать,verbs,3.68
412,read,укусить,verbs,0.0
413,encourage,отговаривать,verbs,0.09
414,delicately,теперь,adverbs,0.0
415,cinema,попкорн,nouns,0.67
416,oak,клен,nouns,0.97
417,abundance,множество,nouns,4.85
418,gather,встречаться,verbs,3.24
419,loop,пояс,nouns,0.79
420,wife,дыра,nouns,0.0
421,agree,различаться,verbs,0.04
422,fertilizer,развитие,nouns,0.29
423,atom,углерод,nouns,1.46
424,vomit,закрыть,verbs,0.0
425,guess,раздражать,verbs,0.0
426,boring,посредственный,adjectives,2.08
427,rock,мина,nouns,0.37
428,examine,осматривать,verbs,4.25
429,camera,работник,nouns,0.25
430,poet,журналист,nouns,0.66
431,waste,беспокоиться,verbs,0.0
432,apartment,мебель,nouns,0.6
433,presence,отсутствие,nouns,0.36
434,bronchitis,ацетаминофен,nouns,0.44
435,create,делать,verbs,4.45
436,hysteria,помрачение,nouns,1.76
437,floor,палуба,nouns,1.69
438,ignore,покидать,verbs,0.82
439,bone,челюсть,nouns,0.82
440,comprehend,удовлетворять,verbs,0.28
441,performer,песня,nouns,0.74
442,tree,лодка,nouns,0.3
443,needy,неуверенный,adjectives,0.69
444,navy,остров,nouns,0.35
445,here,сейчас,adverbs,1.36
446,mad,счастливый,adjectives,0.05
447,stop,контролировать,verbs,0.52
448,beach,риф,nouns,0.79
449,forget,узнавать,verbs,0.14
450,jail,пруток,nouns,0.04
451,hard,плотный,adjectives,2.72
452,succeed,побеждать,verbs,2.39
453,flu,жар,nouns,1.51
454,word,фраза,nouns,1.46
455,repress,отрекаться,verbs,0.39
456,mill,семя,nouns,0.61
457,sea,пляж,nouns,1.06
458,remark,критиковать,verbs,1.41
459,hand,ступня,nouns,0.7
460,nose,рот,nouns,0.74
461,supporter,крикет,nouns,0.0
462,lawyer,галерея,nouns,0.0
463,joystick,радар,nouns,0.36
464,bring,нести,verbs,2.1
465,note,задание,nouns,0.46
466,dominate,выигрывать,verbs,1.56
467,intelligence,логика,nouns,2.54
468,arrange,нуждаться,verbs,0.0
469,mud,грязь,nouns,4.25
470,foolish,ребячливый,adjectives,1.94
471,involve,включают,verbs,3.29
472,adult,младенец,nouns,0.56
473,basilica,мозаика,nouns,0.34
474,begin,прекращать,verbs,0.09
475,appear,покидать,verbs,0.09
476,dreadnought,линкор,nouns,2.42
477,coast,канонерская лодка,nouns,0.14
478,ministry,султан,nouns,0.15
479,day,рассвет,nouns,1.66
480,broad,большой,adjectives,2.01
481,freeze,дрожать,verbs,1.24
482,normal,необычный,adjectives,0.05
483,absorb,иметь,verbs,0.39
484,upset,отговаривать,verbs,0.19
485,generously,любезно,adverbs,2.64
486,teeth,кость,nouns,1.69
487,room,здание,nouns,0.71
488,flesh,кровь,nouns,1.17
489,book,рукопись,nouns,2.26
490,go,входить,verbs,1.34
491,satisfy,угождать,verbs,2.91
492,bacon,боб,nouns,0.14
493,anxious,нетерпеливый,adjectives,2.24
494,book,текст,nouns,2.16
495,dinner,курятина,nouns,0.65
496,once,немедленно,adverbs,0.43
497,seedling,лист,nouns,0.79
498,flute,музыка,nouns,0.95
499,generously,никогда,adverbs,0.0
500,chart,график,nouns,3.75
501,apparently,очевидно,adverbs,3.84
502,discourage,огорчать,verbs,0.19
503,queen,пчела,nouns,1.04
504,pardon,прощать,verbs,4.29
505,uncle,тетя,nouns,1.34
506,mundane,обычный,adjectives,5.54
507,ugly,грубый,adjectives,1.11
508,accept,верить,verbs,1.29
509,roughly,легко,adverbs,0.0
510,carry,брать,verbs,0.61
511,seat,наклон,nouns,0.0
512,amorphous,бесформенный,adjectives,4.25
513,teach,наказать,verbs,0.0
514,precise,неправильный,adjectives,0.0
515,cat,питомец,nouns,1.87
516,window,лодыжка,nouns,0.0
517,finger,ладонь,nouns,0.84
518,bacon,завтрак,nouns,0.71
519,fun,игра,nouns,1.51
520,disease,инфекция,nouns,3.17
521,obey,наказывать,verbs,0.1
522,deliver,брать,verbs,0.51
523,violent,радикальный,adjectives,0.91
524,crash,ударяться,verbs,1.23
525,peacefully,с гордостью,adverbs,0.15
526,nurse,ученый,nouns,0.17
527,obviously,грубо,adverbs,0.04
528,protein,ручка,nouns,0.0
529,quit,делать,verbs,0.14
530,want,занимать,verbs,0.0
531,intelligence,невежество,nouns,0.29
532,dune,пустыня,nouns,1.86
533,republic,герцог,nouns,0.19
534,translator,иностранец,nouns,0.51
535,sky,вселенная,nouns,0.99
536,oasis,свобода,nouns,0.26
537,attend,прибывать,verbs,1.09
538,comfortably,легко,adverbs,2.35
539,cameo,спектакль,nouns,0.69
540,emperor,губернатор,nouns,1.48
541,require,устраивать,verbs,0.0
542,drown,спасти,verbs,0.05
543,pinch,бить,verbs,0.62
544,navy,армия,nouns,2.24
545,sun,небо,nouns,0.81
546,desert,дюна,nouns,1.86
547,mild,острый,adjectives,0.0
548,sky,мечта,nouns,0.28
549,chemistry,теория,nouns,0.74
550,artist,искусства,nouns,0.98
551,hard,простой,adjectives,0.04
552,analyze,сравнивать,verbs,2.87
553,decade,век,nouns,0.49
554,birthday,год,nouns,0.97
555,messy,порядоченный,adjectives,0.19
556,purgatory,загробный мир,nouns,2.41
557,sharp,гладкий,adjectives,0.05
558,brightness,звезда,nouns,1.01
559,handbook,путеводитель,nouns,4.19
560,boy,брат,nouns,1.44
561,decompose,уничтожить,verbs,0.76
562,impatient,беспокойный,adjectives,2.24
563,fundraising,развитие,nouns,0.04
564,lizard,змея,nouns,1.19
565,unmentionable,внебрачный,adjectives,0.13
566,bar,тюрьма,nouns,0.04
567,man,муж,nouns,2.16
568,divide,умножать,verbs,0.21
569,think,спрашивать,verbs,0.85
570,clothes,ткань,nouns,1.58
571,post,скорость,nouns,0.0
572,oddly,иначе,adverbs,1.74
573,multiply,делить,verbs,0.21
574,page,абзац,nouns,0.79
575,catch,выпускать,verbs,0.09
576,spirit,бог,nouns,2.21
577,politician,полицейский,nouns,0.17
578,princedom,герцогство,nouns,1.98
579,run,ездить,verbs,0.39
580,achieve,преуспевать,verbs,3.05
581,justice,право,nouns,1.44
582,silently,пассивно,adverbs,1.62
583,father,бог,nouns,0.99
584,smear,размазывать,verbs,3.68
585,tough,ловкий,adjectives,0.65
586,ordinary,холодный,adjectives,0.0
587,forgive,понимать,verbs,1.39
588,mainly,терминально,adverbs,0.19
589,confidence,самость,nouns,1.66
590,word,литература,nouns,1.36
591,ignorance,ум,nouns,0.29
592,crochet,форма,nouns,0.2
593,timber,бревно,nouns,2.81
594,wander,странствовать,verbs,4.47
595,yard,метр,nouns,1.76
596,computer,диск,nouns,1.04
597,rhythm,арифметика,nouns,0.1
598,garden,шланг,nouns,0.48
599,crime,мошенничество,nouns,2.1
600,broom,пыль,nouns,0.77
601,multiplication,деление,nouns,0.77
602,child,взрослый,nouns,0.59
603,wipe,ухудшать,verbs,0.0
604,movement,действие,nouns,3.09
605,skin,велосипед,nouns,0.0
606,income,налог,nouns,0.51
607,justice,суд,nouns,1.85
608,company,предприятие,nouns,4.0
609,cherish,хранить,verbs,1.41
610,come,посещать,verbs,2.72
611,put,давать,verbs,0.51
612,guitar,скрипка,nouns,0.83
613,covered,непокрытый,adjectives,0.09
614,beach,берег,nouns,2.59
615,sip,глотать,verbs,2.38
616,pipe,сигара,nouns,1.69
617,popcorn,кино,nouns,0.67
618,white,узкий,adjectives,0.0
619,adult,опекун,nouns,1.47
620,reader,писатель,nouns,0.71
621,arrogant,гордый,adjectives,3.2
622,condition,пакт,nouns,1.34
623,sob,плакать,verbs,4.44
624,cheap,грязный,adjectives,0.04
625,valley,депрессия,nouns,0.5
626,management,руководство,nouns,3.88
627,blood,тело,nouns,0.6
628,leave,странствовать,verbs,0.32
629,poor,одинокий,adjectives,0.19
630,cradle,кроватка,nouns,4.67
631,rat,мышь,nouns,2.31
632,bargain,пенни,nouns,0.22
633,kick,ушибить,verbs,1.61
634,bowler,боулинг,nouns,1.52
635,weave,двигаться,verbs,0.19
636,flower,вера,nouns,0.17
637,king,непотизм,nouns,0.3
638,harmony,пианино,nouns,0.36
639,lady,господин,nouns,1.21
640,chips,курсор,nouns,0.1
641,arm,мускул,nouns,0.9
642,unformed,униформа,adjectives,0.0
643,skyscraper,дворец,nouns,0.57
644,fairly,несправедливо,adverbs,0.14
645,accurately,активно,adverbs,0.04
646,noise,грохот,nouns,4.33
647,daughter,ребенок,nouns,1.15
648,fail,полагаться,verbs,0.0
649,boat,палуба,nouns,0.94
650,apartment,дом,nouns,3.53
651,tongue,горло,nouns,0.79
652,release,ловить,verbs,0.09
653,plane,простынь,nouns,0.0
654,deteriorate,протирать,verbs,0.0
655,hungry,усталый,adjectives,0.36
656,weather,снег,nouns,1.01
657,elephant,динозавр,nouns,0.36
658,receive,посылать,verbs,0.09
659,other,противолежащий,adjectives,0.87
660,archaeology,антропология,nouns,0.82
661,lizard,крокодил,nouns,1.4
662,determine,эвакуировать,verbs,0.1
663,snow,лёд,nouns,2.66
664,draw,создавать,verbs,1.06
665,dukedom,княжество,nouns,1.98
666,key,корона,nouns,0.0
667,court,судья,nouns,1.3
668,badge,стекло,nouns,0.04
669,lawyer,банкир,nouns,0.67
670,wealth,репутация,nouns,0.91
671,princess,невеста,nouns,0.29
672,weather,волна,nouns,0.25
673,car,гудок,nouns,0.91
674,denial,признание,nouns,0.32
675,finish,выпуститься,verbs,2.17
676,infection,болезнь,nouns,3.17
677,mother,жена,nouns,1.83
678,bag,сумочка,nouns,3.82
679,think,пытаться,verbs,0.15
680,allow,разъедать,verbs,0.0
681,author,создатель,nouns,4.09
682,cell,запирание,nouns,1.23
683,pour,отекать,verbs,0.64
684,bowl,хвост,nouns,0.0
685,cigar,пачка,nouns,0.53
686,battery,театр,nouns,0.0
687,august,месяц,nouns,2.35
688,dog,лошадь,nouns,0.22
689,princess,бисквит,nouns,0.0
690,after,до,adverbs,0.04
691,wear,рвать,verbs,0.31
692,responsibly,независимо,adverbs,0.34
693,harsh,жестокий,adjectives,2.69
694,whisper,говорить,verbs,1.37
695,acetaminophen,бронхит,nouns,0.44
696,elephant,компас,nouns,0.0
697,maturely,праведно,adverbs,0.69
698,dignity,значки,nouns,0.34
699,fry,кипятить,verbs,1.12
700,door,коридор,nouns,0.39
701,drip,наливать,verbs,0.64
702,acoustics,звук,nouns,3.0
703,absorb,отделяться,verbs,0.0
704,legal,безопасный,adjectives,0.98
705,god,дьявол,nouns,0.47
706,linen,ткань,nouns,2.13
707,roof,окно,nouns,0.57
708,absence,пристуствие,nouns,0.36
709,lie,притворяться,verbs,3.01
710,floor,потолок,nouns,0.41
711,deny,лгать,verbs,1.13
712,shelter,хижина,nouns,1.71
713,neutral,спокойный,adjectives,1.81
714,immediately,скоро,adverbs,2.5
715,drench,уменьшить,verbs,0.0
716,dream,небо,nouns,0.28
717,word,газета,nouns,0.72
718,assist,помогать,verbs,5.0
719,nose,горло,nouns,0.59
720,happily,безопасно,adverbs,0.17
721,lip,бедро,nouns,0.34
722,stool,стул,nouns,2.83
723,outlander,пришелец,nouns,2.63
724,get,оставаться,verbs,0.0
725,gun,сержант,nouns,0.62
726,father,мужчина,nouns,1.66
727,arrive,приходить,verbs,2.71
728,take,нести,verbs,0.61
729,evict,освобождать,verbs,1.33
730,door,ворота,nouns,3.19
731,odd,странный,adjectives,4.74
732,pupil,учащийся,nouns,5.54
733,normal,ненормальный,adjectives,0.09
734,apple,повидло,nouns,0.89
735,camera,линза,nouns,1.0
736,cellphone,телефон,nouns,3.12
737,cathedral,церковь,nouns,3.75
738,motel,гостиница,nouns,3.81
739,leave,игнорировать,verbs,0.82
740,management,работа,nouns,1.07
741,purely,полностью,adverbs,1.75
742,trial,вердикт,nouns,1.31
743,knee,кость,nouns,0.79
744,allow,опровергать,verbs,0.05
745,investigate,заниматься,verbs,2.9
746,go,приходить,verbs,0.91
747,illness,жар,nouns,1.92
748,fail,обескураживать,verbs,0.32
749,president,мэр,nouns,1.19
750,size,трюк,nouns,0.05
751,dictionary,слово,nouns,0.74
752,organized,беспорядочный,verbs,0.04
753,choice,мнение,nouns,1.09
754,language,общение,nouns,1.64
755,lose,готовить,verbs,0.0
756,confidence,настрой,nouns,1.76
757,dissolve,плавиться,verbs,2.54
758,cube,игральная кость,nouns,2.29
759,send,посещать,verbs,0.1
760,phrase,слово,nouns,1.46
761,rough,равнодушный,adjectives,0.05
762,show,математик,nouns,0.0
763,deeply,в основном,adverbs,0.15
764,argue,посещать,verbs,0.0
765,choice,тюрьма,nouns,0.0
766,carefully,опасно,adverbs,0.1
767,ostrich,плодовый сад,nouns,0.0
768,examine,исследовать,verbs,4.5
769,swallow,пить,verbs,1.69
770,apple,сладость,nouns,0.44
771,old,новый,adjectives,0.14
772,homeless,миллиардер,nouns,0.32
773,water,засуха,nouns,0.29
774,easy,тяжелый,adjectives,0.09
775,endurance,цветок,nouns,0.0
776,broad,узкий,adjectives,0.09
777,bread,мясо,nouns,0.24
778,imagine,притворяться,verbs,2.44
779,capture,подражать,verbs,0.12
780,chest,тело,nouns,1.13
781,old,смешанный,adjectives,0.0
782,deliver,носить,verbs,0.7
783,reliably,грубо,adverbs,0.05
784,blanket,шторм,nouns,0.0
785,campus,университет,nouns,1.75
786,boat,мотор,nouns,0.76
787,stiff,легкий,adjectives,0.0
